,itemID,recommendedBook
167,66497,"['14617', '61673', '49887', '52696', '21181']"
168,55326,"['1675', '29198', '6190', '16359', '71209']"
169,3959,"['35563', '59403', '62983', '11737', '67887']"
170,66928,"['3172', '71088', '40669', '36167', '11821']"
171,23159,"['25699', '65708', '69228', '14293', '61852']"
172,76762,"['28408', '71574', '61178', '51739', '75892']"
173,73748,"['64606', '6813', '52040|4539', '77463|68215', '48618']"
174,8248,"['34839|39351|20166|75456|48598', '64978', '15605', '27858', '37611']"
175,39766,"['62585', '61042', '73421', '52064', '38279', '10644']"
176,49234,"['28502', '75585', '14519', '5594', '23643']"
177,23366,"['38911|57593|27703|28389|19657|32288|20833|42432|21720|52763', '10984|24203', '23809', '70026', '17136']"
178,59734,"['41631', '49640', '64655', '60145', '4395']"
179,41020,"['5953', '75401', '7636', '17498', '32060']"
180,74389,"['76285', '74619', '69973', '3400', '21803']"
181,8538,[]
182,40113,"['78512', '3266', '61589', '43471', '6074']"
183,32980,"['58409', '37038', '71402', '22783', '36060']"
184,47068,"['15192', '69094', '38879', '65833', '73014']"
185,20083,"['39296', '52786', '10456', '18928', '41369']"
186,31728,"['9009', '78766', '53828', '27692', '17113']"
187,52192,"['6177', '62781', '11193', '16996', '52979']"
188,62732,"['65221', '59106', '73227', '66201', '18641']"
189,30746,"['54492', '34655', '28851', '36087', '66067']"
190,22622,"['177', '31953', '3155', '33318', '57889']"
191,54612,[]
192,59032,"['8615', '54414', '42141', '5961', '64725']"
193,26385,"['67189', '67725', '54745', '38218', '10211']"
194,65461,"['5857|74747', '28726|1232', '3239', '42412', '71440']"
195,54835,"['5368', '35031', '57254', '44244', '76283']"
196,54737,"['31260', '45467', '2653', '75990', '56766']"
197,76905,"['52269', '24588', '31395', '38391', '24337']"
198,45093,"['66487', '70116', '32545', '32366', '51220']"
199,31273,"['3155', '57889', '33318', '31953', '61554']"
200,851,"['72857', '63068', '39338', '71544', '74064']"
201,16935,"['28863', '46961', '34687', '13840', '55311']"
202,28379,"['9053', '30601', '25635', '54075', '45988']"
203,17009,"['54944', '47864', '61365', '71673', '42224']"
204,1486,"['71211', '33672', '24394', '7607', '46812']"
205,62630,"['33668', '57040', '35016', '68873', '29794']"
206,34682,"['54901', '36814', '43739', '64637', '38947']"
207,6741,"['29470', '8408', '78220', '21557', '64837']"
208,20852,"['10560|31190', '72614|2444', '73574', '40656', '70396']"
209,22265,"['54785', '77536', '62264', '76237', '610']"
210,2244,"['49251', '70797', '15538', '7618', '39551']"
211,26396,"['64159', '1972', '37323', '1200', '15451']"
212,48796,"['34460', '12413', '71448', '44094', '74669']"
213,45501,"['60338', '56181', '32136|20817', '59253', '71694']"
214,26445,"['33154', '7022', '38313', '23728', '66561']"
215,457,"['23980', '52346', '66551', '53777', '61489']"
216,35752,"['31142', '11898', '3391', '44203', '66311|50019|63037']"
217,47491,"['63266', '9146', '34020', '26239', '70203']"
218,43762,"['12730|52422', '3768', '64370|76611', '15493', '29572']"
219,23599,"['65169', '23321', '45291', '51955', '59248']"
220,13325,"['41176', '1808', '3308', '6601', '2226']"
221,3273,"['22911', '48396', '25274', '5089', '42417']"
222,2257,"['76551', '71355', '37600', '25408|68814|71268', '62797']"
223,34670,"['22063', '7217', '51095', '78323', '11128']"
224,74105,"['57869', '33246', '66333', '20955', '31707']"
225,35720,"['26607', '41884', '54236', '45114', '62542']"
226,71526,"['50656', '28334', '77894', '19091', '74779']"
227,21737,"['48167', '72149', '26802', '77940', '22459']"
228,7860,"['47314', '63357', '37005', '24098', '60623']"
229,41648,"['37626', '30485', '28106', '67667', '37632']"
230,1640,"['15067', '2616', '67547', '53368', '59530']"
231,33814,"['7809', '45991', '31164', '54509', '22448']"
232,19717,"['53444', '11084', '49502', '64179', '73465']"
233,78998,"['40412', '19321', '18996', '46065', '30283']"
234,23643,"['75585', '14519', '5594', '6206', '72028']"
235,68712,"['13384', '17345', '11487', '4586', '21853']"
236,63739,"['9542', '583', '23617', '38178|78344', '58681']"
237,42328,"['63829', '43731', '61667', '77821', '32793']"
238,23446,"['63207', '9556', '41430', '17784', '385']"
239,21285,"['8369', '53470', '37135', '22324', '28431']"
240,72959,"['66981', '68820', '37869', '42660', '43257']"
241,8548,[]
242,21221,"['3468', '52940', '73324', '32280', '2562']"
243,12564,"['50498', '9024', '64907|59588', '873|21222', '30152']"
244,9577,[]
245,29381,"['2338', '1335', '16525', '54183', '51168']"
246,19688,"['53671', '6994', '43509', '76898', '57195']"
247,45195,"['70720', '62830', '66481', '3873', '33639']"
248,22775,"['61427', '62571', '7892', '53101', '33839']"
249,13131,"['69113', '8393', '8387', '53915', '19485']"
250,8861,"['54253', '52290', '50588', '51566', '59626']"
251,1680,"['72685', '61153', '78213', '59296', '2186']"
252,62200,"['64037', '12736', '50924', '14663', '29631']"
253,73868,"['36596', '8874', '3063', '41764', '39977']"
254,7666,"['23738', '27124', '76874', '24290', '10933']"
255,7084,"['18890', '10789', '73302', '27665', '23314']"
256,74586,"['38966', '22369', '12130', '31364', '78699']"
257,2335,"['32043', '10414', '16932', '44101', '22412']"
258,22877,"['17692', '462', '8698', '21030', '4622']"
259,68509,"['79065', '10281', '24083', '70742', '78787']"
260,28737,"['7160', '41468', '43366', '74194', '68151']"
261,66339,"['37091', '35844', '4277', '72086', '16655']"
262,49803,"['23387', '51701', '7627', '36588', '56907']"
263,14189,"['37957', '118', '51159', '39678|53941', '36487']"
264,9884,"['61498', '6090', '2714', '20470', '46063']"
265,67630,"['56185', '10963', '55709', '10840', '34604']"
266,11407,[]
267,8384,"['73827|11822', '60045|59020|52039', '67601', '18443', '12996']"
268,75345,"['21026', '43084', '19296', '22496', '25385']"
269,45841,"['21587', '73877', '23067', '10932', '14006']"
270,63764,"['64967', '74716', '78816', '72386', '27500']"
271,70197,"['59823|11350', '41899|24338', '59437|74700', '41374|4448', '66603|59240']"
272,32109,"['20239', '77288', '37502', '41398', '44866']"
273,30434,"['69062', '37119', '36062', '32675', '31986']"
274,45358,"['73688', '28143', '26786', '58234', '30299']"
275,52721,"['44588', '54288', '21193', '17345', '22054']"
276,58820,"['65806', '23641', '44435', '52221', '18521']"
277,70803,"['56448', '76451', '5673', '20218', '63341']"
278,50338,"['59338', '75401', '3760', '32060', '7636']"
279,66493,"['39767', '19088', '75506', '52755', '47224']"
280,52519,"['1884', '45513', '77940', '8344', '22459']"
281,37378,"['13975', '61464', '15265', '24085|31237', '17600']"
282,49952,[]
283,75882,"['414', '36596', '73868', '3063', '49811']"
284,7445,[]
285,17850,"['64423', '66251', '21391', '13238', '48465']"
286,42566,"['29885', '63441', '11045', '78975', '55308']"
287,29708,[]
288,46476,"['14773', '67106', '21473', '46043', '39127']"
289,14470,"['44273', '222', '62296', '55091', '56030']"
290,43679,"['3468', '73833', '48724', '67309', '188']"
291,40279,"['11496', '39279', '41673', '40972', '45268']"
292,24002,"['50549', '74449', '53755', '67995', '77369']"
293,68253,"['46556', '74414', '29051', '54253', '60378']"
294,15581,"['45332', '20936', '16067', '12962', '54753|347']"
295,73552,"['44119', '20390', '35945', '11346', '18042']"
296,38164,"['37047', '36397', '44927', '51688', '9517']"
297,58779,"['59003', '6970', '27294', '27908', '57480']"
298,57464,"['11714', '37909|20145', '21090', '77380', '23596']"
299,56827,"['47860', '78335', '29301', '46817', '21615']"
300,76331,"['39330', '13616', '49574', '66242', '56441']"
301,12568,"['29451', '43672', '11584', '49962', '48274']"
302,63107,"['1723', '1884', '22459', '72149', '50859']"
303,39971,"['61297', '30497', '35114', '25905', '54140']"
304,24776,[]
305,65811,"['72896', '51443', '41358', '810', '25274']"
306,77175,"['25756', '67765', '4052', '45261', '74387']"
307,53717,"['17049', '26575', '12974', '64795', '70400']"
308,50340,"['43888', '45785', '13600|58514', '2923', '15386']"
309,77554,"['63610', '59809', '19014', '62101', '60037']"
310,63279,"['15417', '74110', '31086', '4828', '13206']"
311,59821,"['75400', '47837', '11821', '51688', '32502']"
312,12725,"['75326', '28890', '53749', '42547', '42222']"
313,1235,"['34218', '24240', '41053', '32007', '37428']"
314,34899,"['65555', '36505', '6587', '18133', '43212']"
315,37797,"['20286', '7332|49319', '74553', '19755', '55180']"
316,29368,"['54691', '70718', '52201', '48093', '9503|69433']"
317,11378,"['64962|39990', '72900', '32111', '68828', '55211']"
318,59092,"['17969', '55902', '23803', '34673', '60846']"
319,5362,"['33677', '66646', '20888', '51920', '25693']"
320,47933,"['53380', '10704', '62714', '42723', '71075']"
321,68560,"['45772', '60855', '37618', '46242', '12734']"
322,57628,"['44567', '20448', '60331', '47578', '6132']"
323,11682,"['53784', '72753', '77859', '30741', '18162']"
324,18601,"['45513', '22459', '17326', '1884', '47191', '77940']"
325,58566,"['19714', '10460', '76261', '59209', '51211']"
326,29217,"['20931', '6510', '52985', '3286', '23098']"
327,64901,"['4833', '66553', '5739', '14314', '77255']"
328,6359,"['53376', '43897', '53600', '63252', '2932|4100']"
329,54801,"['9648', '69520', '41461', '28344', '71025']"
330,66017,"['71444', '64579', '26881', '69254', '18870']"
331,28302,"['19347', '54040', '22464', '78189', '73975']"
332,19235,"['22820', '78312', '75851', '11307', '43483']"
333,24078,"['22719', '8988', '54574', '69115', '24569']"
334,7924,"['25600', '18123', '11821', '44567', '57628']"
335,2993,"['29794', '61733', '73384', '22516', '45663']"
336,71202,"['9127', '55411', '78813', '52570', '27096']"
337,38543,"['29271', '5288', '42792', '77003', '58452']"
338,9943,"['70022', '74019', '69102', '64942', '27743']"
339,24706,"['66347', '26170', '10063', '55209', '45261']"
340,17298,"['40296', '51923', '55664', '43594', '9328']"
341,49279,"['38622', '21540', '13702', '2657', '38706']"
342,7129,"['72852', '51993', '11465', '51328', '15538']"
343,54586,"['59131', '67469', '36684', '44345', '28300']"
344,55270,"['16096', '69313', '77119', '24151', '53675']"
345,16937,"['65681', '38509', '24570', '43144', '23872']"
346,44508,"['52771', '20473', '71571', '18919', '23480']"
347,28976,"['41759', '36316', '16355', '60493', '13266']"
348,9612,"['11302', '66230', '27922', '29361', '18890']"
349,43313,"['576', '35281', '26471', '76849', '41652']"
350,46237,"['55679', '60055', '52310', '66013', '74192']"
351,14883,"['76760', '73107', '57811', '4063', '49700']"
352,71036,"['76399', '48812', '45971', '2537', '2983']"
353,71886,"['58463', '45208', '73963', '1258', '41043']"
354,70372,[]
355,14750,"['50470', '75966', '4593', '55073', '40183']"
356,52053,"['50137', '8147', '4523|10528', '31953', '33318']"
357,51638,"['78813', '22837', '30568', '23653', '93']"
358,61875,"['55198', '53479', '4173', '48421', '28877']"
359,42039,"['56998', '64038', '5284', '72720', '25710']"
360,25598,"['35381', '44097', '32072', '78334', '48860']"
361,23417,"['73418', '33556', '31709', '71374', '19314']"
362,30446,"['255', '1048', '21325', '17511', '5790']"
363,27104,"['31865', '69014', '44766', '20705', '64533']"
364,61715,"['18130', '56858', '33938', '25338', '9779']"
365,72826,"['61690', '54417', '70314', '4550', '13817']"
366,7415,"['20441', '60599', '21829', '17066', '66888']"
367,11688,"['27105|22456', '21025|49379|77243|23828|1117|27293|468|53013', '39234', '59316', '68472|55836']"
368,12209,"['7636', '5953', '17498', '32060', '61852']"
369,79016,"['29635', '24947', '440', '27951', '19838']"
370,6019,"['44567', '20448', '57628', '60331', '47578', '6132']"
371,14436,"['22057', '30058', '6377', '39328', '54092']"
372,75422,"['68550', '31416', '23134', '58102', '73359']"
373,10482,"['4369|23468', '77620|57808', '35748|34867', '45285', '63135']"
374,24686,[]
375,50313,"['16309', '47300', '40700', '12409', '57537']"
376,58067,[]
377,37854,"['50750', '14753', '75822', '19785', '31621']"
378,24118,"['51993', '11465', '58605', '65799', '51328']"
379,66750,"['30060', '1874', '57620', '70417', '38474']"
380,8116,"['76861', '56777', '74538', '34781', '66727']"
381,62540,"['306', '23136', '61454', '70097', '16581']"
382,25663,"['29485', '41582', '58262', '782', '54697|42625|46641']"
383,16585,"['37414', '71806', '59752', '55723', '44190']"
384,28466,"['67416', '71512', '4115', '64684', '39812']"
385,42531,"['27632', '3734', '73227', '77544', '11089']"
386,39680,"['76046', '58660', '46030', '3917', '74031']"
387,51560,"['38816', '17333', '66242', '25035', '13616']"
388,13374,"['64256', '59105', '35342', '72348', '1272']"
389,18441,"['45718', '71372', '71440', '22000', '27447']"
390,13880,"['36858', '50750', '14753', '31621', '37854']"
391,17383,"['51993', '11465', '15538', '59541', '74313']"
392,13014,"['42676', '54855', '28480', '10382', '67497']"
393,57674,"['11908', '78269', '58996', '42516', '40298']"
394,18756,"['17418', '35061', '57590', '50241', '41107']"
395,51964,"['3417', '29782', '76283', '12984', '14392', '43243']"
396,27403,"['42740', '67568', '16616', '6628', '65022']"
397,10871,"['25111', '800', '54334', '17600', '56108']"
398,35456,"['11629', '21714', '20548', '50913', '30878']"
399,74872,"['34617', '21106', '42060', '26311', '57547']"
400,63796,"['56590', '6019', '9517', '8735', '47578']"
401,63457,"['56809', '36167', '6132', '63287', '16837']"
402,55057,"['49750', '11385', '36559', '32414', '55861']"
403,47336,"['13244', '22180', '51204', '68840', '55210']"
404,43032,"['52228', '69767', '55843', '17477', '58354']"
405,63855,"['54274', '43729', '1226', '45772', '68560']"
406,72231,"['53985', '73267', '66277', '23970', '37828']"
407,11527,"['40044', '67721', '4925', '76659', '48885']"
408,31548,"['65993|63163', '35873|32945', '16532|10818', '50575', '31150|67063']"
409,62812,"['73465', '21503', '11084', '49502', '53444']"
410,20266,"['14265', '32231', '4944', '34283', '53312']"
411,59605,"['60287', '46048', '46155', '76229', '3228']"
412,57163,"['47876', '78609', '11625', '70037', '31253|64292']"
413,34307,"['55444', '32224', '78243', '57964', '40572']"
414,65903,"['14273', '22991', '65903', '24769', '29794']"
415,28580,"['43606', '12905', '33189', '45207', '7500']"
416,5197,"['39697', '1069', '23145', '37257', '69855']"
417,34939,"['43257', '26650', '6261', '67497', '4491']"
418,59859,"['11365', '43567', '68869', '60343', '37738']"
419,12077,"['42416', '65995', '74358', '372', '73070']"
420,75539,"['70203', '26239', '63266', '9146', '34020']"
421,24979,"['19687', '40278', '70515', '49033', '53545']"
422,47684,"['66736', '53230', '8049', '60214', '73656']"
423,37711,"['3855', '39620', '40430', '20110', '76723']"
424,14162,"['47409', '2713|26997|27740', '3254|13924|15335|38310|6677', '37824|33237|50762', '47706']"
425,30806,"['63127', '55964', '19309', '76246', '46884']"
426,65785,"['29099', '49244', '14199', '2698', '38690']"
427,2723,"['61467', '34056', '74960', '42991', '63220']"
428,52874,"['48387', '12829', '2483', '27940', '27834']"
429,2612,"['35586', '64925', '45971', '48812', '2537']"
430,63908,"['33898|5553', '66396', '445', '37379', '76906']"
431,12075,"['9062', '20914', '76997', '65835', '25008']"
432,78080,"['49165', '16912', '23445', '63758', '58492']"
433,39083,"['61906', '73623|5141|52826|70562', '49871|14819|2875', '30925|33432|78254|8388|58459|78429|75242|27201|60392|67498|12674|72827|48870|59362', '15454|3719|16035|24539|29569']"
434,64333,"['48338', '23198', '76835', '1819', '6984']"
435,12640,"['27034', '74072', '36135', '7985', '51040']"
436,41002,[]
437,27038,"['22459', '77940', '72149', '1884', '18155']"
438,38637,"['74835', '35817', '56990', '29734', '13595', '64612']"
439,44894,"['42630', '46316', '70408', '11879', '4215']"
440,35904,"['4728', '570', '46298', '19518', '25016']"
441,38819,"['29092', '29378', '24087', '62109', '74022']"
442,30628,"['27333', '58938', '68533', '71438', '36089']"
443,6790,"['34849', '57534', '28732', '44808', '13740']"
444,38368,"['35835', '75779', '23363', '11193', '6177']"
445,27726,"['9684', '16043', '43854', '62406', '56814']"
446,4890,"['49185', '76995', '61267', '61118', '11324']"
447,37429,"['42412', '55737', '22000', '27447', '34037']"
448,57598,"['48144', '60986', '30310', '9597', '19149']"
449,44452,"['23014', '6177', '16996', '52979', '62781']"
450,77629,"['67623', '53253', '24625', '25919|45066', '69453']"
451,44327,"['40611', '45516', '14719', '51196', '71787']"
452,21276,"['7607', '49538', '24394', '76120', '46812']"
453,46655,"['45787', '18158', '38252', '44870', '5951', '21700']"
454,35579,"['25015', '53082', '56613', '63829', '41527']"
455,56629,"['27389', '18062', '8122|16034', '19142', '74400']"
456,47549,"['1734', '37372|9743', '28602|61235', '66877', '32502']"
457,31827,"['41608', '74504', '7143', '61782', '13398']"
458,41447,"['36596', '73868', '25166', '16984', '8874']"
459,57018,"['15466', '67833', '60741', '646|20891', '64750|70939']"
460,69755,"['78826|35340', '42821', '73465', '21503', '11084']"
461,16190,"['65221', '24519', '31125', '11089', '77544']"
462,48231,"['3245', '76493', '8037', '26599|51318', '52445|66985']"
463,58737,"['19687', '40278', '70515', '49033', '24979', '53545']"
464,9001,"['61141', '4705', '51227', '50631', '76204']"
465,19462,"['69359', '33294', '3110', '70199', '32817']"
466,15267,"['60479', '55872', '2846|13002', '72808|62378', '72748|24113']"
467,68076,"['67621', '32746', '38611', '30661', '47341']"
468,17617,"['5462', '55120', '65489', '29679', '12916']"
469,43701,[]
470,66224,"['77544', '11089', '22008', '36536', '73227']"
471,23132,"['11236', '73361', '15064', '46369', '56913']"
472,23535,"['31166', '75204', '58871', '44552', '48215']"
473,18479,"['31634', '70298', '48633', '54490', '11985']"
474,63017,"['20955', '31493', '57869', '5730', '44757']"
475,61316,"['64497', '5370', '70456', '70080', '52293']"
476,56775,"['1931', '59030', '74387', '4052', '45261']"
477,66954,"['36846', '56424', '65177', '14396', '31588']"
478,32532,"['78608', '70849', '46873', '63816', '10217']"
479,53813,"['15302', '21808', '70829', '32275', '1037']"
480,43877,"['19315', '282', '26781', '32965', '24560']"
481,34078,"['47314', '24098', '36199', '1836', '63357']"
482,58561,"['71673', '61365', '19915', '56267', '42224']"
483,77952,[]
484,34978,"['15103', '30260', '1600', '43296', '38811']"
485,337,[]
486,25367,"['2703', '36278', '29078', '47189', '36776']"
487,35094,"['62403', '32000', '60807', '75873', '55685']"
488,24459,[]
489,10745,"['7649|51751|3921|46312|68005|48391|21668', '31094|32176|30575|53801', '71943|48459|61497|59732', '57554', '18431']"
490,59769,[]
491,54929,"['41623', '26449', '7764', '54745', '5570']"
492,78279,"['54553', '54159', '22702', '42946', '22044']"
493,62535,"['3191', '10063', '55209', '25756', '74387']"
494,3268,"['7272', '75899', '25087', '3439', '39953']"
495,663,"['24713', '48017', '69456', '68982|61064|57942', '52869']"
496,32451,"['42305', '3863', '8282', '39537', '27447']"
497,21607,"['76161', '2444', '11526', '66918', '43243']"
498,46904,[]
499,58236,"['17252', '18908', '15554', '56912', '36552']"
