itemID|title|author|publisher|main topic|subtopics
48175|Dunkle Lust|Inka Loreen Minden, Nicole Henser|Books on Demand|FFK|[5PS,5PSG,FMR,FRM]
47684|Der X-Klub (Eine Krinar ErzÃ¤hlung)|Anna Zaires, Dima Zales|MOZAIKA LLC|FR|[]
53297|Der Clan der WÃ¶lfe 01: Donnerherz|Kathryn Lasky|Ravensburger Verlag|YFH|[5AL,5HKA,5HPD,YFC,YFH,YFJ,YFM,YFP]
28157|Loveless|Alice Oseman|Harper Collins Publ. UK|YXHL|[YFM,YXW]
19072|Vorstadtprinzessin|Carmen Korn|Rowohlt Taschenbuch|YFCB|[5AQ,5LF,1DFG-DE-VH,YFB,3MRBA]
59411|Krabat. GroÃŸdruck|Otfried PreuÃŸler|dtv Verlagsgesellschaft|YFJ|[5AN,1DF,FN,YFT,3ML]
1831|The Invisible Life of Addie LaRue|V.E. Schwab|Titan Books Ltd|FM|[]
8893|Pyramids|Terry Pratchett|Orion Publishing Group|FM|[]
57166|Zwei Jahre Ferien|Jules Verne|Hofenberg|FKW|[]
34235|Ember Queen|Laura Sebastian|Pan Macmillan|YFHR|[YFC,YFM]
15041|Winnie-the-Pooh|Alan Alexander Milne|Egmont UK Limited|YFA|[5AF,5AG]
67455|Wings of Fire - Winters Wandlung|Tui T. Sutherland|Adrian Verlag|YFC|[YFH,YFP]
45246|Exodus 9414 - Der dunkelste Tag|Thariot|FISCHER TOR|FLP|[5JB,FJ,FLP,FLR,FLS,FLW]
19880|Anton taucht ab|Milena Baisch|Beltz GmbH, Julius|YF|[5AK]
25921|Mein erstes Bremen-Buch|Anne Rieken|Schuenemann C.E.|YBCB|[1DFG-DE-VB,YBL]
20860|Shadowmarch 1. Die Grenze|Tad Williams|Klett-Cotta Verlag|FMB|[FYT,YFH]
50027|Twilight|Stephenie Meyer|Little, Brown Book Group|YFH|[5AQ,YFB,YFM]
13772|Le Petit Prince (French)|Antoine de Saint-Exupery|Houghton Mifflin Harcourt|YF|[5AL]
30295|Das Lied der Dunkelheit|Peter V. Brett|Heyne Taschenbuch|FMB|[FYT]
45799|Die Chroniken von Alice - Finsternis im Wunderland|Christina Henry|Penhaligon|FBA|[FBA,FKM,FMT,FN,FYT,FYV]
25451|Die Chroniken der Meerjungfrau - Der Fluch der Wellen|Christina Henry|Penhaligon|FMT|[FBA,FKM,FMT,FN,FYT,FYV]
50117|What Abigail Did That Summer|Ben Aaronovitch|Orion Publishing Group|FBAN|[1DDU-GB-ESLC,1DDU-GB-ESLF,FD,FFP,FMM,FMX,FXB,FXR,FXS]
24102|Meine Freundin Conni: Kunterbunter Mitmach-SpaÃŸ - Kritzel- und Weitermalbuch|Laura Leintz|Carlsen|YBG|[5AC,YBLD,YBLH]
61637|The Wind's Twelve Quarters: Stories|Ursula K. Le Guin|Harper Collins Publ. USA|FM|[]
60565|Meine Freunde (Clevere Jungs!)||gondolino GmbH|YZG|[5AG,4CD,CBV,DC,DNC,DND,JNG,JNLA,VFX,VS,WDH,WZG,YBG,YBGC,YBLA,YBLD,YBLH,YBLN1,YBLP,YPC,YPCA1,YXHB]
56310|Die HaarteppichknÃ¼pfer|Andreas Eschbach|LÃ¼bbe|FL|[]
75473|Canticle for Leibowitz, A|Walter M. Miller|Harper Voyager|FL|[]
67006|Mein erstes Feuerwehr-Bastelbuch||Coppenrath, MÃ¼nster||[5AC]
9219|Date Me, Bryson Keller|Kevin van Whye, Kevin Van Whye|Penguin Books Ltd (UK)|YXHL|[5AN,5PSG,YFM,YFS]
36071|Kiss Me Once|Stella Tack|Ravensburger Verlag|YFM|[5AQ,5AX,FRD,FRM,YFM]
51659|Sa Princesse Vierge|Grace Goodwin|KSA Publishing Consultants Inc|FRT|[]
42531|Wovon du trÃ¤umst|Kira Gembri|Arena Verlag GmbH|YFM|[5AQ,YFN,YFQ]
10904|Clockwork Angel|Cassandra Clare|TURTLEBACK BOOKS|YFH|[]
68812|Detectives At Work. Rettet die Geparde!|Renate Ahrens|Rowohlt Taschenbuch|YPCK2|[5AJ,5AL,1HFMS,2ACG,YFB,YFCF]
15405|Gepardensommer|Katja Brandis|Arena Verlag GmbH|YFM|[5AN,5JA,1HFMN,YFP]
17783|Die Kunst des Zeichnens fÃ¼r Kinder Ãœbungsbuch|Gecko Keck|Frech Verlag GmbH|WFA|[5A,5AK,5J,5JA,5JB,WF,WFA,Y,YBL]
7674|Throne of Glass|Sarah J. Maas|Bloomsbury UK|YFC|[5AN,YFH,YFM]
58522|Harry Potter Box Set: The Complete Collection (Children's Paperback)|Joanne K. Rowling|Bloomsbury UK|YFH|[YFB]
