,itemID,title,author,language,collection,isbn,publisher,description,main topic,subtopics
51839,58239,100 Gute-Laune-Rätsel - Tiere,,,,,Loewe Verlag GmbH,,YBGH,5AF|4CA|YBLL|YNNF|YNNH|YNNJ|YNVP|YZG
51840,34748,100 Gute-Laune-Rätsel für die Vorschule,,,,,Loewe Verlag GmbH,,YPCA2,5AF|4CA|WDK|WHJ|YBGC|YBGH|YBLC|YBLH|YNVP|YPCA2|YZG
51841,28788,100 Hours,Rachel Vincent,,,,KATHERINE TEGEN BOOKS,,YFC,YFM
51842,62509,100 Spielideen für dich und deine Freunde,Rebecca Gilpin,,,,Usborne Verlag,,YBG,5AG|YBL
51845,66388,100 süße Sachen- Mein Kawaii-Zeichenkurs,,,,,Edition Michael Fischer,,AFF,5AD|AFF|WDH|XAM|YBG|YBL
51846,32503,100% Mädchen,"Caroline de Hugo, Sacha Maris, Noémie André, Camil",,,,moses. Verlag GmbH,,YBL,5AL|YN
51847,2820,100% ich!,,,,,"Lingen, Helmut Verlag",,YBG,YBL
51848,2749,1000 Gefahren auf dem Tierhof,Sonja Bullen,,,,Ravensburger Verlag,,YFM,5AL|5AR|YFCA|YFM|YFQ
51849,68681,1000 Gefahren auf einem fremden Planeten,Valentin Schneider,,,,Bookmundo Direct,,FL,
51850,52161,1000 Gefahren für den Bodyguard,Fabian Lenk,,,,Ravensburger Verlag,,YFC,5AL
51853,37837,101 pupskackgeniale Klo-Aktionen,frechverlag,,,,Frech Verlag GmbH,,YBL,5AH|5JA|5JB
51855,4527,110,Steven W. P. Wu,,,,Partridge Singapore,,FL,
51856,72276,1100 Mega-Witze,,,,,Edition XXL GmbH,,WHJ,5AF|WHJ|YF|YNU
51857,28264,111 x Papierfalten - Kinderleichter Faltspaß,Thade Precht,,,,Edition Michael Fischer,,WFTM,YB|YBL
51858,48505,12,"Katrin Bohnen, Christina Löw, Christin C. Mittler,",,,,Books on Demand,,FYB,FM|FYB
51859,38683,12 Monate Angst,"Dieter Winkler, Jörg Kleudgen, Markus K. Korb, Mar",,,,"Low, Verlag Torsten",,FKM,FYB
51860,76693,123 Coloring Book,Emma C. MC Kean,,,,CATHOLIC BOOK PUB CORP,,YBLC,YNRM
51861,31462,13 Gifts: A Wish Novel,Wendy Mass,,,,SCHOLASTIC,,YFH,
51862,51397,13 Reasons Why,Jay Asher,,,,Penguin LCC US,,YXGS,5AN|YFB|YXQF
51863,35417,13 SHADOWS: DIE MASKE DES TEUFELS,"John Crawford, Jon Messmann, Thomas Ziegler",,,,epubli,,FK,
51864,72852,13 SHADOWS: DIE TÜR INS NICHTS,"Peter Saxon, Marc Agapit, Maurice Limat",,,,epubli,,FK,
51866,14670,"130+ Ridiculously Funny Christmas Jokes for Kids: So Terrible, Even Santa and Rudolph the Red-Nosed ",Bim Bam Bom Funny Joke Books,,,,LIGHTNING SOURCE INC,,YBLJ,YNU
51867,26954,13: Thirteen Stories That Capture the Agony and Ecstasy of Being Thirteen,,,,,SIMON PULSE,,YF,
51868,51914,1520-1522,Le Chroniqueur de la Tour,,,,Books on Demand,,FMH,3MD
51869,53191,1532: A Test of Courage,Canchi Uchilla,,,,EDIT ET CETERA,,YFT,
51870,45459,1632,Eric Flint,,,,BAEN,,FDK,FL
51871,16754,17,Andres Männer,,,,TWENTYSIX,,FM,5AQ
51872,9567,17 Years,Rmon Jefferson,,,,AuthorHouse,,FL,
51873,38930,1712,Pit Vogt,,,,Books on Demand,,FM,
51874,72027,"18 Years Old + 9 Years of Experience: Appreciate Your Friend, Loved One or Family with This Funny Bi",Thithiabirthdays,,,,INDEPENDENTLY PUBLISHED,,YFD,
51875,19915,1814,Craig Godfrey,,,,Penmore Press LLC,,FF,FH
51876,19157,19 - Das dritte Buch der magischen Angst,Rose Snow,,,,Ravensburger Verlag,,YFM,5AQ|FMR|FR|FRD|YFHR|YFM
51877,31885,1984. Skotnyj dvor. Esse,George Orwell,,,,KNIZHNIK,,FL,
51878,71288,2 Sides to Every Story: Dudley and Norman,Arron Highley,,,,LIGHTNING SOURCE INC,,YDP,YFJ|YFQ
51879,10028,2 at the Dome,Dylan Beckerman,,,,AuthorHouse,,FM,
51880,71781,2-Year-Olds at School,Jupiter Kids,,,,Jupiter Kids,,YBL,
51881,77881,2-in-1 Learning Exercises for Kids,Baby,,,,Baby Professor,,YBLC,
51882,15786,20 Years Down Forever to Go: Anniversary Notebook for Him or Her 120 Pages Notebook Journal,Thithiaanniversary,,,,INDEPENDENTLY PUBLISHED,,YF,
51883,29495,"20,000 Leagues Under the Sea (Graphic Revolve: Common Core Editions)",Jules Verne,,,,Capstone Press,,XADC,YF
51884,37005,2012,"Tomasella Ryan Tomasella, Ryan Tomasella",,,,iUniverse,,FJ,FL
51885,1239,2016 Daily Planner,Speedy Publishing Llc,,,,Speedy Publishing LLC,,YBL,
51886,43923,2018-2019 Planner Let's Do It: Academic Planner 2018-19 Weekly Calendar Organizer with Yearly and Mo,Quipoppe Planners,,,,INDEPENDENTLY PUBLISHED,,YFC,
51887,73692,2021,Edward van der Straaten,,,,SWB Media Publishing,,FD,FHP
51888,17667,2029 - Geschichten von morgen,,,,,Suhrkamp Verlag AG,,JBFZ,DNT|FBA|FYB|JB|JBFZ
51889,32551,2030,Kurt Stahnke,,,,Books on Demand,,FLP,
51890,51899,2030 ' Ein Tag im Leben des Enif Quadrocor,Horst Ernst Pessl,,,,Engelsdorfer Verlag,,FL,
51891,48702,2030: The Real Story of What Happens to America,Albert Brooks,,,,ST MARTINS PR,,FL,
51892,3361,2034,"Elliot Ackerman, James Stavridis",,,,Penguin LCC US,,FHP,FBA|FJM|FL|FM|FXP
51893,15318,2037,Wolfgang Georg Kurt Zimmer,,,,Books on Demand,,FLQ,
51894,31137,2047,A. A. Caddy,,,,Xlibris,,FL,
51896,50459,2048,Fred Kruse,,,,Books on Demand,,FHD,FLP
51897,9570,2049,M. D. James E. Davis,,,,AuthorHouse,,FL,
51898,43700,2060,Boris Revout,,,,Books on Demand,,FLG,1DNS-SE-AA
51899,62012,2084,Peter García,,,,Eckhaus Verlag,,FDB,
51900,73878,2084,Alpha O'Droma,,,,epubli,,FL,
51901,20044,2084,Heikki Nousiainen,,,,Books on Demand,,FL,
51902,55660,2084 The Secularist Revolution,Stanley Yokell,,,,Outskirts Press,,FMH,
51903,51338,2086 - Sturz in die Zukunft,Robert A. Heinlein,,,,Mantikore Verlag,,FLC,FLG|FLP
51904,33600,2122 A.D. Helena 2,Harald Kaup,,,,NOEL-Verlag,,FLC,FLS
51905,51379,2124 A.D. Walhalla,Harald Kaup,,,,NOEL-Verlag,,FLC,FLS|FM
51906,31515,2125 A.D. - Janus -,Harald Kaup,,,,NOEL-Verlag,,FLC,FLS
51907,78729,2127 A.D. - Titan,Harald Kaup,,,,Noel,,,FLS
51908,18485,2129 A.D. - Aquarius -,Harald Kaup,,,,Noel,,,FLS
51909,44551,2130 A.D. - Eden,Harald Kaup,,,,Noel,,,FLS
51910,63845,2135 A.D. - Adventure -,Harald Kaup,,,,Noel,,,FLS
51911,40704,2136 A.D. - Mystery -,Harald Kaup,,,,Noel,,FLC,FLS
51912,28296,2139 A.D. - Marcus -,Harald Kaup,,,,NOEL-Verlag,,FLC,FLS
51913,53100,23 Years Down Forever to Go: Anniversary Notebook for Him or Her 120 Pages Notebook Journal,Thithiaanniversary,,,,INDEPENDENTLY PUBLISHED,,YF,
51915,7150,2394,P. Roscoe,,,,iUniverse,,FLQ,
51916,60721,24 kurze Albträume,,,,,Begedia,,DNT,FKM|FYB
51918,71170,2501,Joel Lundgren,,,,Books on Demand,,FL,
51919,19597,3 Great Kings,Katheryn Maddox Haddad,,,,Northern Lights Publishing House,,YPCA21,5PGM|YFK
51920,70197,"3 Lilien, Das dritte Buch des Blutadels",Rose Snow,,,,Ravensburger Verlag,,YFM,5AQ|FMR|FR|FRD|YFHR|YFM
51921,34964,"3 Lilien, Das erste Buch des Blutadels",Rose Snow,,,,Ravensburger Verlag,,YFM,5AQ|FMR|FR|FRD|YFHR|YFM
51923,28035,300 Wörter suchen und ausmalen 4+ (Autowaschen),,,,,Yo Yo Books,,YBC,
51924,13828,300 Wörter suchen und ausmalen 5+ (Zelten),,,,,Yo Yo Books,,YBC,
51925,43172,32 Days: A Story of Faith and Courage,Ellen Prozeller,,,,PAULINE BOOKS & MEDIA,,YFK,1F
51926,78941,32er Duden Minis 32er (Box 6),"Dorothee Raab, Andrea Weller-Essers",,,,Bibliograph. Instit. GmbH,,YBG,YBL
51927,38120,33 Bogen und ein Teehaus,Mehrnousch Zaeri-Esfahani,,,,Carlsen Verlag GmbH,,YFB,5AN|5PGP|1FBN|Y|YF|YFX|YFY
51928,71651,333 Flachwitze,,,,,Loewe Verlag GmbH,,YNU,5AJ|5HC|5HK|5HP|4CD|FU|JNLB|WHJ|WHL|WHX|YF|YPC|YZG
51929,42302,333 Kinderwitze - Fußball,,,,,Loewe Verlag GmbH,,YPCA21,5AJ|YF|YNU
51931,61905,333 Kinderwitze - Tiere,,,,,Loewe Verlag GmbH,,YPCA21,5AJ|YF|YNU
51932,24782,333 Origami - Falten und Spielen,Thade Precht,,,,Edition Michael Fischer,,WFTM,YBL
51934,71022,365 einfache Experimente für Kinder,,,,,ullmann publishing GmbH,,YNTD,5AG|YBL|YNV
51935,7532,37 Years Down Forever to Go: Anniversary Notebook for Him or Her 120 Pages Notebook Journal,Thithiaanniversary,,,,INDEPENDENTLY PUBLISHED,,YF,
51936,14472,381,Robin Stevens,,,,Penguin Books Ltd (UK),,YFCF,5AJ|1HBE-AA-D|1HZAN|YFS|YFT|YNMC|YXG|YXHB|YXHL|YXN|3MPBGJ
51937,28840,39 Years Down Forever to Go: Anniversary Notebook for Him or Her 120 Pages Notebook Journal,Thithiaanniversary,,,,INDEPENDENTLY PUBLISHED,,YF,
51938,47957,4,Claudell James,,,,iUniverse,,YFR,
51939,28797,400 Bc: The Story of the Ten Thousand: A Graphic Novel,Lewis Helfand,,,,CAMPFIRE GRAPHIC NOVELS,,YFC,YFT
51940,62093,41 Years Down Forever to Go: Anniversary Notebook for Him or Her 120 Pages Notebook Journal,Thithiaanniversary,,,,INDEPENDENTLY PUBLISHED,,YF,
51941,37784,43,Charlie Beers III,,,,Xlibris,,FL,
51942,44781,44 Cats: 44 Cats: Katztastischer Spiel- und Malspaß,,,,,Nelson Verlag,,YBG,5AD|YBL
51944,33510,44 Cats: Meine liebsten Freunde,,,,,Nelson Verlag,,YBG,5AD|YBL
51945,77339,451° po Farengejtu,Ray Bradbury,,,,KNIZHNIK,,FL,
51946,25155,49 Years Down Forever to Go: Anniversary Notebook for Him or Her 120 Pages Notebook Journal,Thithiaanniversary,,,,INDEPENDENTLY PUBLISHED,,YF,
51947,30782,5 Dei,Cristina Martin,,,,Lulu.com,,YFB,
51948,78044,5 Wilder Creature Adventures,"Chris Kratt, Martin Kratt",,,,Random House USA Inc,,YF,
51949,41122,500 Words: Black Lives,,,,,Bonnier Books UK,,YXD,YF
51950,61691,5028,Garrett Melick,,,,Lulu.com,,FL,
51951,23757,54 Years Down Forever to Go: Anniversary Notebook for Him or Her 120 Pages Notebook Journal,Thithiaanniversary,,,,INDEPENDENTLY PUBLISHED,,YF,
51952,24273,"555 Sticker - Faultier, Dino, Pirat und Co.",,,,,Edition Michael Fischer,,YBGC,YBGC|YBL
51953,39101,"555 Sticker - Flamingo, Einhorn, Lama und Co.",,,,,Edition Michael Fischer,,YBGC,YBGC|YBL|YZ
51954,10899,56 Years Down Forever to Go: Anniversary Notebook for Him or Her 120 Pages Notebook Journal,Thithiaanniversary,,,,INDEPENDENTLY PUBLISHED,,YF,
51955,46996,5:55,Claudine Birbaum,,,,Edition Birbaum,,FMM,FC|FRM|FW
51956,60418,6 spannende Kurzgeschichten - Genre Science-Fiction,Uwe H. Sültz,,,,Books on Demand,,FYB,FL
51958,76200,666 Tierwitze,,,,,Coppenrath F,,YNU,5AJ|5HKA|WHJ|YNN|YNU
51959,55914,6984,Agneta Sikvall,,,,Books on Demand,,FL,5AX
51960,1745,7 Days - The Story of Gods Creation: Learn the Days of the Week,Jacobs Nunn,,,,LIGHTNING SOURCE INC,,YFK,
51961,62756,7 Dias,-D. E. Maria Guadalupe,,,,Lulu.com,,YFB,
51962,23793,71 einhalb schrecklich schöne Monster malen,Norbert Pautner,,,,"Bassermann, Edition",,YNXB,5AF|YBG|YBL|YNXB
51963,18986,71%,Vanessa Chantreau,,,,Books on Demand,,FLG,1D|FLP|FLQ
51964,67576,8 Mistakes People Make to Get Their Ex Back +2 Tips,Henry U,,,,INDEPENDENTLY PUBLISHED,,YFH,
51965,18174,8 SINNE - BAND 10 DER GEFÜHLE,ROSE SNOW,,,,Books on Demand,,FMR,
51966,16374,8 Sinne - Band 3 der Gefühle,Rose Snow,,,,Books on Demand,,FMR,
51967,27897,8 Sinne - Band 5 der Gefühle,Rose Snow,,,,Books on Demand,,FMR,
51968,48388,80 Lieblingstiere zum Aufstellen und Spielen,,,,,Arena Verlag GmbH,,YBG,5AD|YBL
51970,25020,88 zauberhafte Mandalas - Pferde und Ponys,,,,,Loewe Verlag GmbH,,YBG,5AF|YBL|YNA
51971,4789,9-Tom Swift and His Martian TerraVironment (HB),Victor Appleton II,,,,Lulu.com,,FL,
51973,63709,99 Ideen für mehr Wow in deinem Leben,Annette Penno,,,,SCM Collection,,,QRMP|QRVP
51975,72747,>,Anna Marie Ali,,,,Xlibris US,,YFP,
51976,21977,A,Frank Ferland,,,,Books on Demand,,FM,5AQ
51977,10663,A,Frank Albert Ferland,,,,Books on Demand,,FM,5AQ
51978,71015,A Arca,Anderson Fonseca,,,,INDEPENDENTLY PUBLISHED,,FL,
51979,46993,A Aula de Costura,Deana Sobel Lederman,,,,LIGHTNING SOURCE INC,,YF,
51980,68338,A B C AND BEYOND,Boris Traktovenko,,,,Xlibris,,YFC,
51981,18802,A Baby Doll from Santy Claus,Vivian Zabel,,,,4RV Children's Corner,,YFT,1KBB|3MP
51982,14466,A Bad Hair Day,P. K. Wayne,,,,LIGHTNING SOURCE INC,,YF,1KBB
51983,5785,A Banquet for Hungry Ghosts: A Collection of Deliciously Frightening Tales,Ying Chang Compestine,,,,LIGHTNING SOURCE INC,,YFD,1F
51984,47692,A Beginning and an End,Andrew Arrowsmith,,,,Arrowsmith Publishing,,FMB,
51986,57185,A Besta: Uma Nova Aventura Do Viajante Do Tempo,Ronald Rahal,,,,INDEPENDENTLY PUBLISHED,,FLG,
51987,48257,A Big Job (Short Vowel Storybooks),Suzanne I. Barchers,,,,SHELL EDUC PUB,,YBLA,YF
51988,28484,A Blood Moon,Jean Chery,,,,WESTWOOD BOOKS PUB LLC,,FH,FK|FM
51989,54422,A Boat in My House,Tamara Berreman,,,,FriesenPress,,YFH,
51990,57465,A Bond Undone: The Definitive Edition,Jin Yong,,,,GRIFFIN,,FMB,FMH
51991,36078,"A Book for All Reasons: Stories for Classroom Teachers, Read Aloud Stories.",Larry Reed,,,,BOOKBABY,,YFT,
51992,28510,A Book of Dragons,Ruth Manning-Sanders,,,,MAB Media,,YDC,YFJ
51993,58417,A Boy Called Bat,Elana K. Arnold,,,,Harper Collins Publ. USA,,YXHB,YFB|YFN|YFQ|YXK
51994,26590,A Boy's Dangerous Journey,Reji Laberje,,,,Nico 11 Publishing & Design,,YNTR,YFB
51995,11873,A Bridge Of Shadow: Large Print Hardcover Edition,Natalie J. Case,,,,BLURB INC,,FB,FM
51996,35514,A Bright and Special Night,Diane Peyton,,,,COVENANT BOOKS,,YFK,
51998,19938,A Bucket of Monkeys and Clown Shoes,Honors English III,,,,iUniverse,,YFU,
51999,38459,A Burst of Moonlight,Emmie B.,,,,E.B. Business Writing Services,,YFH,
52001,7636,"A Call to Arms, Volume 2","Thomas Pope, David Weber, Timothy Zahn",,,,BAEN,,FLS,FLR
52002,75133,A Canadian Year: Twelve Months in the Life of Canada's Kids,Tania Mccartney,,,,EXISLE PUB,,YFX,1KBC
52003,9697,A Cat and a Hat (Short Vowel Rimes),Sharon Coan,,,,SHELL EDUC PUB,,YBLN1,
52005,8487,A Child's Baseball Dream,Tota Moon,,,,Xlibris,,YNWD3,YFR
52006,76113,A Child's Book of Stories (Yesterday's Classics),Penrhyn W. Coussens,,,,Yesterday's Classics,,YDC,YFJ
52007,36474,A Children's Treasury,"L. Frank Baum, Lewis Carroll, Kenneth Grahame",,,,Wilder Publications,,YFH,
52010,71600,A Collection of Destinies,David Beltran,,,,Xlibris,,FM,
52011,42641,A Collection of Fables and Tales,Darryl Leslie Gopaul,,,,iUniverse,,DNT,FM
52012,47308,A Court of Frost and Starlight. Acotar Adult Edition,Sarah J. Maas,,,,Bloomsbury UK,,YFH,5AN|FMR
52013,41869,A Court of Mist and Fury. Acotar Adult Edition,Sarah J. Maas,,,,Bloomsbury UK,,YFH,FMR
52014,2417,A Court of Thorns and Roses. Acotar Adult Edition,Sarah J. Maas,,,,Bloomsbury UK,,YFH,FMR
52015,46007,A Court of Wings and Ruin. Acotar Adult Edition,Sarah J. Maas,,,,Bloomsbury UK,,YFB,FMR|YFH
52016,7854,A Cup of Cold Water: The Compassion of Nurse Edith Cavell,Christine Farenhorst,,,,P & R PUB CO,,YFT,YFK
52017,77384,A Darkest Minds 04: The Darkest Legacy,Alexandra Bracken,,,,Hachette Children's  Book,,YFHR,5AN|4Z-GB-ACT|YFC|YFG
52018,31095,A Darkness of the Sun,Andrew Tabbutt,,,,Lulu Publishing Services,,FL,
52019,61030,A Day at the Circus,Wanda Kay Knight,,,,Waldorf Publishing,,YFB,YXW
52020,63954,A Day in the Life,William T. Wilhite,,,,Xlibris,,FL,
52021,67356,A Day in the Life of Dew,,,,,Dew Bear Enterprises Inc,,YFB,
52022,8724,"A Day'S Pleasure; Or, The Half-Holiday Adventures Of Some Little People",Evelyn Cunningham Geikie,,,,Alpha Editions,,YFJ,
52023,50295,A Descoberta Do Quintal,Débora Menger,,,,LIGHTNING SOURCE INC,,YFC,
52024,26412,A Diamond Dream: Book Three of the Jubilee Cycle,Eli K. P. William,,,,TALOS,,FLPB,FLQ
52025,61524,A Dickens Collection of Short Stories Vol III,Charles Dickens,,,,BOTTOM OF THE HILL PUB,,YBLJ,YFA
52026,52359,A Different Beat,Candy Dawson Boyd,,,,PUFFIN BOOKS,,YF,
52027,77945,A Discovery of Witches,Deborah Harkness,,,,VIKING HARDCOVER,,FMB,
52028,67840,A Dog's Tail,Msw Lsw Landsman,,,,Jamie A Landsman,,YFB,YXJ
52030,66849,A Dragon With His Mouth On Fire: Teach Your Dragon To Not Interrupt. A Cute Children Story To Teach ,Steve Herman,,,,LIGHTNING SOURCE INC,,YXE,YF
52031,62204,A Dragon's Fall (The Dragon Chronicles 3),Solvig Schneeberg,,,,Carlsen Verlag GmbH,,FRT,5AT|5AX|5JA|5LKE|6FG|FMM|FMR|FMX|FN|FRD|FRT|FXB|YFHR
52032,16262,A Dragon's Home (The Dragon Chronicles 4),Solvig Schneeberg,,,,Carlsen Verlag GmbH,,FRT,5AT|5AX|5JA|5LKE|6FG|FBA|FMM|FMR|FMW|FMX|FN|FRT|YFHR|YFJ
52033,63116,A Dragon's Soul (The Dragon Chronicles 2),Solvig Schneeberg,,,,Carlsen Verlag GmbH,,FRT,5AT|5AX|5JA|5LKE|6FG|FMM|FMR|FMX|FN|FRD|FRT|FXB|YFHR|YFM
52035,1648,A Dying Planet Short Stories,"Barton Aikman, V. K. Blackwell",,,,FLAME TREE PUB,,FL,
52036,56056,A Escola Sombria: Contos de Segredos e Mistérios,Waleria Rosado,,,,LIGHTNING SOURCE INC,,YFD,
52038,78213,A Fairy Tale,Anja Stephan,,,,Books on Demand,,,1DDF-FR-LAA|FRD
52041,22009,A Feast For Crows (Hardback reissue),George R.R. Martin,,,,HarperCollins Publishers,,FM,
52042,7110,A Feast for Crows. Slipcase Edition,George R. R. Martin,,,,Harper Collins Publ. UK,,FM,
52043,6355,A Feast of ABCs,Gail Radley,,,,George Ronald Publisher Ltd,,YBLA,
52044,1962,"A Field Guide to Monsters: Googly-Eyed Wart Floppers, Shadow-Casters, Toe-Eaters, and Other Creature",Johan Olander,,,,TWO LIONS,,YFD,
52045,4924,A Fighting Chance,Claudia Melandez Salinas,,,,ARTE PUBLICO PR,,YXHL,1KBB|YF|YXQ
52047,15262,A Flower and a Tree,Alex Edwards-Jones,,,,Austin Macauley Publishers Ltd,,YFJ,
52048,42647,A French Family Visits America,Marjorie H. Bantle,,,,Xlibris,,YFB,1KBB|YNM
52049,78718,A Friend at the Zoo (Bubble Guppies),Random House,,,,RANDOM HOUSE,,YFZZ,YFC
52050,73284,A Gaggle of Goblins,Suzanne Harper,,,,GREENWILLOW,,YFD,YFQ
52051,44085,A Game of Hide-And-Seek,Tennant Redbank,,,,RANDOM HOUSE,,YFZZ,YFJ
52052,77605,A Game with Fun Fruit and Friends Volume I,Capt Cowboy,,,,Xlibris,,YFU,
52053,62909,A Garrafa,Erick Trautvein Otoni,,,,INDEPENDENTLY PUBLISHED,,FMT,
52054,35809,A Gift,P. S. Wall,,,,Xlibris,,FM,
52055,57340,"A Girl Called T.O.M,",Jackie Marchant,,,,Wacky Bee Books,,YFQ,
52057,48526,A Girl's Best Friend,Harriet May Savitz,,,,AUTHORHOUSE,,YFP,YXG
52058,63201,A Goblin's Mind - Large Print Format,J. D. Dresner,,,,The Corwyn Chronicles,,FMB,
52059,33646,A Good Horse: Book Two of the Horses of Oak Valley Ranch,Jane Smiley,,,,YEARLING,,YFP,
52061,61183,A Guide to Talking to Children About Drug Addiction,Adrienne Allen,,,,LIGHTNING SOURCE INC,,YXJ,YF
52063,4741,A Hero Born,Michael A. Stackpole,,,,WordFire Press LLC,,FMB,
52064,271,A Hero Born: The Definitive Edition,Jin Yong,,,,ST MARTINS PR,,FMB,FMH
52066,48091,A Home for Little Teddy: Leveled Reader Red Fiction Level 5 Grade 1,,,,,HOUGHTON MIFFLIN,,YF,
52067,76041,A Horse Named Dragon,,,,,ALBERT WHITMAN & CO,,YFCF,
52068,63045,A Jar Full Of Angel Feathers,Susan Russell,,,,LIGHTNING SOURCE INC,,YFH,
52069,75363,A Kentucky Colonel in Wagner Land,Kenneth Tucker,,,,Lulu.com,,FL,
52071,27979,"A Key, An Egg, An Unfortunate Remark",Harry Connolly,,,,Radar Avenue Press,,FM,
52072,17260,"A Kidnapped Santa Claus by L. Frank Baum, Fiction, Fantasy, Fairy Tales, Folk Tales, Legends & Mytho",L. Frank Baum,,,,Aegypan,,FM,
52073,32965,"A Kids Life: Loving, Learning, Growing",Alana Konieczka,,,,CHRISTIAN FAITH PUB INC,,YFK,
52075,33557,A Kingdom Far and Clear: The Complete Swan Lake Trilogy,Mark Helprin,,,,CALLA ED,,FM,
52077,6050,A Knight's Fairytale,Nicole Lisena Landsman,,,,LIGHTNING SOURCE INC,,YFJ,
52078,26880,"A Land Remembered, Volume 1, Student Guide Edition",Patrick D Smith,,,,Pineapple Press,,YNMH,YFB
52079,19161,"A Land Remembered, Volume 2, Student Guide Edition",Patrick D Smith,,,,Pineapple Press,,YNMH,YFB
52081,27759,A Learning Experience,Jennifer Vanderwoude,,,,iUniverse,,YFB,YX
52082,69952,A Letter from David James to Paul: Do Good To Others,Chris Sadler,,,,CHRISTIAN FAITH PUB INC,,YFK,
52083,13549,A Little Help From the Imps (family edition),Matt Lake,,,,LIGHTNING SOURCE INC,,YFJ,
