|itemID|title|author|language|collection|isbn|publisher|description|main topic|subtopics
51957|77824|625 Dinge, die ein MÄDCHEN wissen muss und getan haben sollte, bevor sie zur FRAU wird|Katrin Nusshold||||Schwarzkopf + Schwarzkopf||YXW|"5AN|YF"
51969|36863|80 Rätsel tief unten im Meer|||||moses. Verlag GmbH||YBGH|"YBL|YNVP"
51972|18124|97 Ways to Train a Dragon|Kate McMullan||||GROSSET DUNLAP||YFH|"YFQ|YFS"
51974|74389|999: What is Your Emergency?|Maria Sare||||Pegasus Elliot Mackenzie Publishers||YBLP|
51985|51409|A Bell Sound Everlasting|J. Z. N. McCauley||||iUniverse||FM|
51997|18109|A Buck and A Puck|J. L. W||||Tellwell Talent||YNWM2|YFR
52000|60584|A Cacophony of Puppets|Sarah-Noémie Laurin||||Blurb||FM|
52004|68414|A Caterpillar, a Bee and a VERY Big Tree|Dicksy Wilson, D. B. Sanders||||YORKSHIRE PUB||YBL|YFP
52008|40561|A Chronicle of the Flo-Zuang Conflict|John Lorenzo Barton||||Xlibris||FL|
52009|50158|A Cobblestone Island Christmas|Mary I. Schmal||||Christian Faith Publishing, Inc||YFK|"5PGM|YFT"
52029|17676|A Dolphin Wish|Natalie Grant||||ZONDERVAN||YFK|
52034|56803|A Dream of the Ways of God?|John Collins||||Westbow Press||FMB|
52037|17316|A Face First|Priscilla Cummings||||PUFFIN BOOKS||YF|
52039|25335|A Family Embraced with Tragedy|Daniel Lango, Matt Hughes, Kris McMullen||||iUniverse||FMH|
52040|51570|A Family Haggadah I, 2nd Edition|Rosalind Silberman||||KAR BEN PUB||YNRJ|
52046|17950|A Flare of Fate|Victoria Constance||||Lulu.com||FL|
52056|65205|A Girl Made of Air|Nydia Hetherington||||MOBIUS||FMH|FV
52060|4901|A Good Night for Shooting Zombies|Jaco Jacobs||||Oneworld Publications||YFB|"YFC|YXF"
52062|4697|A Hard Day's Knight|Simon R. Green||||ACE||FM|
52065|49|A Hollow in the Hills|Ruth Frances Long||||O'Brien Press Ltd||YFH|
52070|20943|A Kestrel for a Knave|Barry Hines||||Penguin Books Ltd||FBA|
52074|29970|A King in Cobwebs: The Tales of Durand, Book Three|David Keck||||TOR BOOKS||FMB|
52076|1015|A Kitten Called Tiger|Holly Webb||||Little Tiger Press Group||YFB|"5AG|YFP"
52080|71603|A Last Chance|Kaz Daum||||Xlibris||FL|
52084|1467|A Little Piece of Ground|Elizabeth Laird||||Pan Macmillan||YXZW|"1FBP|YFB"
52099|79036|A Natural History of Dragons: A Memoir by Lady Trent|Marie Brennan||||TOR BOOKS||FM|
52100|66123|A Needed Message|Michael A. Kamandulis||||Lulu Publishing Services||FL|
52105|8937|A Patriotic Schoolgirl (WWI Centenary Series)|Angela Brazil||||Read Books||YFT|YNJ
52115|30980|A Printer's Choice|W. L. Patenaude||||Izzard Ink||FLQ|
52124|75147|A Rescue in Cyberspace|Rosemarie Riechel||||Xlibris||FM|
52128|78839|A SIGHT UNSEEN|Craig R Key||||Craig R Key||FL|
52137|56591|A Series of Unfortunate Events #3: The Wide Window|Lemony Snicket||||HARPERCOLLINS||YXFF|"YFC|YFN|YFQ"
52140|26047|A Series of Unfortunate Events 05. The Austere Academy|Lemony Snicket||||Egmont UK Limited||YFCF|"5AH|YFA|YFH"
52142|47187|A Series of Unfortunate Events 09. The Carnivorous Carnival|Lemony Snicket||||Egmont UK Limited||YFB|"5AH|5AJ"
52143|51593|A Series of Unfortunate Events 10. The Slippery Slope|Lemony Snicket||||Egmont UK Limited||YFB|"5AH|5AJ"
52144|62402|A Shadow on the Glass|Ian Andrew Irvine||||Santhenar Trust||FMB|
52148|70982|A Short History of England, 2020-2089|David Tirr||||Xlibris||FMH|
52150|46702|A Sloop of War|Philip K Allan||||Penmore Press LLC||FJ|FM
52151|10590|A Small Person Far Away|Judith Kerr||||HarperCollins Publishers||YFT|"4Z-GB-ACJ|1DFG|YFY|3MPQ"
52153|37719|A Soul Reclaimed|Shayna Grissom||||Fitzhenry & Whiteside Ltd||YF|
52156|11990|A Spell of Nine|Gary Goldstein||||Frogshadow Press||YFH|
52158|15288|A Star's Wish|Debra L. Pirsos||||BALBOA PR||YFG|
52167|71433|A Strange Land|Alan Gibbons||||Barrington Stoke Ltd||YFB|5AR
52183|43654|A Toothfully Spellbinding Summer|Ellen Cappello||||iUniverse||YFH|
52184|58486|A Trial By Error|Susan Eschbach||||Fleet Press||FLS|
52192|61427|A Voyage To The Moon|George Tucker||||Kessinger Publishing, LLC||FL|
52196|74100|A Wedding for Wiglaf?|Kate McMullan||||GROSSET DUNLAP||YFH|YFQ
52199|13213|A Wicked Thing|Rhiannon Thomas||||HARPERCOLLINS||YFJ|YFM
52201|23984|A Winding Road to Freedom|Randall Wisehart||||Friends United Press||YFT|1KBB
52204|27772|A Wizard's Wings|T. A. Barron||||PUFFIN BOOKS||YFJ|YFH
52205|45720|A Woman Like Me|Francine Rodriguez||||Booklocker.com, Inc.||FF|FH
52206|32418|A Wonderful Dream of a Legend|Christie||||Trafford Publishing||FM|
52208|20642|A World Of Assassins|Neil Davies||||Lulu.com||FL|
52217|39955|A is for Alaska: Written by Kids for Kids|Boys And Alaska||||ALASKA NORTHWEST BOOKS||YBLA|"1KBB|YDP|YNMC"
52223|49464|A to Z for You and Me|Judy Good||||Xlibris||YBLA|
52247|20874|ADRIAN EL ASTRONAUTA|Braulio Sanchez Vazquez||||Lulu.com||YFB|
52249|4777|AL's Awesome Science: Splash Down|Jane Clarke||||Five Quills||YFB|"YFC|YFN"
52258|23785|ANGELS|||||BlackHarePress||DNT|FL
52263|33985|ANOTHER DAWN II|Jr. Mark a. Sommer||||Lulu.com||FL|
52270|51825|ARTery|Christopher Fesl||||NOVA MD||AG|"D|UG|X"
52273|59442|ATLANTEAN|Michael L. Olvera||||AuthorHouse||FL|
52276|51097|AUTISTIC: The concealment|Kaddu Alex Realms||||Just Fiction Edition||FB|
52281|21821|Ab heute gehe ich in die Schule!|Christine Fehér||||cbt||YFS|5AG
52288|43708|Abenteuer lass nach|Scott Meyer||||LUZIFER-Verlag||FDK|"1DDU|FLG|FMK"
52310|7966|Absence of Mind|H. C. H. Ritz||||Grey Gecko Press||FL|
52322|55605|Achtung! Cthulhu - Handbuch: Afrika Feldzug|Lynne Hardy||||Uhrwerk||WD|"WD|WDHW"
52332|27863|Actividades con números para infantil (30 juegos de encontrar las diferencias)|Garcia Santiago||||Fichas de preescolar||YBG|
52333|72130|Actividades con sumas para preescolar (Genio de las mates Vol. 2)|Garcia Santiago||||Fichas de preescolar||YBG|
52334|64102|Actividades de contar números de Pre-infantil (30 juegos de encontrar las diferencias)|Garcia Santiago||||Fichas de preescolar||YBG|
52336|67516|Actividades divertidas de contar para la guardería (30 juegos de encontrar las diferencias)|Garcia Santiago||||Fichas de preescolar||YBG|
52349|11984|Adam, the American|Ph. D. Thomas E. Berry||||Strategic Book Publishing & Rights Agency, LLC||YFT|"1KBB|3MLQ-US-B|3MLQ-US-C"
52360|30687|Addison Cooke and the Tomb of the Khan|Jonathan W. Stokes||||PUFFIN BOOKS||YFC|"YFQ|YFT"
52371|54078|Adult Stories: Touching Tales of Love and Loving|René Blanco||||LIGHTNING SOURCE INC||YFQ|
52385|14577|Affinity|Dianne J. Wilson||||Pelican Book Group||YFH|
52393|2514|After Eventide|Catherine Olson||||Lulu.com||FL|
52394|16623|After I Wake|Emma Griffiths||||Dreamspinner Press LLC||YFB|"5PS|YXB"
52401|49329|Afterglow Dust|Amos Keppler||||Midnight Fire Media||FMT|
52426|23525|Agog! Ripping Reads|Cat Sparks||||Agog Press||DNT|FM
52427|3133|Ahlice's Adveenturs in Wunderlaant|Lewis Carroll||||Evertype||YFH|
52428|50518|Ailbe and the Elements|Lind Edwards||||Balboa Press||FM|
52433|36643|Air Service Boys Over the Rhine (WWI Centenary Series)|Charles Amory Beach||||Last Post Press||YFT|YNJ
52447|58392|Aladdin Live Action Novelization|||||Hachette Book Group USA||YFZZ|"YFC|YFH|YFJ"
52453|61625|Alba d'Inverno|Swonild Ilenia Genovese||||Lulu.com||FM|
52455|63739|Alben und Trolle - Die schwarze Armee|Max Heubeck||||Lübbe||FM|"5AT|FMB"
52463|54573|Alex Rider 01. Stormbreaker. 15th Anniversary Edition|Anthony Horowitz||||Walker Books Ltd.||YFZR|"5AK|5AL|YFB|YFCB|YNMH"
52470|78688|Alex Rider: Secret Weapon: Seven Untold Adventures from the Life of a Teenaged Spy|Anthony Horowitz||||PUFFIN BOOKS||YFCB|YFCF
52471|43589|Alex Sparrow and the Zumbie Apocalypse|Jennifer Killick||||Firefly Press Ltd||YFC|"YFG|YFN|YFS"
52472|44983|Alex and Sally See the Galaxy|Yvette Absalom||||Nightingale Book||YFG|
52473|53373|Alex, Who Won His War|Chester Aaron||||Zumaya Thresholds||YFT|"1KBB|3MP"
52484|52444|Alfred's Dragon|Dennis Knapp||||Medieval Dude Books||YFT|"3KH|3KL"
52489|60046|Alibi Junior High|Greg Logsted||||ALADDIN||YFCF|
52502|41465|Alice's Adventures in Wonderland (Translated into Lao)|Lewis Carroll||||Center for Lao Studies||YFB|
52503|45355|Alice's Adventures in Wonderland - Illustrated by Millicent Sowerby|Lewis Carroll||||LULU PR||YFA|"YFH|YFJ"
52504|28998|Alice's Adventures in Wonderland and Other Stories|Lewis Carroll||||Sterling Publishing||FBC|
52515|33172|Aliens!|Alan MacDonald||||Little Tiger Press Group||YFQ|"5AF|YFS"
52521|45555|Alistair Grim's Odditorium|Gregory Funaro||||Alma Books Ltd||YFH|
52530|49690|All I Want for Christmas. Eine Weihnachts-Romance in Manhattan|Julia K. Stein||||Ravensburger Verlag||YFM|"5AQ|5AX|5HPD|1KBB-US-NAKC|FRD|FRM|YFB|YFM"
52532|8262|All Sorts to Make a World|John Agard||||Barrington Stoke Ltd||YFB|5AR
52534|48754|All We Can Do Is Wait|Richard Lawson||||Penguin Putnam Inc||YF|
52537|26640|All by Myself!|Aliki||||HARPERCOLLINS||YXE|"YF|YXD"
52540|38985|All of This Is True|Lygia Day Penaflor, Lygia Day Peñaflor||||Bloomsbury Publishing PLC||YFB|
52543|49659|All the Rage|Courtney Summers||||GRIFFIN||YXQF|YF
52556|38519|Alles Liebe zur Geburt (Junge)|||||Butzon & Bercker||WZG|"5ABB|5JB|5PGM"
52571|57112|Almost Midnight|C C Hunter||||Griffin Publishing||YFH|
52603|28445|Alternative Energien|Walter Guttropf||||Books on Demand||FDB|
52612|52082|Am Abgrund|Michael Grumley||||Heyne Taschenbuch||FL|1KB
52618|51519|Am I the Princess or the Frog? (Dear Dumb Diary #3), Volume 3: Am I the Princess or the Frog?|Jim Benton||||SCHOLASTIC||YFQ|
52619|66994|Am Wasser|Ida Wenzel||||Tessloff||YBG|"5AC|JNLA"
52624|46709|Amatimasi Am Time|Richard Herbert||||Trafford Publishing||FM|
52626|51425|Amazing Magnetism|Rebecca Carmi||||PERFECTION LEARNING CORP||YF|
52630|18702|Ambassador 1|Patty Jansen||||Capricornica Publications||FLS|
52634|72597|Ambrhmi|Sally Andrew||||Lulu.com||FL|
52639|17879|Amelia Bedelia Goes Camping|Peggy Parish||||GREENWILLOW||YFQ|
52640|73324|Amelia Bedelia's Family Album|Peggy Parish||||HARPERCOLLINS||YFQ|YFN
52644|32127|American Demon|Kim Harrison||||Penguin Putnam Inc||FM|
52659|1299|Among the Red Stars|Gwen C. Katz||||HARPERTEEN||YFCW|"YFM|YFT"
52668|21931|Amy's New Dress|Vicki D. King||||Strategic Book Publishing & Rights Agency, LLC||YXQF|YFB
52671|53691|An Assassin's Creed Series. Last Descendants. Das Schicksal der Götter|Matthew J. Kirby||||FISCHER New Media||YFC|5AN
52681|65194|An Inherited Past|Demas Huckaba||||Lulu Publishing Services||FL|
52683|78793|An Oxford Anthology of Mystery Stories|Dennis Hamley||||Oxford University Press||YFCF|"5AK|YFU"
52684|53475|An der Spoar - Schicksalsjahre eines kleinen Moseldorfes|Peter Essner||||epubli||FV|
52691|16913|Ancient Illumination II|Rod van Blake||||Rod Van Blake||FL|
52704|42621|Andi's Indian Summer|Susan K. Marlow||||KREGEL PUBN||YFK|
52713|65209|Ang Mananambal nga Iring: Cebuano Edition of The Healer Cat|Tuula Pere||||WICKWICK LTD||YFC|YFP
52725|51299|Angelfall 02 - Tage der Dunkelheit|Susan Ee||||Heyne Taschenbuch||FLP|"1KBB|FLP|FLQ|FMX"
52735|61103|Angstmän|Hartmut El Kurdi||||Carlsen Verlag GmbH||YFQ|"5AL|YFB|YFN|YFQ"
52741|71986|Animal Tails|Corinne Koonz-Pushman, Pat Orrell, Erin & Emily Va||||Friends of Faith||YFU|
52748|16421|Animals Spanish/English|Editor||||GARDNER MEDIA LLC||YBL|
52757|14107|Anna Banana: A Golden Yellow Banana Slug|J. D. James a. Gauthier||||AUTHORHOUSE||YF|
52759|17809|Anna Q und die Suche nach Saphira|Norbert Wibben||||epubli||FM|
52768|53448|Anna und Tommy und die Anatomie|Godeleine de Rosamel, Francoise de Guibert||||Jacoby & Stuart||YBCB|"5AC|YBL|YNTA"
52778|18761|Annie and Snowball and the Shining Star, Volume 6|Cynthia Rylant||||SIMON SPOTLIGHT||YXHB|YFP
52781|40719|Annähernd Alex|Jenn Bennett||||Carlsen Verlag GmbH||YXHL|"5AQ|1KBB-US-WPC|ATF|FRD|YFB|YFM|YXHL"
52789|73185|Anspruch auf Grace|Susan Stoker||||Stoker Aces Production||FRM|
52808|73187|Anywhere Farm|Phyllis Root||||CANDLEWICK BOOKS||YFP|
52822|43884|Aprender a contar en infantil (30 juegos de encontrar las diferencias)|Garcia Santiago||||Fichas de preescolar||YBG|
52824|78097|Aprender a contar en preescolar, hojas imprimibles (30 juegos de encontrar las diferencias)|Garcia Santiago||||Fichas de preescolar||YBG|
52826|70479|Aprender a contar para preescolar (Genio de las mates Vol. 2)|Garcia Santiago||||Fichas de preescolar||YBG|
52827|32802|Aprender los números (30 juegos de encontrar las diferencias)|Garcia Santiago||||Fichas de preescolar||YBG|
52828|59893|Aprender los números en el parvulario (30 juegos de encontrar las diferencias)|Garcia Santiago||||Fichas de preescolar||YBG|
52829|78721|Aprender los números en el parvulario (Genio de las mates Vol. 2)|Garcia Santiago||||Fichas de preescolar||YBG|
52830|15586|Aprender los números para preescolar (30 juegos de encontrar las diferencias)|Garcia Santiago||||Fichas de preescolar||YBG|
52831|55359|Apygárda|Dominik Albinus||||Books on Demand||FMB|
52834|38254|Aquakadabra - Ente|||||Yo Yo Books||YBCB|
52850|24581|Archer and Zowie|Hans Bluedorn||||Hans Bluedorn||YNNZ|YFG
52863|15784|Are You Too Big for This Book?: An Interactive Measurement Book|Ann Knipp||||LIGHTNING SOURCE INC||YFCA|
52879|7565|Arifureta: From Commonplace to World's Strongest (Light Novel) Vol. 7|Ryo Shirakome||||Seven Seas Entertainment, LLC||YFB|
52884|55981|ArkhaManiacs|Art Baltazar||||DC Comics||XADC|YF
52886|43230|Arlo Finch in the Valley of Fire|John August||||Palgrave USA||YFC|
52892|56703|Army Boys in the French Trenches (WWI Centenary Series)|Homer Randall||||Last Post Press||YFT|YNJ
52893|44099|Army Boys on the Firing Line (WWI Centenary Series)|Homer Randall||||Last Post Press||YFT|YNJ
52903|11159|Arthur C. Clarke's Venus Prime 2|Paul Preuss||||iPicturebooks||FL|
52904|52390|Arthur Mervyn (Volume II); Or, Memoirs Of The Year 1793.|Charles Brockden Brown||||Lector House||FXM|
52905|75825|Arthur oder Wie ich lernte, den T-Bird zu fahren|Sarah N. Harvey||||dtv Verlagsgesellschaft||YFB|"5AQ|YFM"
52913|41587|As Cinco Esposas de Nathan|Clovis Nicacio||||LIGHTNING SOURCE INC||FLG|
52914|70524|As Time Unfolds Itself|Ronald R. Pittman||||Xlibris||FM|
52916|47636|As the Shepherd of All|Sarah S. P. Liebing||||COVENANT BOOKS||YFK|
52934|66191|Ash|Malinda Lo||||Hachette Children's Group||YFB|
52945|50345|Asking for it|Louise O'Neill||||Quercus Publishing Plc||FBA|"5AQ|YF"
52952|55203|Assensus|Petra Vaas||||tredition||FB|
52953|73902|Assertion Trials|Melaina Rayne||||Melaina Rayne||FRT|
52959|16235|Asterix: Asterix and Son|Albert Uderzo||||Hachette Children's Group||XADC|"5AH|YF"
52960|12806|Asterix: Asterix and The Great Divide|Albert Uderzo||||Hachette Children's Group||XADC|"5AH|YF"
52961|22629|Asterix: Asterix and The Secret Weapon|Albert Uderzo||||Hachette Children's Group||XADC|"5AH|YF"
52962|1349|Asteroid Destruction|Bobby Akart||||Bobby Akart Inc.||FLQ|
52969|122|Astrosaurs 10: The Star Pirates|Steve Cole||||Penguin Random House Children's UK||YFC|"5AH|YFG|YFP"
52970|28858|Astrosaurs 8: The Terror-Bird Trap|Steve Cole||||Penguin Random House Children's UK||YFC|"5AH|YFG|YFP"
53004|16126|Attack of the Shark-Headed Zombie|Bill Doyle||||RANDOM HOUSE||YFQ|YFD
53022|1068|Auf der richtigen Seite|William Sutcliffe||||Rowohlt Taschenbuch||YXZW|"5AN|1FBP|YFB|YXZW"
53029|75208|Aufmarsch der Wachsfiguren|Alban C. König||||Books on Demand||FM|
53030|4290|Auge um Auge|Jenny Han, Siobhan Vivian||||dtv Verlagsgesellschaft||YXHB|"5AQ|5JA|1DDU-GB-E|1KBB|YFM|YFS"
53033|69970|August Skies|Kathleen Souza||||Black Rose Writing||YFB|YXW
53051|28543|Ausbauregeln 2 Kampf Taschenbuch|Jason Bulmahn||||Ulisses Spiel & Medien||FM|"FMB|WDHW"
53076|66054|Autos und Laster|Andrea Erne, Ursula Weller||||Ravensburger Verlag||YNTR|"5ABK|YBLT|YNT|YNTG|YNTP"
53105|34008|Aventurisches Götterwirken 2 (Hardcover)|Zoe Adamietz, David Schmidt, Alex Spohr||||Ulisses Spiel & Medien||WDHW|"FMB|WDHW"
53110|167|Awaken|Katie Kacvinsky||||Houghton Mifflin Harcourt Publishing Company||YFH|
53119|38796|Ayda, Bär und Hase|Navid Kermani||||dtv Verlagsgesellschaft||YXHB|"5AG|YFB|YFC|YFP"
53121|79062|Ayla und das Tal der Grossen Mutter|Jean M. Auel||||Heyne Taschenbuch||FYT|"1D|FV|FYT|3B"
53126|50508|Azulamar|Sarah J Hannemann||||Books on Demand||FB|
53136|38529|BEX|Tomke Jantzen||||Books on Demand||FMK|"FMK|FMX|FRX"
53138|2986|BFF Breakup|Taylor Morris||||ALADDIN||YXHB|YF
53144|31153|BLISSFUL HIGH - Das Leben kann tödlich enden|Maya Rock||||cbt||YFE|"5AQ|5LF|YFM|3MR"
53146|59277|BLUES BONES|Rick Starkey||||Make It Magic||YFH|YNX
53150|37764|BOY IN THE BURNING HOUSE|Tim Wynne-Jones||||St. Martins Press-3PL||YFCF|
53155|64275|Babe & Me|Dan Gutman||||PERFECTION LEARNING CORP||YFZR|"1KBB|YFR|YFT"
53157|35709|Baby Be Brilliant|Jessica Cassick||||LIGHTNING SOURCE INC||YFH|
53189|45891|Bad Call|Stephen Wallenfels||||DISNEY-HYPERION||YFCB|YFM
53203|18170|Baditude! What to Do When Life Stinks!|Julia Cook||||BOYS TOWN PR||YXE|YF
53204|23338|Bagatelle per un massacro|Louis Ferdinand Céline||||Omnia Veritas Ltd||FUP|
53208|62855|Bahnstieg Blaa|Swen Moritzen||||Books on Demand||FM|
53215|3691|Ball Caps and Khakis|Jo Ramsey||||Dreamspinner Press LLC||YFB|"5PS|YXB"
53228|76882|Bank Heist at St George|Maelyn Bjork||||Xlibris US||FM|
53235|48727|Banshees!|Stefan A Boes||||Books on Demand||FB|
53236|57018|Barba blu, Le fate e Cappuccetto rosso|Carlo Collodi, Charles Perrault||||Lulu.com||FM|
53259|56972|Bastelspaß Einhornzauber|||||Trötsch||YBG|
53267|13787|Battle of the Blue Lanterns|Michael V. Acampora||||STONE ARCH BOOKS||YFC|
53269|54903|Battle the Banshee|Regina M Geither||||Loconeal Publishing, LLC||YFH|
53271|50316|Battlestar Galactica Trilogy|Craig Shaw Gardner, Peter David, Steven Harper||||St. Martins Press-3PL||FLS|
53272|3650|Battling Boy|Paul Pope||||Roaring Brook Press||XADC|YF
53274|13418|Bau dir dein Auto|Joachim Klang||||Heel Verlag GmbH||YNV|"5AF|YBG|YBL|YNV"
53290|63484|Bear Dancer|Thelma Hatch Wyss||||McElderry||YFX|1KBB
53295|50367|Bear-Bear Catches a Fairy|Chaz Rider||||DAVID C COOK||YF|
53296|7984|Bear-Bear Gets Left Behind|D. C. Cook||||DAVID C COOK||YF|
53297|72134|Beary Special|Jenna Stewart Raines||||ARCHWAY PUB||YXQ|YF
53301|11804|Beast Quest: Sepron the Sea Serpent|Adam Blade||||Hachette Children's Group||YFB|5AH
53302|45507|Beast Quest: Tagus the Horse-Man|Adam Blade||||Hachette Children's Group||YFB|5AH
53305|58456|Beasts of Olympus 7: Gods of the North|Lucy Coats||||Templar Publishing||YFB|"5AF|5AH"
53306|51137|Beasts of Olympus 8: Unicorn Emergency|Lucy Coats||||Templar Publishing||YFH|"5AH|YFP"
53308|20222|Beatrice Bunson's Guide to Romeo and Juliet|Paula Marantz Cohen||||PAUL DRY BOOKS||YFS|
53325|19950|Beauty and the Beast and Other Stories|Sarah Hines Stephens||||SCHOLASTIC||YFA|
53327|42023|Beauty and the Beast: A Story about Trust|Meredith Rusu||||CHILDRENS PR||YFJ|
53330|63249|Beaver Towers: The Witch's Revenge|Nigel Hinton||||Penguin Random House Children's UK||YFC|5AK
53333|3579|Because I'm Worth It|Cecily von Ziegesar||||LITTLE BROWN BOOKS FOR YOUNG R||YXHL|"YF|YXHB"
53344|49429|Bedtime for Baby Shark / La Cama, Bebé Tiburón (Bilingual): Doo Doo Doo Doo Doo Doo / Duu Duu Duu Du|||||SCHOLASTIC||YBLJ|YFP
53360|2001|Beginning|Shane Taylor||||Lulu.com||FL|
53364|47232|Begraben in der Tiefe|Ina May||||Brighton Verlag GmbH||YFD|5AH
53370|68479|Bei Freispruch Verbannung|Rita Peter||||epubli||FM|
53405|54451|Belas und Euryn|Michael Beer||||Armbrustverlag||FM|1K
53406|10594|Belforte Storie dentro il Castello|Mariateresa Stefania Pantaleo||||Lulu.com||FM|
53407|11328|Belgariad - Der Ewige|David Eddings||||Blanvalet Taschenbuchverl||FMB|
53408|66214|Belgariad - Die Königin|David Eddings||||Blanvalet Taschenbuchverl||FMB|
53452|18098|Benny and the Fox|Sally a. Berkes||||AUTHORHOUSE||FYB|FM
53453|24150|Benny the Big Shot Goes to Camp|Bonnie Bader||||GROSSET DUNLAP||YXE|YF
53462|7011|Berenstain Bears And The Papa's Day Surprise|Stan Berenstain||||Random House USA Inc||YPCA91|"2ACB|YFB|YPJJ3|YXF"
53484|6465|Beta|April Klasen||||April Klasen||FL|
53492|31773|Betsy Who Cried Wolf|Gail Carson Levine||||HARPERCOLLINS||YFJ|
53495|78760|Better Off Friends|Elizabeth Eulberg||||SCHOLASTIC||YXHB|"YFM|YFQ"
53500|1438|Betty Bee's Attitude: With Mortimer, Millie and Maude Mouse|Jacquelyn S. Arnold||||AUTHORHOUSE||YFK|
53510|13103|Beware Our Power!|Scott Sonneborn||||STONE ARCH BOOKS||YFC|
53518|988|Beyond Borders|Bobby Akart||||Bobby Akart Inc.||FLQ|
53520|10096|Beyond Human|W. R. Hagen||||Xlibris US||FL|
53525|56209|Beyond the Black Gates|Marcus Henry Junior||||AuthorHouse||FM|
53536|33799|Bibel-Rätsel-Mix. Bd.5|||||Francke-Buch||YNVP|"5AJ|YBG|YNR"
53556|48741|Biene Maja - Kindergartenfreundebuch in Wabenform|||||Panini Verlags GmbH||WZG|"5AF|Y|YBL|YZG"
53569|3360|Big Nate|Lincoln Peirce||||Andrews McMeel Publishing||XADC|YF
53575|44272|Big Nate: Welcome to My World|Lincoln Peirce||||Andrews McMeel Publishing||YFB|
53580|31812|Bigger|Patricia Calvert||||Aladdin||YFT|"1KBB|3MNB-US-D|3MNQ-US-E"
53583|4938|Biggles Defends the Desert|W E Johns||||Penguin Random House Children's UK||YFC|5AK
53584|39078|Biggles Goes to War|W E Johns||||Penguin Random House Children's UK||YFB|5AK
53593|60018|Billy Budd in the Breadbox: The Story of Herman Melville and Eleanor|Jana Laiz||||CROW FLIES PR||YFN|"1KBB|YFT|YFX"
53604|76880|Binny Bewitched|Hilary Mckay||||Hachette Children's Group||YFB|"5AK|4Z-GB-ACJ|YFN"
53615|39590|Birthday|Meredith Russo||||Usborne Publishing Ltd||YXHL|"4Z-GB-ACT|YFM"
53627|4977|Bite Me.|Fallon Jones||||Lulu.com||FL|
53646|76367|Black Dagger 05. Mondspur|J. R. Ward||||Heyne Taschenbuch||FMR|"1KBB-US-NAK|FB|FRX|FYT"
53650|27115|Black Dagger 15. Vampirseele|J. R. Ward||||Heyne Taschenbuch||FMR|"1KBB-US-NAK|FRX|FYT"
53651|51548|Black Dagger 16. Mondschwur|J. R. Ward||||Heyne Taschenbuch||FMR|"1KBB-US-NAK|FL|FRX|FYT"
53661|66528|Black Friday|Candace Gauger||||Xlibris||FM|
53683|72994|Blackfish City|Sam J. Miller||||HarperCollins||FM|
53696|44779|Blastin' the Blues|Loren Long, Phil Bildner||||SIMON & SCHUSTER BOOKS YOU||YFN|"YFH|YFR"
53700|39207|Blaues Feuer|Thomas Hoffmann||||epubli||FM|
53706|34631|Bleakley Brothers Mystery: What Manor of Murder?|Christopher William Hill||||Hachette Children's Group||YFCF|"5AK|4Z-GB-ACJ"
53713|50809|Blind Temptation|Stacy McKitrick||||Mythical Press||FRT|
53715|45854|Blindside (Graphic Reluctant Reader)|Alex Francis||||Maverick Arts Publishing||XADC|"5AR|YF"
