titleQueried|titleFound|author|language|description|isbn
WAS IST WAS Quiz FuÃŸball|WAS IST WAS Quiz Fußball||de||9783788621308
Spring in eine PfÃ¼tze! Mein perfekter FrÃ¼hling/ Mein perfekter Sommer. Wendebuch|||||
Spring in eine PfÃ¼tze! Mein perfekter FrÃ¼hling/ Mein perfekter Sommer. Wendebuch|||||
Spring in eine PfÃ¼tze! Mein perfekter FrÃ¼hling/ Mein perfekter Sommer. Wendebuch|||||
Spring in eine PfÃ¼tze! Mein perfekter FrÃ¼hling/ Mein perfekter Sommer. Wendebuch|||||
Spring in eine PfÃ¼tze! Mein perfekter FrÃ¼hling/ Mein perfekter Sommer. Wendebuch|||||
Spring in eine PfÃ¼tze! Mein perfekter FrÃ¼hling/ Mein perfekter Sommer. Wendebuch|||||
Und dann kamst du|Und dann kamst du|Becky Wade|de|"Nora Bradford hat ein Faible für die 1950er-Jahre - und sie betreibt Ahnenforschung. Als bei dem erfolgreichen John Lawson eine erblich bedingte Krankheit diagnostiziert wird, muss er sich gezwungenermaßen mit seiner Vergangenheit auseinandersetzen - und dadurch auch mit der Tatsache, dass er als Kind zur Adoption freigegeben wurde. Gemeinsam mit Nora begibt er sich auf die Suche nach seinen leiblichen Eltern. Je mehr Zeit die beiden zusammen verbringen, desto klarer wird ihnen, dass sie eigentlich perfekt zusammenpassen. Doch es gibt gleich mehrere Haken an der Sache ... Der Roman wurde 2018 mit dem ""Christy Award"" für das ""Buch des Jahres"" ausgezeichnet."|9783961224128
Und dann kamst du|Und dann kamst du|Heike Abidi|de|Nach dem Unfalltod ihres Zwillingsbruders ist die Welt der neunzehnjährigen Claire völlig aus den Fugen geraten. Will sie überhaupt noch Medizin studieren? Und wenn nicht, was könnte sie sonst mit ihrem Leben anfangen? Claire fühlt sich unvollständig und haltlos, probiert sich aus, lässt sich treiben ... bis zu jener denkwürdigen Nacht, in der sie IHN sieht. Der junge Mann fasziniert sie auf den ersten Blick – doch dann steigt er aus dem Bus aus, bevor sie Gelegenheit hat, ihn anzusprechen. Und lässt seinen Rucksack liegen! Wenn das kein Zeichen ist ... Claire nimmt den Rucksack mit und hofft, dass der Inhalt mehr über den Unbekannten verrät. Doch bis auf eine Einkaufsliste, ein Sweatshirt, ein Päckchen Streichhölzer und einen Kugelschreiber findet sie darin lediglich ein Notizbuch mit einem einzigen Tagebucheintrag. Sie geht den wenigen Hinweisen nach, die sie hat – in der Hoffnung, dem mysteriösen Unbekannten wieder zu begegnen. Spontan macht Claire sein Tagebuch zu ihrem eigenen und hält ihre Suche darin fest, dabei adressiert sie ihre Einträge direkt an den Unbekannten, sie erzählt ihm von ihren Ängsten, ihrem Leben und natürlich ihrer großen Sehnsucht nach ihm. Werden sie sich jemals gegenüberstehen?|9783864180958
Und dann kamst du|Und dann kamst du ...|Verena Darms|en||9783941598287
Und dann kamst du|Und dann kamst Du...|Nelly Möbius|en||9783748519348
Und dann kamst du|Dann kamst du|Eva Herman|de||9783453211995
Ich hab einen Freund, der ist Astronaut|Ich hab einen Freund, der ist Astronaut||de||
Vampire Academy - SchattentrÃ¤ume|||||
Vampire Academy - SchattentrÃ¤ume|||||
Vampire Academy - SchattentrÃ¤ume|||||
Vampire Academy - SchattentrÃ¤ume|||||
Vampire Academy - SchattentrÃ¤ume|||||
Vampire Academy - SchattentrÃ¤ume|||||
Wir spielen Kasperltheater|Wir spielen Kasperltheater|Peter Mitschitczek|en||9783990060469
Wir spielen Kasperltheater|Wir spielen Kasperletheater|A. Weissenberg-Seebohm, C. Taudin-Chabot, Christja Mees-Henny|de|Puppenspiel von der Theorie zur Praxis für Erzieher und ein jüngstes Publikum.|9783772523441
Der Herr der Ringe|Der Herr der Ringe|J.R.R. Tolkien|de|- Neuausgabe in rotem Leinen - in aufwendiger Ausstattung - enthält alle drei Teile des »Herrn der Ringe«, samt Anhängen und Register - auf dem neuesten Stand der Tolkienforschung - Neuausgabe in rotem Leinen - in aufwendiger Ausstattung - enthält alle drei Teile des »Herrn der Ringe«, samt Anhängen und Register - auf dem neuesten Stand der Tolkienforschung »Der Herr der Ringe« in zwei Sätzen: Einem jungen Hobbit namens Frodo wird ein Ring anvertraut, von dem eine dunkle Macht ausgeht. Frodo macht sich mit seinen Freunden auf eine abenteuerliche Reise, um das von der zerstörerischen Kraft des Rings bedrohte Auenland zu retten.|9783608105353
Der Herr der Ringe|Der Herr der Ringe|J. R. R. Tolkien|de|Ein beschauliches Dorf im Auenland. Alles ist ruhig und friedlich, bis der junge Hobbit Frodo einen unvorstellbar gefährlichen Auftrag bekommt: Er muss eine Fahrt quer durch Mittelerde ins düstere Mordor antreten, um dort den Einen Ring der Macht zu zerstören... Denn nur so kann die dunkle Herrschaft Saurons gebrochen werden. (Quelle: Buchdeckel verso).|9783608939828
Der Herr der Ringe|Der Herr der Ringe|John Ronald Reuel Tolkien|de||9783608930009
Der Herr der Ringe|Der Herr der Ringe||de||
Harry Potter 4 and the Goblet of Fire|Harry Potter and the Goblet of Fire|J. K. Rowling|en|The fourth title in the continuing saga includes Harry's latest adventure at Hogwarts School of Witchcraft and Wizardry.|9780439139595
Harry Potter 4 and the Goblet of Fire|Harry Potter and the Goblet of Fire|Inc. Scholastic, J. K. Rowling|en|Sequel to: Harry Potter and the prisoner of Azkaban.|9780606323482
Covet|Covet|Tracy Wolff|en|I may have reached my breaking point. As if trying to graduate from a school for supernaturals isn’t stressful enough, my relationship status has gone from complicated to a straight-up dumpster fire. Oh, and the Bloodletter has decided to drop a bomb of epic proportions on us all... Then again, when has anything at Katmere Academy not been intense? And the hits just keep coming. Jaxon’s turned colder than an Alaskan winter. The Circle is splintered over my upcoming coronation. As if things couldn’t get worse, now there’s an arrest warrant for Hudson’s and my supposed crimes—which apparently means a lifetime prison sentence with a deadly unbreakable curse. Choices will have to be made...and I fear not everyone will survive. The Crave series is best enjoyed in order. Reading Order: Book #1 Crave Book #2 Crush Book #3 Covet Book #4 Court|9781682816158
Covet|Covet|Melissa Darnell|en|Dangerous to be together. Painful to be apart. Savannah Colbert knows she broke up with Tristan Coleman for the right reasons. Most of all, to keep from killing him with her new vampire abilities. But try telling her heart. Now, lost in a sea of hostile Clann faces, Sav tries to come to terms with what she's becoming and what that means for her future. And that someone is doing their best to bully her into making a terrible mistake. Tristan can't believe Sav won't even talk to him. If being apart is her decision, fine. Just don't expect him to honor it. But even as he prepares to fight for the girl he loves, forces beyond their control take them both in directions neither could have foreseen or prepared for. A reckoning is coming…and not everyone will survive.|9781459241282
Covet|Covet|Tracey Garvis Graves|en|The bestselling author of summer romance, On the Island, is back with another tantalising and unique love story Local police officer Daniel Rush had it all until a tragic accident took away everything he cherished. Then he pulls over Claire Canton. Claire is at a crossroads in her marriage. Her husband Chris is battling his own demons, retreating to a dark place where no one can reach him, not even Claire. She's left feeling she has nowhere to turn. Until she and Daniel run into each other again. It doesn't take long before Claire and Daniel are in way over their heads and skating close to a line that Claire has sworn she'll never cross . . . Praise for Tracey Garvis Graves: 'Beautifully written and desperately romantic' Closer|9781405911887
Covet|Covet|Jessa James|en|No one is coming to save me. I am his Fiore now, his flower. To do with as he wishes. And he wants everything. Monster wants my tears, my screams of pleasure, my shudders of fear. In return, he also brings me these moments of startling clarity. I know who I think I am. I know who he says I am. I feel I’m somewhere between, lost in an ocean of pain. When he trots out my brother with a wide smile, I’m forced to choose between them. It’s a simple choice: the only family I have left, or the Monster I’m increasingly drawn to?|
Covet|Covet|Andris Bear|en|All she ever wanted was a normal life. Heaven and Hell had other plans. Strong-willed Joey Benton is the half-mortal child of an angel with heavenly powers. She has no knowledge of her heritage or the power running through her veins until she meets a handsome stranger who forces her to question her life and the world around her. And she quickly becomes a key player in a battle that will define a victory for Heaven or Hell. Ursus, a sexy Archangel, doesn’t want the responsibility of another charge, especially when Joey is so defiant. Protecting her from Hell might very well be the biggest challenge of his immortal life. But when his feelings for Joey get in the way of his duty, it’s a challenge he refuses to lose. *Previously published as Angel Unborn Correct reading order: 1. Covet 2. Wrath 3. Greed 4. Lust 5. Glutton 6. Envy 7. Pride|
Covet|Covet|Felicity Heaton|en|The hottest vampire romance series you'll read this year! Step behind the curtain of Vampirerotique and discover a dangerously seductive world of vampires, shifters, fae and angels in this series of passionate page-turning forbidden romances. They've burned for each other for two years, the forbidden attraction between them growing each night. Now resisting the sinful desires of their hearts is becoming impossible. Javier knows better than to succumb to his hunger for Lilah, a mortal female belonging to a powerful patron of Vampirerotique, the theatre he runs with three other vampires. A single touch is all it would take to break the sacred law of his kind, sentencing himself to death, but his passion for her has become too fierce to ignore. He will risk everything to claim Lilah. Lilah has fought her desire for Javier, but each glance he steals, his eyes promising pleasure and so much more, ignites a fire inside her that will no longer be denied. She will risk everything to win his heart and her freedom. When their resistance burns away in the heat of a wild moment, what will await them--the eternity they desire or death? If you love passionate, steamy paranormal romances with no cliffhangers and no cheating, and plenty of bite, then you won't be able to put down this addictive series of vampire romances from an NY Times and USA Today best-selling author of over 60 books! Grab your copy now and get ready to scorch your e-reader with this hot vampire romance. Enter the dark, sinful and seductive world of the four vampire owners of London's premier vampire theatre, Vampirerotique, and discover how these powerful vampires will be brought to their knees by the women who claim their hearts in this passionate, intense and thrilling vampire romance series from New York Times and USA Today best-selling paranormal romance author Felicity Heaton: Book 1: Covet Book 2: Crave Book 3: Seduce Book 4: Enslave Book 5: Bewitch Book 6: Unleash|9781911485193
Covet|Covet|Alana Albertson|en||9781941665107
A Vow So Bold and Deadly|A Vow So Bold and Deadly|Brigid Kemmerer|en|KINGDOMS WILL CLASH. CHOOSE YOUR SIDE. Grey has been revealed as the rightful prince of Emberfall. But the kingdom is crumbling fast, torn between his claim and that of the reigning Prince Rhen and Princess Harper. Newly crowned as Queen of the enemy kingdom Syhl Shallow, Lia Mara struggles to rule with a gentler hand than her mother. But as Grey moves closer to claiming the crown of Emberfall, both Harper and Lia Mara are forced to question where they stand – and how far they can follow the dictates of their hearts. Brigid Kemmerer's heart-pounding saga comes to a thrilling climax, as two kingdoms come closer and closer to conflict – and an old enemy resurfaces who could destroy them all.|9781526613844
Kiss Me Never (Crushed-Trust-Reihe 1)|Kiss Me Never (Crushed-Trust-Reihe 1)|Lana Rotaru|de|"""Die Liebe ist eine mächtige Waffe. Sie kann dich retten oder vernichten."" **Niemals gehört dir mein Herz** Andrew King starb vor sechs Monaten bei einer Fahrt mit seinem Motorrad. Alle glauben an einen Unfall. Nur seine Schwester Amanda ist sich sicher: Es war Mord. Und ganz oben auf ihrer Liste der Verdächtigen steht der selbstverliebte und arrogante Frauenheld Dante. Auf der Suche nach Beweisen versucht sie in den Kreis der Zetas zu gelangen, der Studentenverbindung ihres Bruders. Doch dabei kommt sie dem attraktiven Dante gefährlich nahe ... ""Dieses Buch hat absolut fünf Sterne verdient, und wenn es mehr zu vergeben gäbe, dann würde ich noch fünf weitere geben."" Weitere Leserstimmen zur Reihe: ""Love it!"" ""Ich bin dermaßen sprachlos und berührt."" ""Einfach genial."" ""Ein wahrer Geniestreich."" ""Emotionsgeladen und Spannung pur!"" ""Ich liebe jede Zeile!"" //Dies ist der erste Band der gefühlvollen New Adult Romance von Lana Rotaru. Alle Bände der ""Crushed Trust""-Reihe bei Impress: -- Kiss Me Never (Band 1) -- Hold Me Tonight (Band 2) -- Save Me Now (Band 3) -- Love Me Forever (Band 4)// Die ""Crushed Trust""-Reihe ist eine überarbeitete Neuauflage von Lana Rotarus Reihe ""Never and Forever"". Diese Reihe ist abgeschlossen."|9783646605570
Hold Me Tonight (Crushed-Trust-Reihe 2)|Hold Me Tonight (Crushed-Trust-Reihe 2)|Lana Rotaru|de|"""Für eine Sekunde stand die Welt still. Die Zeit hielt an und mein Herzschlag setzte aus."" **Heute Nacht gehört dir mein Herz** Bei dem Versuch, den Mörder ihres Bruders zu finden, deckt Amanda Geheimnisse auf, die andere lieber versteckt wissen wollen und die sie zunehmend an Andrew zweifeln lassen. Nicht mal mehr ihrem eigenen Herzen kann sie vertrauen, das noch immer für den Mann schlägt, der in den Tod ihres Bruders verwickelt sein könnte. Dante, den arroganten Frauenhelden mit den starken Armen, die sie in der einen Sekunde festhalten und in der nächsten fallen zu lassen drohen ... ""Dieses Buch hat absolut fünf Sterne verdient, und wenn es mehr zu vergeben gäbe, dann würde ich noch fünf weitere geben."" Weitere Leserstimmen zur Reihe: ""Love it!"" ""Ich bin dermaßen sprachlos und berührt."" ""Einfach genial."" ""Ein wahrer Geniestreich."" ""Emotionsgeladen und Spannung pur!"" ""Ich liebe jede Zeile!"" //Dies ist der erste Band der gefühlvollen New Adult Romance von Lana Rotaru. Alle Bände der ""Crushed Trust""-Reihe bei Impress: -- Kiss Me Never (Band 1) -- Hold Me Tonight (Band 2) -- Save Me Now (Band 3) -- Love Me Forever (Band 4)// Die ""Crushed Trust""-Reihe ist eine überarbeitete Neuauflage von Lana Rotarus Reihe ""Never and Forever"". Diese Reihe ist abgeschlossen."|9783646605587
Fingerstempel-SpaÃŸ Kunterbunt|Fingerstempel-Spaß Kunterbunt||en||9783845836904
Picklewitch & Jack and the Cuckoo Cousin|Picklewitch & Jack and the Cuckoo Cousin|Claire Barker|en|NOBODY tells ME what to do BECUZ. I DUZ what I LIKES and I LIKES what I DUZ OH YES! Jack's new best friend Picklewitch is still causing marvellous mischief at St Immaculate's School for the Gifted. When she receives a letter from her cousin Archie Cuckoo, telling her he's coming to stay, Jack worries that she'll lose interest in him. But this new cousin turns out to be unexpectedly nice, and it's Picklewitch whose nose is put out of joint when Archie and Jack get along really well. But Archie is not all he seems, and soon both Picklewitch and Jack realise there are sinister plans afoot!|9780571335213
Nichts|Nichts|Gottlieb Stephanie|de||
Nichts|nichts|Matthias Rothe|de|Das ideale Geschenk für alle Menschen, die sich nichts wünschen! Kennen Sie jemanden, dem Sie gerne etwas Außergewöhnliches schenken wollen, auch wenn er sich nichts wünscht? Für diese Menschen gibt es jetzt nichts. Einen kleinen Bildband mit eingefangenem Nichts. Leere Stellen, wo wir anderes erwarten und damit die Möglichkeit bekommen eine Auszeit von visueller Überforderung zu nehmen. Leere Stellen im Alltag die zum Nachdenken und Innehalten einladen. Dieser Bildband ist auch das ideale Geschenk an sich selbst, wenn man sich zwar nichts gönnt, aber dennoch etwas verdient hat.|9783752682854
Nichts|Nichts|Wilfried Kähler|de||9783826012594
Das Schwert der Vorsehung|Das Schwert der Vorsehung|Andrzej Sapkowski|de|"Untiere, Dämonen, Spannung und Witz ""Was soll man von dir halten - ein Hexer, der jeden zweiten Tag ein einträgliches Angebot ausschlägt? Die Hirikka tötest du nicht, weil die am Aussterben sind, den Streitling nicht, weil er unschädlich ist, die Nächtin nicht, weil sie nett ist, den Drachen nicht, weil's der Kodex verbietet ..."" Der Hexer Geralt von Riva verdient seinen Lebensunterhalt recht und schlecht mit dem Beseitigen von allerlei Ungeheuern. Nicht selten begegnen ihm die Leute, die ihn anheuern, mit tiefem Argwohn. Doch damit kann er leben. Obwohl es sein Ehrenkodex eigentlich verbietet, schließt er sich einer Gruppe von Drachenjägern an - denn die Zauberin Yennefer, seine verlorengeglaubte Geliebte, ist unter ihnen. Aber die Interessen der Jäger sind zu unterschiedlich: Es beginnt ein Kampf jeder gegen jeden. Und ganz allmählich wird eine Bedrohung der festgefügten Ordnung spürbar ... Das gleichnamige Hörbuch erscheint bei JUMBO. Weitere Informationen finden Sie hier."|9783423400329
Zeit des Sturms|Zeit des Sturms|Andrzej Sapkowski|de|Die Bücher zur NETFLIX-Serie – Die Vorgeschichte 2 in der opulenten Fan-Edition Das Königreich Kerack wird von Kämpfen um den Thron erschüttert. Auf der Suche nach Arbeit reist der Hexer Geralt von Riva dorthin und wird kurz nach seiner Ankunft verhaftet. Die Zauberin Koralle will ihn so zwingen, den Auftrag einer Gruppe von Zauberern anzunehmen. Er soll einen Dämon finden, der in Menschengestalt blutige Massaker verübt. Mit Unterstützung des Barden Rittersporn wieder frei, beginnt Geralt eine erotische Affaire mit Koralle und nimmt den Auftrag an. Es stellt sich heraus, dass einer der Zauberer die Dämonengeschichte erfunden und selbst die Morde begangen hat, um sich Geralts zu bemächtigen, an dessen außergewöhnlichen Augen er ein obskures Interesse hat ...|9783423426091
Zeit des Sturms|Zeit des Sturms|Mila Sommerfeld|de|Ein prachtvolles Kaufhaus, eine mächtige Familie und eine verbotene Liebe Die dreiteilige Familiensaga in Zeiten des Aufruhrs Würzburg, 1933: Als sich Sophia Wagner ausgerechnet in einen Mann verliebt, der wegen seiner politischen Gesinnung von den Mitgliedern der NSDAP verfolgt wird, gerät ihr Leben aus den Fugen. Denn sie gewährt ihm Unterschlupf, wissend, dass sie dabei ihr Leben riskiert und auch ihre Familie in große Gefahr bringt. Zudem gehört ihr Vater der Partei an und vertritt ihre Inhalte aus Überzeugung. Sophias Liebe aber dämpft die Angst vor der Verfolgung, die sie oftmals zu ersticken droht. Als ihrem Geliebten die Flucht gelingt, ist sie erleichtert und der festen Überzeugung ihn eines Tages wiederzusehen. Doch dann kommt alles anders als erwartet ... Erste Leserstimmen „die Geschichte schildert eindringlich eine bewegte Zeit, die Familie und Liebende trennte“ „eine fesselnde Familiensaga um drei Schwestern“ „ich habe bereits „Zeit des Glanzes“ verschlungen und konnte hier endlich mehr übder die Charaktere erfahren“ „die Beschreibungen des prächtigen Kaufhauses, der Mode der 30er Jahre und der historischen Begebenheiten ließ mich komplett in die Geschichte eintauchen“ „eine bittersüsse Liebes- und Familiengeschichte mit gut recherchiertem, historischen Hintergrund“ Weitere Titel dieser Reihe Zeit des Glanzes (ISBN: 9783960875888) Zeit der Hoffnung (ISBN: 9783960876786)|9783960876779
Zeit des Sturms|Zeiten des Sturms|Nele Neuhaus|de|Die Weite Nebraskas. Ein Herz voller Sehnsucht. Der Traum eines Lebens. Sheridan Grant wollte alle Brücken hinter sich abbrechen, um ein neues Leben zu beginnen. Mit Paul Sutton, der sie liebt und auf Händen trägt. Weit entfernt von der Willow Creek Farm, und weit entfernt von dem Mann, der ihr Herz gebrochen hat. Doch kurz vor der Hochzeit kommen ihr Zweifel. Sie kehrt zurück nach Nebraska, und völlig unverhofft bietet sich ihr die Chance, den größten Traum ihres Lebens zu verwirklichen. Aber dann holt sie das dunkle Geheimnis aus ihrer Vergangenheit ein, das ihr Leben zerstören kann ... Endlich: der dritte Teil der Bestsellerserie um Sheridan Grant!|9783843722933
Zeit des Sturms|Kinder des Sturms|Nora Roberts|de|Darcy und Trevor: Sie fühlen sich wie magisch voneinander angezogen – doch wird er sein Herz je wieder öffnen können? Die selbstbewusste Darcy Gallagher glaubt fest an die Magie der Legenden – und an die Macht des Geldes. Eines Tages kommt der amerikanische Geschäftsmann Trevor Magee in den kleinen irischen Ort Ardmore, in dem Darcy mit ihren Brüdern Aidan und Shawn einen Pub führt. Er möchte dort ein Theater bauen. Auf der Stelle ist er fasziniert von der eigenwilligen Darcy, die ihn mit ihrer Schönheit und wachen Intelligenz alles andere vergessen lässt. Doch als ihre Leidenschaft in Liebe umschlägt, passiert etwas völlig Unerwartetes ... Alle Bände der Reihe: Insel des Sturms. Die Sturm-Trilogie 1 Nächte des Sturms. Die Sturm-Trilogie 2 Kinder des Sturms. Die Sturm-Trilogie 3|9783641099206
The Testaments|The Testaments|Margaret Atwood|en|"A New York Times bestselling modern masterpiece that ""reminds us of the power of truth in the face of evil” (People)—and can be read on its own or as a sequel to Margaret Atwood’s classic, The Handmaid’s Tale. “Atwood’s powers are on full display” (Los Angeles Times) in this deeply compelling Booker Prize-winning novel, now updated with additional content that explores the historical sources, ideas, and material that inspired Atwood. More than fifteen years after the events of The Handmaid's Tale, the theocratic regime of the Republic of Gilead maintains its grip on power, but there are signs it is beginning to rot from within. At this crucial moment, the lives of three radically different women converge, with potentially explosive results. Two have grown up as part of the first generation to come of age in the new order. The testimonies of these two young women are joined by a third: Aunt Lydia. Her complex past and uncertain future unfold in surprising and pivotal ways. With The Testaments, Margaret Atwood opens up the innermost workings of Gilead, as each woman is forced to come to terms with who she is, and how far she will go for what she believes."|9780385543798
Die Dunkelmagierin|Die Dunkelmagierin|Arthur Philipp|de|Eine junge Magierin, ein uralter düsterer Orden, eine fast vergessene Prophezeiung Fejas Talent für die Magie ist groß, doch noch kann die junge Frau es nicht nutzen. Als sie sich entschließt, der Schule der grauen Magier beizutreten, wird sie rasch zum Spielball der Intrigen der Mächtigen. Denn einst waren die grauen Magier gefürchtet, und es gibt Kräfte im Orden, die diesen um jeden Preis wieder zur alten Macht zurückführen wollen. Feja muss rasch lernen, ihre Magie zu nutzen, oder sie wird zwischen den Fronten zerquetscht werden. Doch niemand im Orden ahnt, dass eine dritte Partei Vorbereitungen trifft, um die tausend Jahre alte Ordnung zu zerschlagen – und Feja soll ihr Werkzeug sein ...|9783641180577
The Invisible Life of Addie LaRue|The Invisible Life of Addie LaRue|V.E. Schwab|en|In the vein of The Time Traveler's Wife and Life After Life, The Invisible Life of Addie LaRue When Addie La Rue makes a pact with the devil, she trades her soul for immortality. But there's always a price - the devil takes away her place in the world, cursing her to be forgotten by everyone. Addie flees her tiny home town in 18th-Century France, beginning a journey that takes her across the world, learning to live a life where no one remembers her and everything she owns is lost and broken. Existing only as a muse for artists throughout history, she learns to fall in love anew every single day. Her only companion on this journey is her dark devil with hypnotic green eyes, who visits her each year on the anniversary of their deal. Alone in the world, Addie has no choice but to confront him, to understand him, maybe to beat him. Until one day, in a second hand bookshop in Manhattan, Addie meets someone who remembers her. Suddenly thrust back into a real, normal life, Addie realises she can't escape her fate forever.|9781785652516
Small Gods|Small Gods|Terry Pratchett|en|'Just because you can't explain it, doesn't mean it's a miracle.' In the beginning was the Word. And the Word was: 'Hey, you!' This is the Discworld, after all, and religion is a controversial business. Everyone has their own opinion, and indeed their own gods, of every shape and size, and all elbowing for space at the top. In such a competitive environment, shape and size can be pretty crucial to make one's presence felt. So it's certainly not helpful to be reduced to appearing in the form of a tortoise, a manifestation far below god-like status in anyone's book. In such instances, you need an acolyte, and fast: for the Great God Om, Brutha the novice is the Chosen One – or at least the only One available. He wants peace and justice and brotherly love. He also wants the Inquisition to stop torturing him now, please...|9781407034843
Small Gods|Small Gods|Alex Quicho|en|Small Gods deconstructs the mythology of the drone: as soothing sound, aerial spy, and killing machine. When we say 'drone technology,' we can mean the tanpura, a plucked-string instrument originating in 16th century India, or the Gorgon Stare, an aerial surveillance technology designed by the US military - and evoke competing notions of terror and transcendence. Small Gods leans into this ambiguity. As each chapter focuses on the work of an artist with a unique understanding of 'the drone', the book illuminates myriad facets of these entangled technological entities. Opening with William Basinki's first glimpse of the ash-clouds of 9/11 - which spawned both The Disintegration Loops and the drone-driven War on Terror - the narrative then zooms into the representational sleights of hand of British and American artists preoccupied with the West's stake in endless drone wars. Its midsection lands us in the doldrums: where Anne Imhof's Angst, Anna Mikkola's drone-watched runner, and Atef Abu Saif's drone war memoir find maddening safety in boredom, raising questions about the trade-offs between security and surveillance. In the final section, the narrative uncouples from earthly oppression - we're freed to explore future and spirit worlds with artists including Korakrit Arunanondchai, Lawrence Lek, and WangShui, all of whom use drone technology to envision a future beyond the burden of colonialism, racism, exclusion or, simply, representation. Empty metal becomes a vessel for escape, connection, or intention; a future-facing spirit, a ride into the afterlife, a god or a ghost.|9781789040050
Small Gods|Small Gods|Matthew Minicucci|en||9781936970476
