itemID|title|author|publisher|language
40360|a sketch romance of motion|alec lee|kessinger publishing llc|Englisch
43852|a song of ice and fire 02 a clash of kings|george r r martin|harper collins publ uk|Englisch
636|a song of ice and fire 05 a dance with dragons|george r r martin|random house lcc us, harper collins publ uk|Englisch
40679|a step beyond|nancy bell|books we love ltd|Englisch
25258|a stitch in time|laurie campbell, penelope lively, wendy milton|pawprint publishing, harpercollins 360, trafford publishing|Englisch
71805|a story aboutus|noah turner|lulucom|Englisch
10383|a tale of teeth or how venice beach florida became the sharks tooth capital of the world|linda dunn|newman springs pub inc|Englisch
37178|a thousand nights|ek johnston|pan macmillan|
19365|a unicorn helped me build a growth mindset a cute children story to help kids build confidence per|steve herman|lightning source inc|Englisch
52145|a viagem de loucos|gerson ingrês|blurb inc|
76123|a walk on the shoreline inuktitut|rebecca hainnu|inhabit media|
13951|a walk on the tundra rankin|rebecca hainnu anna ziegler|inhabit media|
43896|a week without tuesday|angelica banks|allen & unwin|
56519|a whole new world how to be an antiracist a story that inspires kids and parents to see beyond col|ibrahim k mendy|lightning source inc|Englisch
40000|a wild day at the zoo / tegganernarqellria erneq ungungssirvigmi   yupik yugtun edition childre|victor dias de oliveira santos|lightning source inc|
77492|a winning wednesday|roy obe noble|graffeg limited|
35283|a wonderland welcome a fun n learn activity guide to morgans wonderland|morgans wonderland|halo pub intl|Englisch
78710|abbie love without a cause|greta alves malcolm|lightning source inc|Englisch
32431|abc |alberto blanco|loqueleo|
73108|abcs|lesia davidson elie|xlibris|Englisch
77624|abenteuerklassiker paket 3 bde|mark twain charles dickens robert louis stevenso|impian gmbh|
54636|abenteurerhandbuch fuer die schwertkueste|rodney thompson joseph carriker brian cortijo j|ulisses spiel & medien|
1050|abgrund|michael kern|books on demand|Deutsch
10283|abigail platts cuspids|doc mcduke|guardian angel pub|
62794|abiyoyo|pete seeger|perfection learning corp, aladdin|
42037|abla and her wonderful coat level 8|collins uk|harpercollins uk|Arabisch, Englisch
21068|aboriginal art|isabel thomas|harpercollins publishers|Englisch
44746|about the things i like|vanessa weuffel|planet|Deutsch
11110|abraham|katheryn maddox haddad|northern lights publishing house|Deutsch
63859|abschied mit himmelsgloeckchen|birgitt moeck claudia hiekel|lebensweichen verlag|Deutsch
52543|accountant did you mean money wizard blank line occupation journal to show appreciation to that co|thithiajobs|independently published|Englisch
9940|achub anifail llosgi lloches|j burchett s vogler|gwasg carreg gwalch|
29980|across the universe|nan, beth revis|penguin random house childrens uk, fantastic books, razorbill|Deutsch, Englisch, Türkisch (Untertitel: Deutsch, Englisch, Türkisch)
31332|actividades de contar números de pre infantil diviértete aprendiendo a contar con estos 20 juegos d|garcia santiago|fichas de preescolar|Spanisch
48577|activity book|diana aleksandrova|dedoni llc|Deutsch, Englisch
72491|adam|penelope dyan|bellissima publishing llc|Deutsch
65924|adam & eve|katheryn maddox haddad|northern lights publishing house|Deutsch
29854|addestra il tuo drago a condividere teach your dragon to share un libro sui draghi per insegnare |steve herman|lightning source inc|Italienisch
63236|addestra il tuo drago a fare amicizia teach your dragon to make friends una simpatica storia per |steve herman|lightning source inc|Italienisch
59840|addestra il tuo drago a provare cose nuove get your dragon to try new things una simpatica storia|steve herman|lightning source inc|Italienisch
68016|addestra il tuo drago a volersi bene train your dragon to love himself una simpatica storia per b|steve herman|lightning source inc|Italienisch
14290|addestra il tuo drago ad essere responsabile una simpatica storia per bambini per educarli ad assu|steve herman|lightning source inc|Italienisch
56021|addestra il tuo drago arrabbiato train your angry dragon una simpatica storia per bambini per ed|steve herman|lightning source inc|Italienisch
10582|adelita a mexican cinderella story|tomie depaola|perfection learning corp, puffin books|Englisch
9002|aditi and the one eyed monkey|suniti namjoshi|tulika print communication services|
76108|adriand|jeanette s hansen|blurb inc|Englisch
53522|adventures in many lands|algernon blackwood william webster et al|lector house|Englisch
31430|adventures of a zombie an unofficial minecraft diary volume 3|books kid|silver dolphin books|Englisch
52946|advice about work and play claudia cristina cortez uncomplicates your life|diana g gallagher|capstone pr|Englisch
4600|aerie and reckoning|thomas e sniegoski|simon pulse|Englisch
62619|aeronautica|marie h mittmann tino falke sarah stoffers len|art skript phantastik|Deutsch
67528|aesops fables|nan, aesop|simon & brown, northsouth books, penguin random house childrens uk, wildside pr, dover pubn inc|Deutsch, Englisch
56836|aesops fables|nan, aesop|simon & brown, northsouth books, penguin random house childrens uk, wildside pr, dover pubn inc|Deutsch, Englisch
64488|aesops fables|nan, aesop|simon & brown, northsouth books, penguin random house childrens uk, wildside pr, dover pubn inc|Deutsch, Englisch
61208|aesops fables|nan, aesop|simon & brown, northsouth books, penguin random house childrens uk, wildside pr, dover pubn inc|Deutsch, Englisch
42768|aesthetician because freakin badass is not an official job title appreciate your friend with this f|aesthetician notebook|independently published|Englisch
78366|after|shawn m tomlinson, morris gleitzman|penguin random house childrens uk, lulucom|Deutsch
64516|after the storm|adegoke austin adedamola triple a, nick butterworth|new generation publishing, harpercollins publishers|Deutsch
24338|again again|e lockhart|hot key books, random house lcc us|Deutsch
44727|agatha i doni della luce|alessia g dangelo|independently published|Italienisch
3133|ahlices adveenturs in wunderlaant|lewis carroll|evertype|
76044|air dragons & other rare sky creatures|jessica feinberg|jessica c feinberg|Englisch
36643|air service boys over the rhine wwi centenary series|charles amory beach|last post press|Englisch
53305|aiuta il tuo drago a gestire lansia help your dragon deal with anxiety una simpatica storia per |steve herman|lightning source inc|Italienisch
72299|aiuta il tuo drago a imparare dagli errori help your dragon learn from mistakes una simpatica sto|steve herman|lightning source inc|Italienisch
12898|aiuta il tuo drago a superare i traumi una simpatica storia per bambini per aiutarli a comprendere|steve herman|lightning source inc|Italienisch
1683|alabama moon|watt key key watt, watt key|square fish, oetinger taschenbuch gmbh|Deutsch
29775|albatross|r a macavoy nancy l palmer|wordfire press llc|Englisch
76945|alcatraz versus the evil librarians|brandon sanderson|hachette childrens group|Englisch
28646|alex rider 04 eagle strike 15th anniversary edition|anthony horowitz|walker books ltd|Englisch
45222|alex rider 05 scorpia 15th anniversary edition|anthony horowitz|walker books ltd|Englisch
12014|alex rider 07 snakehead 15th anniversary edition|anthony horowitz|walker books ltd|Englisch
64111|alex rider 08 crocodile tears 15th anniversary edition|anthony horowitz|walker books ltd|Englisch
65331|alexander|alex gordon|xlibris|Deutsch
52201|alexis|rosemary wright|authorhouse uk|Deutsch
13848|alfie jones and the big decision|david fuller|rdf publishing|Englisch
75328|alice|danny pearson, oberschule lesum heinz helle|schuenemann ce, badger learning|Deutsch
31185|alice and other fairy plays for children   with original plates and four picture initials   with ori|kate freiligrath kroeker|pook press|Englisch
72957|alice im wunderland|lewis carroll, lewis caroll|nexx verlag, white star verlag, mantikore verlag, cbj|Deutsch
21572|alice in wonderland|mairi mackinnon, lewis carroll, s s b|usborne publishing ltd, penguin books ltd uk, book tree, samuel french, dover pubn inc|Deutsch
22210|alice in wonderland|mairi mackinnon, lewis carroll, s s b|usborne publishing ltd, penguin books ltd uk, book tree, samuel french, dover pubn inc|Deutsch
18276|alice in wonderland|mairi mackinnon, lewis carroll, s s b|usborne publishing ltd, penguin books ltd uk, book tree, samuel french, dover pubn inc|Deutsch
60327|alice uploads a picture book 2 in the princess alice series of online safety adventures|graham pullen|lightning source inc|Englisch
12344|alices adventirs in wunnerlaun alices adventures in wonderland in glaswegian scots|lewis carroll|evertype|
25331|alices adventures in wonderland|lewis carroll, lewis carroll tbd, lewis caroll, lewis carroll v a pearn|faber & faber, penguin books ltd uk, evertype, vulpine press, 1st world library   literary society, walker books ltd, aladdin, penguin random house childrens uk, sde classics, rockport publ, samuel french ltd, mint editions, pan macmillan, dover pubn inc, suzeteo enterprises|Deutsch, Englisch
33858|alices adventures in wonderland|lewis carroll, lewis carroll tbd, lewis caroll, lewis carroll v a pearn|faber & faber, penguin books ltd uk, evertype, vulpine press, 1st world library   literary society, walker books ltd, aladdin, penguin random house childrens uk, sde classics, rockport publ, samuel french ltd, mint editions, pan macmillan, dover pubn inc, suzeteo enterprises|Deutsch, Englisch
41465|alices adventures in wonderland translated into lao|lewis carroll|center for lao studies|
47096|alices aeventyr i sagolandet alices adventures in wonderland in swedish|lewis carroll john tenniel|evertype|Schwedisch
58170|alicess adventures in wonderland|lewis carroll|lightning source inc|Englisch
59832|alicia in terra mirabili|lewis carroll|evertype|
43831|aliento perruno el horrible problema de hali tosis = dog breath|dav pilkey|scholastic|Spanisch
77583|alis advencha ina wandalan|lewis carroll|evertype|
4154|alisha din a5   120 blanko seiten   mein malbuch   personalisierter kalender   vornamen   schoenes n|kreativ malbuch|independently published|
15770|all aboard reading schedules|daphne skinner|kane pr|Englisch
57497|all about winter weather|kathryn clay|capstone pr, capstone global library ltd|
77521|all in|jennifer lynn barnes, pete hautman|disney hyperion, simon & schuster books you|Deutsch
34457|all in a day|mitsumasa anno|puffin books, turtleback books|Deutsch
19864|all paws on deck branches book haggis and tank unleashed 1 volume 1|jessica young|scholastic|Englisch
22251|alle jahreszeiten|coloring bandit|coloring bandit|Deutsch
4218|allegiance|stephen llewelyn|fossil rock|Englisch
55554|alles gute zum geburtstag drache happy birthday dragon eine sueße kindergeschichte die kinder|steve herman|lightning source inc|
32259|alles gute zum geburtstag drache happy birthday dragon eine sueße kindergeschichte die kinder|steve herman|lightning source inc|
48004|alpha strike kompendium|ray arrastia herbert a beas ii|ulisses spiel & medien|Deutsch
22532|alphabet soup an abc book featuring whimsical illustrations and catchy rhymes about unconventional |judi flanagan|lightning source inc|Englisch
17244|alptraeume|stephan hoppenheidt|books on demand|Deutsch
4777|als awesome science splash down|jane clarke|five quills|Englisch
32106|altered|jeff pekarek, jennifer rush|xlibris, little brown books for young r|Deutsch
60775|altered states|paddy chayefsky, roy c booth jorge salgado reyes|epubli, indie authors press|Deutsch, Englisch
15841|alvin mckelvin the overstuffed bear|eileen holleran|kmh save the children found|Englisch
10275|alvo|matthew hammett|lulucom|Englisch
36789|always dance with a hairy buffalo ghost buddy 4 volume 4|henry winkler lin oliver|scholastic|Englisch
56134|alyssa chronicle the   the princess gardener book ii|michael strelow|john hunt publishing|Englisch
64765|am ende|tobias hartmann|books on demand|Deutsch
35155|ambassador|patty jansen|ticonderoga publications|
38631|ambush|dean m cole|candtor press llc|Deutsch, Englisch
19027|amelia bedelia|peggy parish|harpercollins publishers inc|Englisch
66698|american grown with filipino roots blank lined notebook / journal 6 x 9  120 pages   birthday gif|filipino publishing|independently published|Englisch
34806|american grown with indonesian roots blank lined notebook / journal 6 x 9  120 pages   birthday g|indonesian publishing|independently published|Englisch
44154|american royals|katharine mcgee, katherine mcgee|random house lcc us, penguin books ltd uk|Deutsch
79043|american royals|katharine mcgee, katherine mcgee|random house lcc us, penguin books ltd uk|Deutsch
40986|amina|eberhard knippel|books on demand|Arabisch, Deutsch
52328|amorvida return of the locai|huffman monk|lightning source inc|Englisch
3620|amy & rogers epic detour|morgan matson|simon + schuster inc, simon & schuster ltd|Deutsch
36159|amy is aumazing how it feels to have autism|paula powers|lightning source inc|Englisch
55280|an antarctic mystery by jules verne fiction fantasy & magic|jules verne|aegypan|Englisch
53666|an drumair|daibhidh macùistein|flying sheep publishing|
35436|an ember in the ashes 3 a reaper at the gates|sabaa tahir|harper collins publ uk|Deutsch
62483|an gwyns in helyk the wind in the willows in cornish|kenneth grahame|evertype|
15307|an hobbit pe eno ha distro the hobbit in breton|j r r tolkien|evertype|
25350|an old fashioned girl|louisa may alcott|alpha editions, puffin books, dover pubn inc|
1184|an old fashioned girl|louisa may alcott|alpha editions, puffin books, dover pubn inc|
3791|an old fashioned girl|louisa may alcott|alpha editions, puffin books, dover pubn inc|
51414|ana & andrew set 2 set of 4|christine platt|calico kid|Deutsch
48189|ancient|k t kimbrough|iuniverse|Deutsch, Japanisch (Untertitel: Deutsch)
55293|ancient china|heather adamson|capstone press|Englisch
11274|andromache und das geheimnisvolle amulett|samuriel sternenfeuer|arthanan verlag|Deutsch
34403|andromeda|luc adriaens, michael crichton, andrew hoesman, katona máté|heyne taschenbuch, united pc verlag, christian faith publishing inc, blurb inc|Deutsch
10560|andy grants pluck|jr horatio alger, horatio jr alger|lector house, bottom of the hill publishing|Englisch
37153|ang aking nanay ay kamangha mangha|shelley admont kidkiddos books|kidkiddos books ltd|
65209|ang mananambal nga iring cebuano edition of the healer cat|tuula pere|wickwick ltd|
41284|ang manggagamot na pusa tagalog edition of the healer cat|tuula pere|wickwick ltd|
35918|angel whitewolf|anonymous, francisco toledo rosenfield|palibrio|Englisch
17338|angel whitewolf|anonymous, francisco toledo rosenfield|palibrio|Englisch
73299|anger three stories about keeping anger from boiling over|ségolène de noueel violaine moulière gaëlle tertr|ignatius pr|Englisch
4674|animal academy|pat ramsey beckman, david r morgan|1st book library, lightning source inc|Englisch
71986|animal tails|corinne koonz pushman pat orrell erin & emily va|friends of faith|Englisch
37456|animalia humorosum aesops animal fables made more believable with a modern twist|ólafía l óla|lightning source inc|Englisch
16421|animals spanish/english|editor|gardner media llc|
14241|anisha mistry 01 is absolutely in control|serena patel|usborne publishing|Englisch
51403|anja personalisiertes notizbuch   fuchs mit herz   softcover   120 seiten   leer / blanko / nummeri|personal notebooks|independently published|Deutsch
33995|anna|luis walter, christian ehrhorn|epubli, books on demand|Deutsch
49904|anna an der kieler foerde|melanie wiesenthal|carow verlag|
25273|annabelle & aiden the story of life an evolution story|j r becker|imaginarium pr llc|Deutsch
64288|anne of avonlea by l m montgomery fiction classics family girls & women|l m montgomery|aegypan|Englisch
38552|anne of green gables|l m montgomery, lucy m montgomery, lm montgomery, lucy maud montgomery|random house uk ltd, tundra books inc, penguin books ltd uk, kessinger publishing llc, arcturus pub, alma books ltd, oxford childrens books, bantam juvenile, puffin books, random house, signet classics, sweet cherry publishing, aladdin, digireadscom, little brown book group, dover pubn inc, nimbus pub|Deutsch, Englisch, Englisch
56789|anne of green gables|l m montgomery, lucy m montgomery, lm montgomery, lucy maud montgomery|random house uk ltd, tundra books inc, penguin books ltd uk, kessinger publishing llc, arcturus pub, alma books ltd, oxford childrens books, bantam juvenile, puffin books, random house, signet classics, sweet cherry publishing, aladdin, digireadscom, little brown book group, dover pubn inc, nimbus pub|Deutsch, Englisch, Englisch
40677|anne of green gables|l m montgomery, lucy m montgomery, lm montgomery, lucy maud montgomery|random house uk ltd, tundra books inc, penguin books ltd uk, kessinger publishing llc, arcturus pub, alma books ltd, oxford childrens books, bantam juvenile, puffin books, random house, signet classics, sweet cherry publishing, aladdin, digireadscom, little brown book group, dover pubn inc, nimbus pub|Deutsch, Englisch, Englisch
1534|anne of green gables|l m montgomery, lucy m montgomery, lm montgomery, lucy maud montgomery|random house uk ltd, tundra books inc, penguin books ltd uk, kessinger publishing llc, arcturus pub, alma books ltd, oxford childrens books, bantam juvenile, puffin books, random house, signet classics, sweet cherry publishing, aladdin, digireadscom, little brown book group, dover pubn inc, nimbus pub|Deutsch, Englisch, Englisch
26048|anne of green gables|l m montgomery, lucy m montgomery, lm montgomery, lucy maud montgomery|random house uk ltd, tundra books inc, penguin books ltd uk, kessinger publishing llc, arcturus pub, alma books ltd, oxford childrens books, bantam juvenile, puffin books, random house, signet classics, sweet cherry publishing, aladdin, digireadscom, little brown book group, dover pubn inc, nimbus pub|Deutsch, Englisch, Englisch
66231|anne of green gables|l m montgomery, lucy m montgomery, lm montgomery, lucy maud montgomery|random house uk ltd, tundra books inc, penguin books ltd uk, kessinger publishing llc, arcturus pub, alma books ltd, oxford childrens books, bantam juvenile, puffin books, random house, signet classics, sweet cherry publishing, aladdin, digireadscom, little brown book group, dover pubn inc, nimbus pub|Deutsch, Englisch, Englisch
60856|annie|tommy donbavand|badger publishing|Deutsch
69724|annos counting book|mitsumasa anno anno, mitsumasa anno|turtleback books, harpercollins|Englisch
75691|anphibian   asceta/la rotta per le stelle|patrizio corda|lulucom|Italienisch
17616|anthem|rand ayn ayn rand, rand ayn|book jungle|Deutsch
40858|anthem|rand ayn ayn rand, rand ayn|book jungle|Deutsch
29025|anwen yr asyn|elli woollard|rily publications ltd|
4104|anything|marianne leigh sanchez ellazar|xlibris|Deutsch
476|aonbheannach draiochta peppa|peppa pig|black and white publishing|
18713|aphorismen and zitate|dietmar dressel|books on demand|Deutsch, Englisch
53810|apocthulhu core rules |dean engelhardt jo kreil kevin ross|lulucom|
8683|apotheosis|nicholas crivac, ross friedman|xlibris, stark road publishing|Englisch
20036|apples|erika l shores, erika  l shores|capstone pr, capstone global library ltd|Deutsch
68889|aprender a contar para preescolar diviértete aprendiendo a contar con estos 20 juegos de serpientes|garcia santiago, santiago garcia|fichas de preescolar|Spanisch
10170|april|parker|spul   simon pulse|Deutsch
50349|aqua eden|clayton cameron|tellwell talent|
66318|arcana  tales of myrh book one|trishia parson|lulucom|Englisch
78216|archdemons dilemma|fuminori teshima|j novel club|Englisch
57926|archdemons dilemma|fuminori teshima|j novel club|Englisch
66899|archdemons dilemma|fuminori teshima|j novel club|Englisch
70062|arcot morey & wade|john w campbell|leonaur|Englisch
61727|arctic tale junior novelization|barry varela|natl geographic soc|Englisch
44053|arden house|robert morrison bryan|arden house press|Deutsch
65726|are coconuts more dangerous than sharks|guy campbell paul moran|michael omara books ltd|Englisch
60732|arena kreuzwortraetsel fuer pferdefreunde|stefan haller|arena verlag gmbh|Deutsch
75440|arkadia|frank sherry, bernhard kempen|pmachinery, iuniverse|Deutsch
46074|armageddon|braxton stewart, donald d thompson, wolfgang hohlbein|braxton stewart, piper verlag gmbh, iuniverse|Arabisch, Deutsch, Dänisch, Englisch, Finnisch, Französisch, Hindi, Isländisch, Niederländisch, Norwegisch, Schwedisch, Spanisch (Untertitel: Deutsch, Englisch, Arabisch, Dänisch, Finnisch, Norwegisch, Schwedisch, Französisch, Holländisch, Hin
62150|armageddon    2419 ad by philip francis nowlan science fiction fantasy|philip francis nowlan|aegypan|Deutsch
44099|army boys on the firing line wwi centenary series|homer randall|last post press|Englisch
71313|around midnight|shadow hunter|westbow press|Englisch
18981|arrival|kenneth toles jr|lulucom|Deutsch, Dänisch, Englisch, Estnisch, Finnisch, Lettisch, Litauisch, Norwegisch, Russisch, Schwedisch, Spanisch, Türkisch, Ukrainisch (Untertitel: Deutsch, Englisch, Spanisch, Türkisch, Finnisch, Dänisch, Norwegisch, Schwedisch, Russisch, Litauis
51535|arroz con leche popular songs and rhymes from latin america bilingual|lulu delacre|scholastic|Spanisch
39138|artemis|andy weir|random house uk ltd, random house lcc us, heyne verlag, crown pub inc, heyne taschenbuch|Deutsch
76473|artemis|andy weir|random house uk ltd, random house lcc us, heyne verlag, crown pub inc, heyne taschenbuch|Deutsch
62474|artemis|andy weir|random house uk ltd, random house lcc us, heyne verlag, crown pub inc, heyne taschenbuch|Deutsch
19356|artemis|andy weir|random house uk ltd, random house lcc us, heyne verlag, crown pub inc, heyne taschenbuch|Deutsch
51825|artery|christopher fesl|nova md|Deutsch
1181|arthur c clarkes venus prime 3|arthur charles clarke paul preuss, paul preuss arthur charles clarke|ipicturebooks|Englisch
11988|arthurs family vacation an arthur adventure [with *]|marc brown|little brown books for young r|
36570|aru shah y la cancion de la muerte|roshani chokshi|edit hidra|
32946|ascendente|kenna mckinnon|blurb inc|Spanisch
19866|ascension|morgen rich brian rathbone, ashlee harry, anthony milana, mitchell chapman, magna kruger, brandi lynn smith, lorelei bell, christy christensen, victor dixen|xlibris, white wolf press llc, authorhouse, blurb inc, hot key books, lulucom|Deutsch
25150|ascension|morgen rich brian rathbone, ashlee harry, anthony milana, mitchell chapman, magna kruger, brandi lynn smith, lorelei bell, christy christensen, victor dixen|xlibris, white wolf press llc, authorhouse, blurb inc, hot key books, lulucom|Deutsch
