itemID|title|titleFound|author_raw|author_api|language|collection|isbn|publisher_raw|publisher_api|publishedDate|description|main topic|subtopics|thumbnail|maturityRating|pageCount|isEbook
30689|''2046 (Back to 2046,Chinese Edition)||''|||||1 Plus Publishing & Consulting||||DNT| FL                              ||||
31137|2047||A. A. Caddy|||||Xlibris||||FL|                                ||||
9570|2049||M. D. James E. Davis|||||AuthorHouse||||FL|                                ||||
20044|2084||Heikki Nousiainen|||||Books on Demand||||FL|                                ||||
62012|2084||Peter García|||||Eckhaus Verlag||||FDB|                                ||||
73878|2084||Alpha O'Droma|||||epubli||||FL|                                ||||
"63255|3865|32408"|2121||Nikkita Pierrottie|||||Lulu.com||||FM|                                ||||
33600|2122 A.D. Helena 2||Harald Kaup|||||NOEL-Verlag||||FLC| FLS                               ||||
51379|2124 A.D. Walhalla||Harald Kaup|||||NOEL-Verlag||||FLC| FLS FM                              ||||
31515|2125 A.D. - Janus -||Harald Kaup|||||NOEL-Verlag||||FLC| FLS                               ||||
78729|2127 A.D. - Titan||Harald Kaup|||||Noel||||| FLS                               ||||
18485|2129 A.D. - Aquarius -||Harald Kaup|||||Noel||||| FLS                               ||||
23055|2156||C. M. Dancha|||||BLURB INC||||FDB| FM                               ||||
7150|2394||P. Roscoe|||||iUniverse||||FLQ|                                ||||
71170|2501||Joel Lundgren|||||Books on Demand||||FL|                                ||||
62802|2625||Donna Sears-Crider|||||Xlibris US||||FL|                                ||||
50660|29 (Twenty-Nine)||Nancy Pennick|||||Allison-Hayes Books||||YFG|                                ||||
70842|3 Lilien, Das zweite Buch des Blutadels||Rose Snow|||||Ravensburger Verlag||||YFM| 5AQ FMR FR FRD YFHR YFM                         ||||
26523|3 of a Kind||Rohan Gavin|||||Bloomsbury Publishing PLC||||YFB| 5AK                               ||||
43172|32 Days: A Story of Faith and Courage||Ellen Prozeller|||||PAULINE BOOKS & MEDIA||||YFK| 1F                               ||||
71651|333 Flachwitze|||||||Loewe Verlag GmbH||||YNU| 5AJ 5HC 5HK 5HP 4CD FU JNLB WHJ WHL WHX YF YPC YZG                   ||||
36239|333 Kinderwitze - Schule|||||||Loewe Verlag GmbH||||YPCA21| 5AJ 5HC 5HK 5HP 4CD FU JNLB WHJ WHL WHX YF YNU YPC YZG                  ||||
61905|333 Kinderwitze - Tiere|||||||Loewe Verlag GmbH||||YPCA21| 5AJ YF YNU                             ||||
14472|381||Robin Stevens|||||Penguin Books Ltd (UK)||||YFCF| 5AJ 1HBE AA D 1HZAN YFS YFT YNMC YXG YXHB YXHL YXN 3MPBGJ                     ||||
47957|4||Claudell James|||||iUniverse||||YFR|                                ||||
28797|400 Bc: The Story of the Ten Thousand: A Graphic Novel||Lewis Helfand|||||CAMPFIRE GRAPHIC NOVELS||||YFC| YFT                               ||||
37784|43||Charlie Beers III|||||Xlibris||||FL|                                ||||
"73948|67600"|444||Gudrun S. Schutting-Wieser (Hg.), Andreas Unterweg|||||myMorawa||||FM| FK YFC YFD YFH                           ||||
41122|500 Words: Black Lives|||||||Bonnier Books UK||||YXD| YF                               ||||
76200|666 Tierwitze|||||||Coppenrath F||||YNU| 5AJ 5HKA WHJ YNN YNU                           ||||
55914|6984||Agneta Sikvall|||||Books on Demand||||FL| 5AX                               ||||
62756|7 Dias||-D. E. Maria Guadalupe|||||Lulu.com||||YFB|                                ||||
23793|71 einhalb schrecklich schöne Monster malen||Norbert Pautner|||||Bassermann, Edition||||YNXB| 5AF YBG YBL YNXB                           ||||
18986|71%||Vanessa Chantreau|||||Books on Demand||||FLG| 1D FLP FLQ                             ||||
21977|A||Frank Ferland|||||Books on Demand||||FM| 5AQ                               ||||
5785|A Banquet for Hungry Ghosts: A Collection of Deliciously Frightening Tales||Ying Chang Compestine|||||LIGHTNING SOURCE INC||||YFD| 1F                               ||||
35371|A Beautiful Dark||Jocelyn Davies|||||HARPERTEEN||||YFH| YFM                               ||||
47692|A Beginning and an End||Andrew Arrowsmith|||||Arrowsmith Publishing||||FMB|                                ||||
57185|A Besta: Uma Nova Aventura Do Viajante Do Tempo||Ronald Rahal|||||INDEPENDENTLY PUBLISHED||||FLG|                                ||||
48257|A Big Job (Short Vowel Storybooks)||Suzanne I. Barchers|||||SHELL EDUC PUB||||YBLA| YF                               ||||
28484|A Blood Moon||Jean Chery|||||WESTWOOD BOOKS PUB LLC||||FH| FK FM                              ||||
57465|A Bond Undone: The Definitive Edition||Jin Yong|||||GRIFFIN||||FMB| FMH                               ||||
28510|A Book of Dragons||Ruth Manning-Sanders|||||MAB Media||||YDC| YFJ                               ||||
56368|A Book of Feelings||Amanda Mccardie|||||Walker Books Ltd||||YBLN|                                ||||
8196|A Bridge for Everyone||Lori Booth|||||LIGHTNING SOURCE INC||||YF|                                ||||
11873|A Bridge Of Shadow: Large Print Hardcover Edition||Natalie J. Case|||||BLURB INC||||FB| FM                               ||||
7636|A Call to Arms, Volume 2||Thomas Pope, David Weber, Timothy Zahn|||||BAEN||||FLS| FLR                            ||||
75133|A Canadian Year: Twelve Months in the Life of Canada's Kids||Tania Mccartney|||||EXISLE PUB||||YFX| 1KBC                               ||||
32385|A Cat Story||Ursula Murray Husted|||||HarperCollins Publishers Inc||||XADC| YFC YFP YXHL                             ||||
68195|A Child Called Jesus||Cathy Salvatore|||||Outskirts Press||||YFK| 5HC 5PGM                              ||||
76113|A Child's Book of Stories (Yesterday's Classics)||Penrhyn W. Coussens|||||Yesterday's Classics||||YDC| YFJ                               ||||
34802|A Collection of Short Stories and Poems||William Bill Pratt|||||Xlibris||||YFU|                                ||||
41869|A Court of Mist and Fury. Acotar Adult Edition||Sarah J. Maas|||||Bloomsbury UK||||YFH| FMR                               ||||
46007|A Court of Wings and Ruin. Acotar Adult Edition||Sarah J. Maas|||||Bloomsbury UK||||YFB| FMR YFH                              ||||
21347|A Daisy at the Beach, Volume 10||Holly Anna|||||LITTLE SIMON||||YFQ|                               ||||
54581|A Dance with Dragons (HBO Tie-In Edition): A Song of Ice and Fire: Book Five||George R. R. Martin|||||BANTAM TRADE||||FMB| FJ FL                              ||||
63954|A Day in the Life||William T. Wilhite|||||Xlibris||||FL|                                ||||
35191|A Deadly Affair||Rm Connor|||||RM Connor||||FM|                                ||||
26412|A Diamond Dream: Book Three of the Jubilee Cycle||Eli K. P. William|||||TALOS||||FLPB| FLQ                               ||||
73302|A Different Boy||Paul Jennings|||||Old Barn Books||||YFB| 5AR                               ||||
"59265|72894"|A Different Land||Paul Jennings|||||A & UC PUB||||"YFB|YF"|" 1M                               |  5AR                               "||||
17676|A Dolphin Wish||Natalie Grant|||||ZONDERVAN||||YFK|                                ||||
40669|A Dragon's Journals||Matthew Flentje|||||AuthorHouse||||FMB|                                ||||
1648|A Dying Planet Short Stories||Barton Aikman, V. K. Blackwell|||||FLAME TREE PUB||||FL|                               ||||
45713|A er for alfabet/ A is for alphabet||Tish Gilbert|||||MORT HOMME BOOKS||||YBLA|                                ||||
78213|A Fairy Tale||Anja Stephan|||||Books on Demand||||| 1DDF FR LAA FRD                              ||||
16052|A Flying Birthday Cake||Louis Sachar|||||RANDOM HOUSE||||YFQ|                                ||||
"46001|9689|59150|41174"|A Fonte||Cs Luis|||||BLURB INC||||FM| FR                               ||||
"43193|8530"|A Fonte: Edição Premium de capa dura||Cs Luis|||||BLURB INC||||FM| FR                               ||||
66981|A Friend in the Dark||Pascal Ruter|||||Walker Books Ltd||||YFN| 5AH YFS                              ||||
44085|A Game of Hide-And-Seek||Tennant Redbank|||||RANDOM HOUSE||||YFZZ| YFJ                               ||||
62058|A gata curadora: Galician Edition of The Healer Cat||Tuula Pere|||||WICKWICK LTD||||YFC| YFP                               ||||
35809|A Gift||P. S. Wall|||||Xlibris||||FM|                                ||||
33646|A Good Horse: Book Two of the Horses of Oak Valley Ranch||Jane Smiley|||||YEARLING||||YFP|                                ||||
271|A Hero Born: The Definitive Edition||Jin Yong|||||ST MARTINS PR||||FMB| FMH                               ||||
17312|A hold és mi||Márta Müller|||||epubli||||FM|                                ||||
48091|A Home for Little Teddy: Leveled Reader Red Fiction Level 5 Grade 1|||||||HOUGHTON MIFFLIN||||YF|                                ||||
32008|A Horse Called Moon||Claire Barker|||||Usborne Publishing Ltd||||YFN| 5AH 4CD YFP                             ||||
7698|A ist für Apple||Coloring Bandit|||||Coloring Bandit||||YBG|                                ||||
40480|A Journey to the Centre of the Earth||Jules Verne|||||Classic Comic Store Ltd||||XADC| YFA                               ||||
17260|A Kidnapped Santa Claus by L. Frank Baum, Fiction, Fantasy, Fairy Tales, Folk Tales, Legends & Mytho||L. Frank Baum|||||Aegypan||||FM|                           ||||
32965|A Kids Life: Loving, Learning, Growing||Alana Konieczka|||||CHRISTIAN FAITH PUB INC||||YFK|                              ||||
29970|A King in Cobwebs: The Tales of Durand, Book Three||David Keck|||||TOR BOOKS||||FMB|                               ||||
33557|A Kingdom Far and Clear: The Complete Swan Lake Trilogy||Mark Helprin|||||CALLA ED||||FM|                                ||||
26880|A Land Remembered, Volume 1, Student Guide Edition||Patrick D Smith|||||Pineapple Press||||YNMH| YFB                             ||||
71603|A Last Chance||Kaz Daum|||||Xlibris||||FL|                                ||||
27759|A Learning Experience||Jennifer Vanderwoude|||||iUniverse||||YFB| YX                               ||||
11575|A Legacy of Stars||Danielle Ackley-Mcphail|||||Paper Phoenix Press||||DNT| FL                               ||||
"62822|53923|50876|3387"|A Link||Szemán Zoltán|||||BLURB INC||||"FM|FL"|                                ||||
32321|A Long Story||William M. Klepper|||||AuthorHouse||||FM|                                ||||
13104|A Long Way from You||Gwendolyn Heasley|||||HARPERCOLLINS||||YF|                                ||||
1989|A Longer Fall, Volume 2||Charlaine Harris|||||GALLERY BOOKS||||FMT| FH                              ||||
63654|A Lost Legacy||C. E Dimond|||||Write Addictions||||YFH|                                ||||
62244|A lovag||Márta Müller|||||epubli||||FM|                                ||||
74861|A Magical Venice story: The Maskmaker's Daughter||Holly Webb|||||Hachette Children's Group||||YFH| 5AK                               ||||
23258|A Magical Venice story: The Water Horse||Holly Webb|||||Hachette Children's Group||||YFA| 5AJ 4Z GB ACJ YFH YFP                            ||||
58008|A Micro-Classic Trilogy: The Hero of Troy, the Trojan Horse & Ulysses and the Cyclops||James J. Cullen|||||XLIBRIS US||||YFT|                               ||||
26120|A Midsummer Night's Dream: A Shakespeare Children's Story||William Shakespeare, Macaw Books|||||Sweet Cherry Publishing||||YFA| 5AF                              ||||
71103|A Most Remarkable Hat||J A McPhail|||||Rowe Publishing||||YFC| 5PGM YFK                              ||||
34105|A Murder of Crows||Penny (Penny Bates) Bates|||||Ransom Publishing||||YFD| 5AK 5AR                              ||||
66123|A Needed Message||Michael A. Kamandulis|||||Lulu Publishing Services||||FL|                                ||||
31227|A New Bag!||Penelope Dyan|||||Bellissima Publishing LLC||||YFQ|                                ||||
35729|A Nightmare on Clown Street (Goosebumps Most Wanted #7), Volume 7||R. L. Stine|||||SCHOLASTIC||||YFD| YFQ                              ||||
78092|A Place for Everything, Volume 3: Habit 3||Sean Covey|||||SIMON SPOTLIGHT||||YFP| YXD                              ||||
37589|A Place To Stand||Becca Lynn Mathis|||||Rebecca Lynn Mathis||||FMW|                                ||||
15020|A Place Where Sunflowers Grow =: Sabaku Ni Saita Himawari||Amy Lee-Tai|||||CHILDRENS BOOK PR||||YFT| 1KBB                               ||||
"23514|23100|22437"|A Pribék||Ian Pole|||||BLURB INC||||FK| FM                               ||||
37907|A Private Collection (Boxed Set): Private, Invitation Only, Untouchable, Confessions||Kate Brian|||||SIMON PULSE||||YFCF| YXHB YXHL                           ||||
75861|A Quick & Easy Guide to They/Them Pronouns||Archie Bongiovanni, Tristan Jimerson|||||ONI PR||||YN|                               ||||
76803|A Quite Extraordinary Umbrella||J A McPhail|||||Rowe Publishing||||YFC| 5PGM YFK                              ||||
23585|A Rhino To The Rescue: A Tale Of Conservation And Adventure||Cleve Hicks|||||LIGHTNING SOURCE INC||||YFP| 1H                               ||||
34227|A Rival from the Grave: The Complete Tales of Jules de Grandin, Volume Four||Seabury Quinn|||||NIGHT SHADE BOOKS||||FKW| FF FM                             ||||
52167|A River of Secrets||Lucas Astor, Alexandrea Weis|||||Vesuvian Books||||YF|                               ||||
69693|A School Tail (Peachy and Keen), Volume 1||Jason Tharp, J. B. Rose|||||SCHOLASTIC||||YXHB| YFQ YFS                            ||||
27344|A Sea of Stars||Kate Maryon|||||HarperCollins Publishers||||YFB|                                ||||
2812|A Secret Gift||Ruth Benjamin|||||HARPERCOLLINS||||YXHB| YFP                               ||||
36761|A Secret in Time (Big Honey Dog Mysteries #2)||H. Y. Hanna|||||H.Y. Hanna - Wisheart Press||||YFCF|                                ||||
59752|A Self-Made Boy||Nathan Hughes|||||LIGHTNING SOURCE INC||||YFZR| YXD                               ||||
5216|A Series of Unfortunate Event 08. The Hostile Hospital||Lemony Snicket|||||Egmont UK Limited||||YFCF| 5AH YFA                              ||||
8130|A Series of Unfortunate Events 04. The Miserable Mill||Lemony Snicket|||||Egmont UK Limited||||YFB| 5AH 5AJ                              ||||
55885|A Series of Unfortunate Events 07. The Vile Village||Lemony Snicket|||||Egmont UK Limited||||YFA| 5AH YFC YFH                             ||||
47187|A Series of Unfortunate Events 09. The Carnivorous Carnival||Lemony Snicket|||||Egmont UK Limited||||YFB| 5AH 5AJ                              ||||
60624|A Shaun the Sheep Movie: Farmageddon Book of the Film||Sweet Cherry Publishing, Gemma Barder, Aardman Ani|||||Sweet Cherry Publishing||||YFC| 5AH YFG                            ||||
31792|A Shiver of Light||Laurell K. Hamilton|||||BERKLEY BOOKS||||FM|                                ||||
71078|A Shocker on Shock Street (Classic Goosebumps #23), Volume 23||R. L. Stine|||||SCHOLASTIC||||YFD| YFQ                              ||||
43852|A Song of Ice and Fire 02. A Clash of Kings||George R. R. Martin|||||Harper Collins Publ. UK||||FM|                                ||||
"636|17283"|A Song of Ice and Fire 05. A Dance with Dragons||George R. R. Martin|||||Harper Collins Publ. UK||||"FMB|FL"|" FJ FL                              |  FM                               "||||
59342|A Star is Born||Robbie Michaels|||||Dreamspinner Press LLC||||YFB| 5PS YXB                              ||||
40679|A Step Beyond||Nancy Bell|||||Books We Love Ltd.||||YFJ| 1DDU GB E                               ||||
43731|A Storey Street novel: Superhero Street||Phil Earle|||||Hachette Children's Group||||YFB| 5AK YFC YFQ                             ||||
57430|A Storm of Swords: A Song of Ice and Fire: Book Three||George R. R. Martin|||||BANTAM TRADE||||FMB|                                ||||
71805|A Story About...Us||Noah Turner|||||Lulu.com||||YFK| 5PGM YFM                              ||||
71433|A Strange Land||Alan Gibbons|||||Barrington Stoke Ltd||||YFB| 5AR                               ||||
10383|A Tale of Teeth: Or How Venice Beach Florida Became the Shark's Tooth Capital of the World||Linda Dunn|||||NEWMAN SPRINGS PUB INC||||YFJ|                                ||||
16205|A Tale of Two||Cathleen Roach|||||Lulu.com||||FB|                                ||||
5138|A Terrible Thing Happened||Margaret M. Holmes, Sasha J. Mudlaff, Cary Pillo|||||MAGINATION PR||||YXE| YF                             ||||
47260|A Third Dictionary & Grammar of Láadan||Suzette Haden Elgin|||||Lulu.com||||FLU|                                ||||
75912|A Thunderous Whisper: In War, Even an Insignificant Girl Can Be a Hero||Christina Diaz Gonzalez|||||KNOPF||||YFT| 1D                              ||||
33394|A Time to Rise||Nadine Brandes|||||Gilead Publishing||||YXZR| YFG                               ||||
13988|A Toothfully Twisted Summer||Ellen Cappello|||||iUniverse||||YFH|                                ||||
67906|A Trilogy . featuring Big Oak Mega Buck!||Phil Kunz|||||iUniverse||||YFU|                                ||||
56637|A Trip to Remember||Rahima Karim|||||AuthorHouse||||YFB| YX                               ||||
32582|A Trip to the Zoo||Jupiter Kids|||||Jupiter Kids||||YBL|                                ||||
13556|A True Girl||Mari Poisson|||||AuthorHouse UK||||FM|                                ||||
68058|A Twist of Tales||Julia Donaldson|||||Barrington Stoke Ltd||||YF|                                ||||
19365|A Unicorn Helped Me Build a Growth Mindset: A Cute Children Story To Help Kids Build Confidence, Per||Steve Herman|||||LIGHTNING SOURCE INC||||YXE| YF                              ||||
51155|A Volar!||Sabrina Duarte|||||Palibrio||||YFB|                                ||||
65603|A Walk on the Tundra (Inuktitut)||Rebecca Hainnu, Anna Ziegler|||||INHABIT MEDIA||||YFP| 1QMP                              ||||
35276|A Wanted Man||Rob Parker|||||Lume Books||||FF| FH                               ||||
56519|A Whole New World: How to be an Antiracist: A Story That Inspires Kids and Parents to see Beyond Col||Ibrahim K. Mendy|||||LIGHTNING SOURCE INC||||YXPB| YFJ                               ||||
13213|A Wicked Thing||Rhiannon Thomas|||||HARPERCOLLINS||||YFJ| YFM                               ||||
33993|A Wind of Change||Eleanor Watkins|||||Books to Treasure||||YFT| 3KH 3KL                              ||||
77492|A Winning Wednesday||Roy, OBE Noble|||||Graffeg Limited||||YF|                               ||||
35756|A Wish and a Prayer||Amy Morton|||||WESTBOW PR||||YFK|                                ||||
1838|A Wish From a Fish||Danielle M. Chammas MD|||||LIGHTNING SOURCE INC||||YXD| YF                               ||||
76150|A Wonderful Day||Wes Husted|||||IndieGo Publishing LLC||||YFK| 5PGM YXE                              ||||
35283|A Wonderland Welcome: A Fun 'n Learn Activity Guide to Morgan's Wonderland||Morgan's Wonderland|||||HALO PUB INTL||||YBG| YF                               ||||
32391|A Year in the City||Christina Mia Gardeski|||||Capstone Global Library Ltd||||YBLJ| 5AD 4CD YNN                             ||||
70955|Aamu|||||||LIGHTNING SOURCE INC||||FL|                                ||||
38765|Abadeha: The Philippine Cinderella||Myrna de la Paz|||||SHENS BOOKS||||YFJ| 1F                               ||||
78710|Abbie: Love Without a Cause||Greta Alves-Malcolm|||||LIGHTNING SOURCE INC||||YXQ| YF                               ||||
10445|Abby's Adventures: Picture Day ... and the Missing Tooth||Suzanne Ridolfi|||||EIFRIG PUB||||YXD| YF                               ||||
13475|ABC||Lyn Wendon|||||Letterland International||||YBLA|                                ||||
22930|ABC|||||||Little Posies Publishing||||YBLA|                                ||||
32431|ABC (Bilingual Edition)||Alberto Blanco|||||LOQUELEO||||YBLA|                                ||||
27397|ABC of Objects|||||||Applewood Books||||YFT|                                ||||
70130|ABC See, Hear, Do: Learn to Read 55 Words Uppercase||Stefanie Hohl|||||LIGHTNING SOURCE INC||||YBLA|                              ||||
48458|ABC Vehicle Book||Jessica Cruse|||||LIGHTNING SOURCE INC||||YF|                                ||||
69591|ABC: a heart rock alphabet book||Jane Ellen Pollio|||||EAST ANGLIAN ARCHAEOLOGY||||YBLA|                                ||||
73108|ABCs||Lesia Davidson-Elie|||||Xlibris||||YBLA|                                ||||
71629|Abend oder Morgen?||der Authhhhor|||||Books on Demand||||FMM| 5AX                               ||||
77624|Abenteuerklassiker-Paket, 3 Bde.||Mark Twain, Charles Dickens, Robert Louis Stevenso|||||Impian GmbH||||YFH| FJH YFT                           ||||
29781|Abiola||Simone Callender|||||iUniverse||||YFH|                                ||||
42037|Abla and Her Wonderful Coat: Level 8||Collins Uk|||||HARPERCOLLINS UK||||YFZR|                                ||||
69807|Abner & Me||Dan Gutman|||||HARPERCOLLINS||||YFC| YFR                               ||||
12716|Aborinth||Sharron Andrades|||||Balboa Press||||FMB|                                ||||
44746|About the things I like||Vanessa Weuffel|||||Planet||||WZG| 5AN WZG YF YXD YXE YXZ                          ||||
63859|Abschied mit Himmelsglöckchen||Birgitt Möck, Claudia Hiekel|||||Lebensweichen-Verlag||||VFJX| 5AD YBL YF                            ||||
28083|Absconders||Karen Haynes|||||Xlibris||||FL|                                ||||
34128|Absolution||Marcos Antonio Hernandez|||||LIGHTNING SOURCE INC||||YFE|                                ||||
33016|Absorbed||Joanne Silver|||||Xlibris US||||FL|                                ||||
23933|Accountability Partners||Nikole S Pepper|||||Lulu.com||||FL| FR                               ||||
52543|Accountant! Did You Mean Money Wizard: Blank Line Occupation Journal to Show Appreciation to That Co||Thithiajobs|||||INDEPENDENTLY PUBLISHED||||YF|                                ||||
74813|Achtsamkeit für Kinder||Franziska Misselwitz|||||Ars Edition GmbH||||YBG| 5AF VSPD YBG YBL                            ||||
66400|ACID||Emma Pass|||||Penguin Random House Children's UK||||YFG| 5AN YFM                              ||||
9020|Acidrain||Rain S. Chetdav|||||iUniverse||||YFB| YXW                               ||||
25598|ACROPOLIS||Simone Gagnarli|||||Lulu.com||||FL|                                ||||
60586|Across the Tumen: A North Korean Kkotjebi Boy's Quest||Young-Sook Moon|||||SEOUL SELECTION||||YFC| 1F YFT                              ||||
13842|Action Australia||D A Doraisamy|||||i2i Publishing||||YFC|                                ||||
15271|Action Origami - Faltfiguren zum aktiven Spielen|||||||Neuer Favorit Verlag||||WFTM| 5AG YBL                              ||||
31332|Actividades de contar números de Pre-infantil (Diviértete aprendiendo a contar con estos 20 juegos d||Garcia Santiago|||||Fichas de preescolar||||YBG|                                ||||
48577|ACTIVITY BOOK||Diana Aleksandrova|||||Dedoni LLC||||YBGC|                                ||||
22488|Activity book for toddlers||Cristie Publishing|||||Cristina Dovan||||YBLH|                                ||||
53869|Ad Libitum||Daniel Engel|||||TWENTYSIX||||FLC|                                ||||
41350|ADA||Ben Jeapes|||||David Fickling Books||||YNM| YNT                               ||||
72491|Adam||Penelope Dyan|||||Bellissima Publishing LLC||||YFK| 5PGM YFQ                              ||||
65924|Adam & Eve||Katheryn Maddox Haddad|||||Northern Lights Publishing House||||YFK| 5PGM YFP                              ||||
19896|Adam of the Road||Elizabeth Janet Gray|||||PUFFIN BOOKS||||YFA|                                ||||
42024|Adaptation||Malinda Lo|||||Hachette Children's Group||||YFCB| YFG YFM                              ||||
29854|Addestra il tuo drago a condividere: (Teach Your Dragon To Share) Un libro sui draghi per insegnare ||Steve Herman|||||LIGHTNING SOURCE INC||||YXHB| YF                               ||||
59840|Addestra il tuo drago a provare cose nuove: (Get Your Dragon To Try New Things) Una simpatica storia||Steve Herman|||||LIGHTNING SOURCE INC||||YF|                                ||||
43304|Addestra il tuo drago a seguire le regole: (Train Your Dragon To Follow Rules) Una simpatica storia ||Steve Herman|||||LIGHTNING SOURCE INC||||YXE| YF                               ||||
25530|Addestra il tuo drago a usare il gabinetto: (Potty Train Your Dragon) Una simpatica storia per bambi||Steve Herman|||||LIGHTNING SOURCE INC||||YF|                                ||||
68016|Addestra il tuo drago a volersi bene: (Train Your Dragon To Love Himself) Una simpatica storia per b||Steve Herman|||||LIGHTNING SOURCE INC||||YXD| YF                               ||||
48613|Addestra il tuo drago ad accettare un NO: (Train Your Dragon To Accept NO) Una simpatica storia per ||Steve Herman|||||LIGHTNING SOURCE INC||||YFK|                                ||||
31318|Addition & Subtraction Color By Numbers: Coloring Book For Kids||Wizo Learning|||||LIGHTNING SOURCE INC||||YBLC| YNTM                               ||||
36190|Addition, Grade K|||||||SPECTRUM||||YBLC| YNTM                              ||||
"51815|10582"|Adelita: A Mexican Cinderella Story||Tomie dePaola|||||PERFECTION LEARNING CORP||||YFJ|                                ||||
76108|Adrian(d)||Jeanette S. Hansen|||||BLURB INC||||YXFS| YFN                               ||||
27077|Adventure of Alexander||Tyrone a. Shelley|||||AUTHORHOUSE||||YFR|                                ||||
53522|Adventures In Many Lands||Algernon Blackwood, William Webster, Et Al|||||Lector House||||YFU|                              ||||
75890|Adventures in Sound A 4D Book||Emily Sohn|||||Capstone Press||||XADC| YF                               ||||
31430|Adventures of a Zombie: An Unofficial Minecraft Diary, Volume 3||Books Kid|||||SILVER DOLPHIN BOOKS||||YFQ|                               ||||
