book_id,model_id,team_id,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
34682,4,mannheimminers,54901,19678,36814,43307,64637
6741,4,mannheimminers,72666,78754,30681,50827,63911
20852,4,mannheimminers,36997,27698,38758,75184,74084
22265,4,mannheimminers,64706,41548,26765,8336,47249
2244,4,mannheimminers,33854,5587,23159,70797,26824
26396,4,mannheimminers,5902,57011,64159,12947,69048
48796,4,mannheimminers,34460,12413,8675,14353,77977
45501,4,mannheimminers,30152,60338,23907,77106,32136
26445,4,mannheimminers,30115,5664,7471,77277,46553
457,4,mannheimminers,31136,22034,33308,603,52669
35752,4,mannheimminers,11898,67723,44203,31142,4532
47491,4,mannheimminers,50803,26850,64852,14040,68349
43762,4,mannheimminers,64370,31629,12730,17534,35302
23599,4,mannheimminers,65169,51955,23321,72581,1131
13325,4,mannheimminers,61323,4778,22088,20434,7326
3273,4,mannheimminers,74023,26721,3070,13828,61086
2257,4,mannheimminers,55609,23874,31559,68389,40178
34670,4,mannheimminers,41175,61041,40747,53417,4190
74105,4,mannheimminers,66566,52909,62718,16147,67961
35720,4,mannheimminers,543,54236,17189,41884,45114
71526,4,mannheimminers,11869,50656,70312,12927,281
21737,4,mannheimminers,21737,39790,10036,33422,64443
7860,4,mannheimminers,23462,17289,38752,64823,15124
41648,4,mannheimminers,18955,37632,28106,63435,28646
1640,4,mannheimminers,25886,15616,46095,22540,60723
33814,4,mannheimminers,45991,31164,43296,17986,7809
19717,4,mannheimminers,37710,65349,58773,43166,9537
78998,4,mannheimminers,19321,38591,40412,30283,18996
23643,4,mannheimminers,5594,64202,36717,12017,55083
68712,4,mannheimminers,68712,57366,68131,29003,13384
63739,4,mannheimminers,10781,53932,62484,41469,9542
42328,4,mannheimminers,44229,60237,74690,69811,58190
23446,4,mannheimminers,41430,63207,23853,64681,55332
21285,4,mannheimminers,8369,37135,23162,53470,54894
72959,4,mannheimminers,69986,52367,69822,9846,58930
8548,4,mannheimminers,39224,34228,40179,13799,42489
21221,4,mannheimminers,60456,56930,63281,30004,1832
12564,4,mannheimminers,18066,50498,64907,74216,873
9577,4,mannheimminers,56841,4705,18458,38636,9001
29381,4,mannheimminers,2338,1335,16525,54118,54183
19688,4,mannheimminers,53671,43509,6994,76898,78750
45195,4,mannheimminers,72691,58967,70010,67936,62815
22775,4,mannheimminers,11067,56838,40710,68163,72282
13131,4,mannheimminers,43349,23150,74719,3349,18564
8861,4,mannheimminers,54253,73224,50588,51566,45777
1680,4,mannheimminers,55324,29786,15287,5558,34616
62200,4,mannheimminers,64037,33532,28306,54309,67795
73868,4,mannheimminers,24473,36551,34500,63967,20288
7666,4,mannheimminers,23738,27124,54719,76874,45881
7084,4,mannheimminers,3239,13537,10789,41915,9032
74586,4,mannheimminers,22369,12130,75881,394,26872
2335,4,mannheimminers,32043,17310,73288,9847,72244
22877,4,mannheimminers,67979,7039,54424,78557,8838
68509,4,mannheimminers,10281,79065,12246,9747,42171
28737,4,mannheimminers,7160,41468,43366,74194,24668
66339,4,mannheimminers,11275,6266,44167,19877,77538
49803,4,mannheimminers,39030,3399,78980,54276,36588
14189,4,mannheimminers,8113,27762,45243,27222,43009
9884,4,mannheimminers,2714,20470,61498,6090,54249
67630,4,mannheimminers,55709,68751,40149,56185,34604
11407,4,mannheimminers,1461,19824,36947,2279,75817
8384,4,mannheimminers,8384,73827,60045,67601,21734
75345,4,mannheimminers,65697,78176,26232,25385,37261
45841,4,mannheimminers,23067,47467,40798,67763,59744
63764,4,mannheimminers,64967,63479,917,38946,73790
70197,4,mannheimminers,34964,70842,52528,41899,19157
32109,4,mannheimminers,41398,44866,21548,59567,45108
30434,4,mannheimminers,37119,36062,32675,31986,69062
45358,4,mannheimminers,20992,20792,54287,68077,37727
52721,4,mannheimminers,44588,54288,17345,67149,76759
58820,4,mannheimminers,23641,65806,51133,18521,16793
70803,4,mannheimminers,6709,20265,33656,26996,26001
50338,4,mannheimminers,34534,15024,62735,77508,6661
66493,4,mannheimminers,39767,31766,21989,61786,70774
52519,4,mannheimminers,60338,60297,50992,62650,18731
37378,4,mannheimminers,13975,12319,47429,39157,24085
49952,4,mannheimminers,6379,30851,70849,3337,51153
75882,4,mannheimminers,414,42117,17808,11363,14460
7445,4,mannheimminers,20893,17215,17303,22307,20292
17850,4,mannheimminers,64423,32014,48465,38212,71389
42566,4,mannheimminers,16326,68940,58647,66341,55308
29708,4,mannheimminers,6749,37955,942,70984,17528
46476,4,mannheimminers,67106,61887,46043,39127,19228
14470,4,mannheimminers,62296,44273,55091,222,43784
43679,4,mannheimminers,65573,2499,29271,30342,54989
40279,4,mannheimminers,69875,33475,25409,60297,34569
24002,4,mannheimminers,54583,77369,67995,53532,73168
68253,4,mannheimminers,46556,6908,54253,33874,74414
15581,4,mannheimminers,45332,20936,12962,64181,9808
73552,4,mannheimminers,16294,35945,24341,44512,14729
38164,4,mannheimminers,59652,37047,39079,5047,36397
58779,4,mannheimminers,59003,57480,27294,22882,42529
57464,4,mannheimminers,57464,4713,3232,37909,11714
56827,4,mannheimminers,65067,47860,29301,13397,41599
76331,4,mannheimminers,52949,54903,16174,58104,64494
12568,4,mannheimminers,34347,6380,46629,36059,29850
63107,4,mannheimminers,43362,30477,6415,60988,42363
39971,4,mannheimminers,22153,35429,24520,35114,78637
24776,4,mannheimminers,1892,78652,68228,34205,43051
65811,4,mannheimminers,66423,2422,31465,12922,41358
77175,4,mannheimminers,65804,42518,34462,53980,53389
53717,4,mannheimminers,17049,55812,48995,66786,48480
50340,4,mannheimminers,47301,43888,2923,64933,13600
77554,4,mannheimminers,19014,62101,59871,3341,21729
63279,4,mannheimminers,15417,6604,43772,25783,63045
59821,4,mannheimminers,17648,12448,50542,31917,15578
12725,4,mannheimminers,75326,42222,25926,77274,59826
1235,4,mannheimminers,22231,74468,35380,3781,60735
34899,4,mannheimminers,36505,6587,39782,43212,2593
37797,4,mannheimminers,20286,74553,19755,49149,7332
29368,4,mannheimminers,54691,74081,9149,31320,4665
11378,4,mannheimminers,50787,35740,13068,58707,7111
59092,4,mannheimminers,55902,17969,71679,11262,23803
5362,4,mannheimminers,33677,24212,20888,15390,25693
47933,4,mannheimminers,53380,10704,62714,42723,34991
68560,4,mannheimminers,37361,31921,60855,37618,46242
57628,4,mannheimminers,75656,66577,65833,9526,23952
11682,4,mannheimminers,28211,8014,12619,53784,9323
18601,4,mannheimminers,56902,219,63256,60511,60498
58566,4,mannheimminers,19714,76261,10460,59209,53415
29217,4,mannheimminers,20931,59008,71841,352,59198
64901,4,mannheimminers,52355,4833,22764,77255,5739
6359,4,mannheimminers,18600,53376,2932,53600,60398
54801,4,mannheimminers,5214,58431,36875,57763,59017
66017,4,mannheimminers,71444,64579,26881,69254,1264
28302,4,mannheimminers,26728,63723,30104,58208,49453
19235,4,mannheimminers,56012,19029,43483,38595,11307
24078,4,mannheimminers,78528,22719,8988,41151,927
7924,4,mannheimminers,59912,59285,20852,34507,43988
2993,4,mannheimminers,1389,39751,19031,35339,7106
71202,4,mannheimminers,47228,55411,53525,56200,22155
38543,4,mannheimminers,50767,48259,15736,73433,1559
9943,4,mannheimminers,31875,34774,32940,15362,19454
24706,4,mannheimminers,75324,66347,21878,50755,26524
17298,4,mannheimminers,1523,17095,52530,20898,78248
49279,4,mannheimminers,38780,20671,21540,38622,13702
7129,4,mannheimminers,72852,36606,77428,17147,67165
54586,4,mannheimminers,68411,67469,65717,57275,15873
55270,4,mannheimminers,53675,13483,77119,51607,10597
16937,4,mannheimminers,65681,38509,24570,43144,23872
44508,4,mannheimminers,51673,55274,28583,1383,49782
28976,4,mannheimminers,41759,20104,4847,57685,57744
9612,4,mannheimminers,24474,65305,36805,63092,26144
43313,4,mannheimminers,45560,56597,28157,45202,18693
46237,4,mannheimminers,55679,60055,47456,14862,65937
14883,4,mannheimminers,63986,65735,12080,49700,1885
71036,4,mannheimminers,77658,22970,1758,27887,50134
71886,4,mannheimminers,39029,21297,58463,45208,73963
70372,4,mannheimminers,49549,50074,3085,22890,2699
14750,4,mannheimminers,4593,75966,38434,46172,40183
52053,4,mannheimminers,8147,50137,5268,27254,18189
51638,4,mannheimminers,38327,49755,10863,71093,30708
61875,4,mannheimminers,4173,4033,18516,30355,53094
42039,4,mannheimminers,11827,26599,33531,59488,4628
25598,4,mannheimminers,35381,51107,33060,40815,67547
23417,4,mannheimminers,73418,33556,71374,59071,22114
30446,4,mannheimminers,32832,255,50382,48197,2363
27104,4,mannheimminers,31865,69014,67389,36735,27403
61715,4,mannheimminers,56858,18130,25338,33938,9779
72826,4,mannheimminers,61690,4550,72476,13817,35687
7415,4,mannheimminers,60599,21829,66888,20441,71210
11688,4,mannheimminers,39976,27105,21025,39234,24644
12209,4,mannheimminers,31533,27772,63839,62666,8137
79016,4,mannheimminers,77768,22802,53240,26847,46681
6019,4,mannheimminers,18784,70356,70725,6889,64136
14436,4,mannheimminers,12330,40731,30058,45171,44764
75422,4,mannheimminers,75422,47440,35664,68550,31416
10482,4,mannheimminers,10482,77620,35748,45285,22587
24686,4,mannheimminers,6865,27951,16213,54351,34676
50313,4,mannheimminers,58022,36180,15163,29660,20783
58067,4,mannheimminers,35503,22599,50825,63759,1931
37854,4,mannheimminers,44868,74582,36238,42073,36301
24118,4,mannheimminers,30091,8070,74313,16019,17523
66750,4,mannheimminers,2216,66743,67429,70585,31724
8116,4,mannheimminers,56795,50917,56326,55794,1988
62540,4,mannheimminers,68089,306,61454,23136,70097
25663,4,mannheimminers,29485,58262,41582,782,50027
16585,4,mannheimminers,9472,74899,71870,5308,58269
28466,4,mannheimminers,23233,33031,50064,10859,51741
42531,4,mannheimminers,3734,27632,7020,55324,77750
39680,4,mannheimminers,2697,21732,10597,12836,72336
51560,4,mannheimminers,4379,60506,62185,1001,64090
13374,4,mannheimminers,64256,59105,72348,35342,16155
18441,4,mannheimminers,5684,43784,44068,6161,46485
13880,4,mannheimminers,70363,36858,52492,14621,10113
17383,4,mannheimminers,59541,74313,61642,59025,41905
13014,4,mannheimminers,10382,38357,3728,54855,32565
57674,4,mannheimminers,52079,58996,11908,40298,1373
18756,4,mannheimminers,52566,49018,6035,78228,64844
51964,4,mannheimminers,60800,76283,13845,47718,34291
27403,4,mannheimminers,55067,61333,67389,31865,48767
10871,4,mannheimminers,25111,41135,17388,13511,49680
35456,4,mannheimminers,20548,35451,11372,33745,50913
74872,4,mannheimminers,12901,72135,27418,60955,27186
63796,4,mannheimminers,51007,43775,53752,6510,46781
63457,4,mannheimminers,13328,14014,73354,68426,42109
55057,4,mannheimminers,50368,26363,62247,14401,12416
47336,4,mannheimminers,29484,22180,31046,278,15602
43032,4,mannheimminers,55843,78852,17477,77058,77878
63855,4,mannheimminers,54274,43729,72183,1226,40083
72231,4,mannheimminers,31986,19859,55571,30622,61568
11527,4,mannheimminers,32160,78963,64075,67721,51903
31548,4,mannheimminers,28336,65993,35873,31150,16532
62812,4,mannheimminers,62812,53739,8259,60358,64101
20266,4,mannheimminers,47493,14265,34283,32231,77291
59605,4,mannheimminers,58668,40229,60847,39951,59858
57163,4,mannheimminers,47876,78609,44453,11933,36857
34307,4,mannheimminers,64035,54932,75164,59438,40134
65903,4,mannheimminers,14273,34892,1701,16391,63064
28580,4,mannheimminers,65177,5188,29166,44358,63304
5197,4,mannheimminers,39697,1069,23145,876,37257
34939,4,mannheimminers,33650,76233,62226,38963,52834
59859,4,mannheimminers,11365,50638,58968,55842,55366
12077,4,mannheimminers,65995,42416,1332,73263,4438
75539,4,mannheimminers,13169,70744,38701,12196,48011
24979,4,mannheimminers,47905,53461,49504,67369,17446
47684,4,mannheimminers,17877,73844,21727,22025,14385
37711,4,mannheimminers,20110,61284,64444,40430,65193
14162,4,mannheimminers,14162,55442,34170,2713,1975
30806,4,mannheimminers,55964,63127,21000,78568,66529
65785,4,mannheimminers,7721,49244,14199,2698,38690
2723,4,mannheimminers,34713,8595,45043,46491,497
52874,4,mannheimminers,77966,25949,11487,30168,43063
2612,4,mannheimminers,37789,52542,42532,20129,1032
63908,4,mannheimminers,56988,58254,61550,66396,78055
12075,4,mannheimminers,20914,9062,78785,38118,45775
78080,4,mannheimminers,44749,60245,37052,5581,75806
39083,4,mannheimminers,3342,20089,63550,55116,52760
64333,4,mannheimminers,18017,1819,76835,48338,72334
12640,4,mannheimminers,74072,6583,68115,76433,59697
41002,4,mannheimminers,44742,21999,46629,31320,29867
27038,4,mannheimminers,23033,59151,7056,59126,29786
38637,4,mannheimminers,21892,3535,9555,17492,17329
44894,4,mannheimminers,15265,24085,48442,61017,48483
35904,4,mannheimminers,78440,39983,29605,59685,11951
38819,4,mannheimminers,68483,66569,23484,14576,59789
30628,4,mannheimminers,58938,73361,27333,7238,69904
6790,4,mannheimminers,44808,28732,15832,55633,38364
38368,4,mannheimminers,35835,38146,63593,24212,75124
27726,4,mannheimminers,56814,24353,76288,50585,13821
4890,4,mannheimminers,61267,11324,49185,10863,27021
37429,4,mannheimminers,42372,73818,17903,57268,16580
57598,4,mannheimminers,27563,29529,66809,64916,68084
44452,4,mannheimminers,51865,5881,58990,3839,470
77629,4,mannheimminers,53253,55974,63633,52819,21203
44327,4,mannheimminers,42864,14719,19192,13111,4974
21276,4,mannheimminers,21276,29441,52414,23755,55596
46655,4,mannheimminers,20065,40925,27880,44933,58694
35579,4,mannheimminers,58814,30297,47204,43189,74807
56629,4,mannheimminers,19713,18062,70930,35309,27389
47549,4,mannheimminers,18614,37372,15068,62723,28602
31827,4,mannheimminers,18828,10480,50920,38601,9518
41447,4,mannheimminers,68794,34752,73522,72667,60054
57018,4,mannheimminers,67833,15466,46045,45891,30604
69755,4,mannheimminers,69755,78826,42821,72745,19891
16190,4,mannheimminers,71756,21535,21327,36381,26852
48231,4,mannheimminers,3245,26599,8432,75167,52445
58737,4,mannheimminers,68923,28832,65239,69137,14774
9001,4,mannheimminers,30830,10498,28037,14224,54464
19462,4,mannheimminers,3110,61922,70199,50915,44899
15267,4,mannheimminers,2846,9973,60479,72808,72748
68076,4,mannheimminers,67621,32746,62593,54877,46249
17617,4,mannheimminers,55120,36167,68344,22197,1136
43701,4,mannheimminers,4586,30745,66542,58476,41974
66224,4,mannheimminers,21362,68955,53142,73206,14843
23132,4,mannheimminers,20790,11422,42580,15064,46369
23535,4,mannheimminers,48215,27149,41845,58871,55404
18479,4,mannheimminers,39260,42812,35091,58422,6753
63017,4,mannheimminers,73556,2276,48395,5979,70594
61316,4,mannheimminers,61316,5370,25780,70456,52293
56775,4,mannheimminers,43002,15885,78749,1931,55816
66954,4,mannheimminers,36846,56424,65177,14396,53704
32532,4,mannheimminers,70849,23012,7879,48716,78608
53813,4,mannheimminers,37052,23182,9089,72887,14677
43877,4,mannheimminers,26781,67368,35033,1064,53889
34078,4,mannheimminers,10328,73239,48743,59553,73744
58561,4,mannheimminers,7386,6075,57625,34117,25732
77952,4,mannheimminers,55804,158,11710,57906,4024
34978,4,mannheimminers,18741,25700,47594,2493,15103
337,4,mannheimminers,53732,62933,13561,36640,35667
25367,4,mannheimminers,3324,36278,2703,29078,56048
35094,4,mannheimminers,28907,26953,60807,57744,7212
24459,4,mannheimminers,33124,73432,76622,12870,65429
10745,4,mannheimminers,75552,5998,67161,39275,40066
59769,4,mannheimminers,17233,18327,54851,75609,50633
54929,4,mannheimminers,31091,56410,3815,56359,16789
78279,4,mannheimminers,59177,32247,68583,31488,30821
62535,4,mannheimminers,3191,61268,1827,48545,21967
3268,4,mannheimminers,74644,78700,40236,9032,74391
663,4,mannheimminers,78565,67694,27246,23470,19209
32451,4,mannheimminers,4528,62241,3862,62362,56028
21607,4,mannheimminers,21607,38946,10817,60143,29686
46904,4,mannheimminers,76062,12432,40355,49234,22599
58236,4,mannheimminers,17252,7072,17771,35545,3386
25488,4,mannheimminers,7411,23098,9911,54368,34598
58262,4,mannheimminers,29485,25663,782,41582,54697
38083,4,mannheimminers,18394,17084,7674,51322,61125
3059,4,mannheimminers,3059,39582,34265,31748,64855
49587,4,mannheimminers,69509,39699,39592,21629,7920
32126,4,mannheimminers,41396,66240,64530,43895,64174
48127,4,mannheimminers,62275,67067,41863,43227,75908
59649,4,mannheimminers,12177,3164,59612,37014,36602
17465,4,mannheimminers,57773,11247,69596,74138,78158
53838,4,mannheimminers,51215,34737,55096,5961,16147
37146,4,mannheimminers,8017,19349,42272,60731,70116
40692,4,mannheimminers,57012,62381,64970,49792,14575
53134,4,mannheimminers,26634,69611,57481,55519,43825
10841,4,mannheimminers,33485,28775,59307,30830,50909
11169,4,mannheimminers,63783,72067,60713,32913,68352
68764,4,mannheimminers,71730,71884,24016,65102,52615
