,itemID,meta,keyword,image,combined
13,72855,"['62781', '11193', '6177', '52979', '16996']","['49306', '14013', '74683', '60178', '6544']","['44816', '28855', '16320', '22328', '74822']","['62781', '11193', '6177', '52979', '16996']"
14,73378,"['14700', '29605', '32216', '66162', '28017']","['51047', '32216', '29605', '10118', '46516']","['70146', '29012', '55245', '23817', '5127']","['29605', '32216', '14700', '66162', '28017']"
15,25049,"['68868', '6894', '11032', '22904', '55228']",[''],[''],"['68868', '6894', '11032', '22904', '55228']"
16,24603,"['39483', '32145|73596', '76045|76704', '64181|30561|10522', '8726']","['54569', '18784', '71274', '11067', '50376']",[''],"['39483', '32145|73596', '76045|76704', '64181|30561|10522', '8726']"
17,5737,"['27599', '35293', '29098', '7479', '24175']","['27599', '59984|60967', '42131', '61851', '67418']","['29012', '47939|36625', '38697', '45164', '52991']","['27599', '35293', '29098', '7479', '24175']"
18,38980,"['16268', '34590', '47300', '16309', '40700']",[''],"['78923', '24813', '44505', '59657', '44816']","['16268', '34590', '47300', '16309', '40700']"
19,13382,[''],[''],[''],['']
20,75121,"['39425', '26274', '28451', '61099', '64495']","['72974', '55208', '19037', '12640', '14585']","['44816', '72989', '78923', '24866', '63588']","['39425', '26274', '28451', '61099', '64495']"
21,39779,"['51604', '16996', '6177', '11193', '52979']","['16945', '70950', '48137', '24755', '15122']","['24813', '19524', '18991', '37485', '65028']","['51604', '16996', '6177', '11193', '52979']"
22,14026,"['48357', '35673', '30971', '36285', '19430']","['41034', '37468', '78769', '68941', '39257']","['28855', '70146', '23661', '13226', '2147']","['48357', '35673', '30971', '36285', '19430']"
23,9392,"['11953', '957', '11594', '71591', '26646']","['11791', '30175', '73593', '1674', '9201']","['78923', '31367|55762', '55782', '57230', '47756']","['11953', '957', '11594', '71591', '26646']"
24,77956,"['48325', '70706', '32762', '77738', '29378']",[''],[''],"['48325', '70706', '32762', '77738', '29378']"
25,70300,[''],[''],[''],['']
26,77134,"['8101', '68886', '40741', '29977', '39848']","['24607', '69038', '66584', '21227', '8101']","['60699', '13226', '44816', '78084', '14400']","['8101', '68886', '40741', '29977', '39848']"
27,75340,"['30470', '15901', '65295', '12144', '56077']",[''],[''],"['30470', '15901', '65295', '12144', '56077']"
28,51066,"['13495', '59482', '11104', '10720', '5036']",[''],[''],"['13495', '59482', '11104', '10720', '5036']"
29,67776,"['6740', '31002', '16996', '11193', '52979']","['53750', '21836', '51301', '8289', '51630']","['60699', '44505', '23510', '14514', '14400']","['6740', '31002', '16996', '11193', '52979']"
30,53929,"['56232', '37356', '77326', '5030', '21356']",[''],[''],"['56232', '37356', '77326', '5030', '21356']"
31,22342,"['32874', '50389', '10663', '2665', '40700']",[''],[''],"['32874', '50389', '10663', '2665', '40700']"
32,41116,"['62743', '69571', '36664', '59712', '59924']",[''],"['78923', '28850', '40807', '17872', '44816']","['62743', '69571', '36664', '59712', '59924']"
33,60331,"['44567', '20448', '57628', '47578', '6132']",[''],[''],"['44567', '20448', '57628', '47578', '6132']"
34,65307,"['20282', '51327', '8217', '65002', '11721']","['63873', '8315', '55086', '1510', '47766']","['49607', '23661', '28496', '35366', '62219']","['20282', '51327', '8217', '65002', '11721']"
35,50039,[''],[''],[''],['']
36,42184,"['17745', '12617', '32386', '43213', '57005']",[''],"['76640', '3243', '1539', '16216', '34225']","['17745', '12617', '32386', '43213', '57005']"
37,76163,"['16142', '46681|64452', '59121', '22802', '74913']","['79007', '16443', '31132', '45834', '71850']","['60699', '44505', '24813', '14400', '37029']","['16142', '46681|64452', '59121', '22802', '74913']"
38,2319,"['8183', '61622', '56579', '29757', '57463']","['77141', '68332', '58039', '76624', '30819']","['19664', '29012', '66252', '26341', '36586|67010']","['8183', '61622', '56579', '29757', '57463']"
39,62494,"['5421', '27493', '40902', '28475', '62022']",[''],"['14400', '61606', '57701', '75095', '66396']","['5421', '27493', '40902', '28475', '62022']"
40,31015,"['74006', '41125', '30386', '15493', '28563']","['4846', '16608', '59816', '22510', '73896']","['60699', '3547', '30319', '58871', '27094']","['74006', '41125', '30386', '15493', '28563']"
41,21497,"['21680', '19761', '77708', '48669', '8679']",[''],"['21297', '44816', '72989', '49793', '13226']","['21680', '19761', '77708', '48669', '8679']"
42,53008,"['59779', '63906', '46795|44986', '66448', '26262']","['56729', '4497', '47035', '28740', '1452']","['78923', '24813', '60699', '13226', '44505']","['59779', '63906', '46795|44986', '66448', '26262']"
43,39308,"['7780', '51509', '33619', '59774', '10158']",[''],[''],"['7780', '51509', '33619', '59774', '10158']"
44,4690,"['47357', '58973', '58305', '19496', '10609']",[''],[''],"['47357', '58973', '58305', '19496', '10609']"
45,19777,"['54827', '27295', '69585', '46778', '29947']",[''],"['28855', '47939|36625', '68174', '51753', '23661']","['54827', '27295', '69585', '46778', '29947']"
46,10078,"['20749', '43513', '27943', '27301', '33392']",[''],[''],"['20749', '43513', '27943', '27301', '33392']"
47,65353,"['29555', '11729', '41314', '29202', '35044']",[''],"['77444', '20344', '68039', '61238', '49665']","['29555', '11729', '41314', '29202', '35044']"
48,58847,"['35419', '17183', '72190', '43816', '26363']","['36638|12768', '25148', '29123', '15868', '54818']","['78923', '57230', '62448', '51285', '3045']","['35419', '17183', '72190', '43816', '26363']"
49,61593,"['24271', '3071', '54210', '48948', '37506']","['63538', '7190', '15743', '52255', '36426']",[''],"['24271', '3071', '54210', '48948', '37506']"
50,18537,"['32486', '54160', '71502', '12978', '22963']",[''],[''],"['32486', '54160', '71502', '12978', '22963']"
51,73427,"['65884', '41703', '65226', '6954', '60785']",[''],[''],"['65884', '41703', '65226', '6954', '60785']"
52,7521,"['21716', '72684', '6326', '13901', '4351']","['78373', '26442|45562|69477', '14501', '24271', '71929']","['78084', '15348', '46024', '9231', '27283']","['21716', '72684', '6326', '13901', '4351']"
53,71586,"['33094', '6118', '40865', '3421', '26866']","['49763', '65939', '72282', '10118', '41637']","['2727|6732', '44505', '53055', '15443', '17961']","['33094', '6118', '40865', '3421', '26866']"
54,13772,"['58218', '49560', '23376|59991|74898|45275|48438|19738', '63688', '43711']","['74525', '4630', '8492|42189', '17769', '23621']","['78923', '74904', '41365', '29006', '40807']","['58218', '49560', '23376|59991|74898|45275|48438|19738', '63688', '43711']"
55,33092,"['63952', '53575', '6295', '24851', '56217']","['70120', '76626', '1658', '48184|9707', '73308']","['13226', '44816', '28855', '74904', '52106']","['63952', '53575', '6295', '24851', '56217']"
56,74398,"['72081', '41241|29064|70119', '46055|69540', '45870|58638', '71474']",[''],[''],"['72081', '41241|29064|70119', '46055|69540', '45870|58638', '71474']"
57,74089,"['7163', '38228', '12745', '20825', '38726']","['68539', '51990', '29701', '35032', '41808']","['49793', '44505', '11500', '72989', '59657']","['7163', '38228', '12745', '20825', '38726']"
58,57282,"['18498', '7612', '38231', '16439', '3343']",[''],[''],"['18498', '7612', '38231', '16439', '3343']"
59,38760,"['21311', '55781', '63734', '38366', '76160']",[''],[''],"['21311', '55781', '63734', '38366', '76160']"
60,15657,"['26193', '53604', '28216', '18697', '10663']",[''],"['78923', '60699', '24813', '35755', '44505']","['26193', '53604', '28216', '18697', '10663']"
61,17665,"['43222', '9214', '30546', '51168', '24107']",[''],[''],"['43222', '9214', '30546', '51168', '24107']"
62,75251,"['65078', '6891', '65902', '13661', '55049']","['70659', '4065', '54577', '63591', '69799']","['49793', '13226', '50336', '39944', '51500|47151|33827']","['65078', '6891', '65902', '13661', '55049']"
63,56282,"['22121', '54482', '27774', '25040', '70909']",[''],[''],"['22121', '54482', '27774', '25040', '70909']"
64,73973,"['44814', '58982', '54684', '73102', '1572']","['61338', '71771', '24045', '27831', '59024']","['18000', '32728', '26374', '60906', '18618']","['44814', '58982', '54684', '73102', '1572']"
65,19994,"['29774', '22574', '27391', '36672', '56948']","['44673', '67421', '54766', '31203', '11951']","['53341', '19249', '41161', '15812', '32191']","['29774', '22574', '27391', '36672', '56948']"
66,47098,"['42758', '73135', '34213|33017', '37908', '30284']",[''],[''],"['42758', '73135', '34213|33017', '37908', '30284']"
67,54190,"['58952', '54518', '73868', '36596', '48356']",[''],"['37029', '64129', '68047', '46166', '14400']","['58952', '54518', '73868', '36596', '48356']"
68,61043,"['78608', '13545', '52254', '24898', '53777']",[''],"['78923', '24813', '52892', '74904', '32191']","['78608', '13545', '52254', '24898', '53777']"
69,78675,"['49569', '10713|46591', '22205|261', '27552', '17761']","['40351', '18831', '61205', '15578', '21161']",[''],"['49569', '10713|46591', '22205|261', '27552', '17761']"
70,40394,"['29184', '307', '14023', '37057', '12733']",[''],"['52106', '8823', '23808', '60699', '78084']","['29184', '307', '14023', '37057', '12733']"
71,43844,"['6306', '28198', '36358', '76569', '56369']","['26346', '20318', '12989', '67805', '50697']","['60699', '20806', '46166', '37029', '47588']","['6306', '28198', '36358', '76569', '56369']"
72,27300,"['74992', '62241', '48707', '11280', '38613']",[''],[''],"['74992', '62241', '48707', '11280', '38613']"
73,22870,"['3615', '52979', '11193', '16996', '62781']","['58007', '66287', '56992', '4126', '56141']",[''],"['3615', '52979', '11193', '16996', '62781']"
74,61707,"['16748', '38418', '20140', '30441', '76451']","['16759', '23724', '22658', '41701', '71083']","['24813', '34368', '32191', '41296', '17872']","['16748', '38418', '20140', '30441', '76451']"
75,17888,"['63525', '14389', '32201', '66871', '40243']",[''],[''],"['63525', '14389', '32201', '66871', '40243']"
76,48292,"['42391', '74387', '10063', '26170', '55209']",[''],"['11901', '371|65461', '17872', '59480', '66410']","['42391', '74387', '10063', '26170', '55209']"
77,2054,"['57144', '44177', '48081', '58983', '42417']",[''],"['74904', '49793', '43915', '68075', '21297']","['57144', '44177', '48081', '58983', '42417']"
78,6643,"['34650', '72149', '45513', '27940', '18155']",[''],[''],"['34650', '72149', '45513', '27940', '18155']"
79,3857,"['12726', '4409', '64433', '25038', '59791']",[''],"['60699', '24813', '22529', '62539', '3045']","['12726', '4409', '64433', '25038', '59791']"
80,64350,"['46677', '35539', '67231', '33411', '61302']",[''],[''],"['46677', '35539', '67231', '33411', '61302']"
81,10833,"['77853', '63900', '37323', '5570', '67725']","['22030', '72913|66587', '62282', '51407', '65818']","['78923', '21221', '732', '35297', '45298']","['77853', '63900', '37323', '5570', '67725']"
82,33556,"['23417', '31709', '73418', '71374', '19314']","['35818', '19351', '44467', '70729', '60792']","['72989', '44816', '59657', '28855', '37901']","['23417', '31709', '73418', '71374', '19314']"
83,23256,"['14050', '52290', '2964', '31874', '71117']","['51151', '62973', '55259', '15124', '70880']",[''],"['14050', '52290', '2964', '31874', '71117']"
84,53880,"['1904', '50561', '77425', '3308', '1808']",[''],[''],"['1904', '50561', '77425', '3308', '1808']"
85,75694,"['14427', '26606', '20698', '68836', '55163']",[''],"['77731', '62350', '19779', '36223', '3055']","['14427', '26606', '20698', '68836', '55163']"
86,17770,"['64461', '22269', '76591', '77929', '30124']","['16427', '69743', '10902', '48701', '55692']","['8823', '22831', '52106', '23808', '13226']","['64461', '22269', '76591', '77929', '30124']"
87,9365,"['60882', '56869', '40374', '78109', '10874']","['46373', '67825', '71449', '78418', '26173']","['62673', '71723', '47939|36625', '8280', '71156']","['60882', '56869', '40374', '78109', '10874']"
88,11177,"['68293', '44498', '24392', '21173|24082', '2091']","['11421', '31735', '4943', '44485', '72003']","['56899', '61606', '6584', '41960', '68047']","['68293', '44498', '24392', '21173|24082', '2091']"
89,48659,"['39259', '46886|67457', '73672', '56860', '55334']","['61449', '77439', '45033', '18003', '401']",[''],"['39259', '46886|67457', '73672', '56860', '55334']"
90,18169,"['8239', '50584', '7827', '67365', '19552']",[''],[''],"['8239', '50584', '7827', '67365', '19552']"
91,48490,"['27470', '8515', '862', '34458', '71603']",[''],"['60699', '78923', '78084', '49607', '44505']","['27470', '8515', '862', '34458', '71603']"
92,70627,"['51160', '73314', '56265', '35731', '39986']","['17296', '59498', '13746', '69314', '70465']","['70146', '63955', '49166', '78923', '31367|55762']","['51160', '73314', '56265', '35731', '39986']"
93,40000,[''],[''],"['24813', '78923', '60699', '28850', '72989']",['']
94,18665,"['54007', '11599', '46961', '28863', '55311']",[''],[''],"['54007', '11599', '46961', '28863', '55311']"
95,35574,"['77348', '29326', '71655', '53219', '7922']","['73020', '63846', '56520', '7186', '67114']","['78923', '24813', '17872', '41365', '44816']","['77348', '29326', '71655', '53219', '7922']"
96,11732,"['1530', '76383', '25524', '40327', '23423']",[''],"['52155', '44816', '44505', '51500|47151|33827', '71909']","['1530', '76383', '25524', '40327', '23423']"
97,6798,"['25674', '76226', '2186', '9979', '59296']",[''],[''],"['25674', '76226', '2186', '9979', '59296']"
98,42415,"['13497', '46023', '17442', '16573', '7797']","['71944', '71165', '15083', '30974', '17198']","['57230', '43771', '11525', '44042', '50089']","['13497', '46023', '17442', '16573', '7797']"
99,64236,"['3863', '34037', '22000', '71372', '54616']","['76038', '72627', '10899', '36070', '37603']","['40730', '70628', '19971', '39613', '69200']","['3863', '34037', '22000', '71372', '54616']"
100,60644,[''],[''],[''],['']
101,11595,"['34261', '73215', '32763', '33416', '18566']",[''],[''],"['34261', '73215', '32763', '33416', '18566']"
102,39957,"['78754', '42385', '29150', '3983', '1960']",[''],"['29864', '13226', '70146', '8405', '78962']","['78754', '42385', '29150', '3983', '1960']"
103,1519,"['64772', '64362', '41551', '12600', '3196']",[''],"['60699', '78923', '8724', '13226', '43411']","['64772', '64362', '41551', '12600', '3196']"
104,10075,"['27470', '8515', '862', '34458', '71603', '48490']",[''],[''],"['27470', '8515', '862', '34458', '71603', '48490']"
105,25209,"['7636', '61852', '32060', '5953', '75401']",[''],[''],"['7636', '61852', '32060', '5953', '75401']"
106,7108,"['16690', '16486', '30464', '38843', '36712']","['547', '19484', '72235', '35703', '49318']","['53055', '36933', '32568', '42300', '29864']","['16690', '16486', '30464', '38843', '36712']"
107,67848,"['62216', '67244', '25420', '74314', '59342']",[''],[''],"['62216', '67244', '25420', '74314', '59342']"
108,40424,"['17170', '33014', '27981', '59553', '1555']","['4549', '77749', '27751', '43282', '1555']","['24813', '70146', '43497', '13448', '19038']","['1555', '17170', '33014', '27981', '59553']"
109,72523,"['25104', '33248', '51688', '69870', '20448']",[''],[''],"['25104', '33248', '51688', '69870', '20448']"
110,60588,"['57451', '17240', '105', '32081', '47861']","['27953', '59312', '20139', '13173', '77064']",[''],"['57451', '17240', '105', '32081', '47861']"
111,21315,"['14160', '52454', '10227', '12462', '73889']","['40696', '11064', '31241', '47270', '69471']","['6508', '51601', '68602', '14046', '3887']","['14160', '52454', '10227', '12462', '73889']"
112,50356,"['60780', '39253', '64507', '47678', '41541']",[''],"['78923', '19647', '74904', '24866', '19247']","['60780', '39253', '64507', '47678', '41541']"
113,75904,"['68843', '34312', '55151', '4528', '60860']","['75311', '10702', '33492', '48975', '79023']",[''],"['68843', '34312', '55151', '4528', '60860']"
114,17240,"['57451', '38084', '24720', '31041', '19399|34944|60588']",[''],[''],"['57451', '38084', '24720', '31041', '19399|34944|60588']"
115,24218,"['73975', '16201', '22464', '54040', '78189']","['42292', '400', '40259', '14049', '17098']","['34368', '45164', '29012', '52991', '36923']","['73975', '16201', '22464', '54040', '78189']"
116,21949,"['35532', '49178', '28090', '71418', '22123']",[''],"['17872', '21297', '77545', '13846', '25500']","['35532', '49178', '28090', '71418', '22123']"
117,6478,"['4092', '10140', '41221', '74501', '55616']",[''],"['38072', '24813', '9985', '13069', '70146']","['4092', '10140', '41221', '74501', '55616']"
118,76242,"['40104', '33936', '27368', '13475', '48010']","['28111', '52900', '38364', '44272', '36552']","['10644', '24813', '70343', '13226', '60699']","['40104', '33936', '27368', '13475', '48010']"
119,71112,"['67725', '5570', '7764', '41623', '48263']","['72633', '40180', '44584', '38251', '76902']","['52155', '64382', '51500|47151|33827', '63851', '49604']","['67725', '5570', '7764', '41623', '48263']"
120,76437,"['38767', '45801', '10767', '20691', '77911']",[''],"['75464', '54157', '58670', '58232', '43411']","['38767', '45801', '10767', '20691', '77911']"
121,52656,"['39150', '34321', '16779', '45390', '47150']","['76806', '56431', '76692', '76998', '61504']",[''],"['39150', '34321', '16779', '45390', '47150']"
122,10304,"['65877', '9178', '46119', '11381', '9619']","['39870', '11938', '30610', '25084', '28743']","['78620', '62757', '23274', '37029', '61076']","['65877', '9178', '46119', '11381', '9619']"
123,25399,"['45942', '37773', '45484', '52995', '51239']","['55815', '61414', '456', '51061', '65393']","['64658', '7301', '4653', '32293', '25102']","['45942', '37773', '45484', '52995', '51239']"
124,71619,"['63599', '2094', '32512', '19118', '4778']",[''],[''],"['63599', '2094', '32512', '19118', '4778']"
125,31439,"['48562', '73109', '41090', '19103|68632', '14425']","['61781', '23414', '2238', '57557', '41571']","['23510', '76514', '60471', '44505', '76636']","['48562', '73109', '41090', '19103|68632', '14425']"
126,14323,"['5087', '45820', '19669', '63734', '46535']","['2564', '43560', '59450', '54598', '55361']","['78923', '24813', '58670', '74567', '60558']","['5087', '45820', '19669', '63734', '46535']"
127,10842,"['4828', '13206', '31086', '74110', '73856']",[''],"['52106', '49607', '39918', '69748', '76461']","['4828', '13206', '31086', '74110', '73856']"
128,39515,"['48838', '54656', '76795', '9419|16782', '24060|8200']","['9419|16782', '76795', '54656', '48838', '50156']","['45947', '67327', '47953', '45345', '67155']","['48838', '54656', '76795', '9419|16782', '24060|8200']"
129,59732,"['7649|51751|3921|46312|68005|48391|21668', '31094|32176|30575|53801', '39275', '45303|56204', '20923']","['4564', '75651', '38994', '8804', '9233']",[''],"['7649|51751|3921|46312|68005|48391|21668', '31094|32176|30575|53801', '39275', '45303|56204', '20923']"
130,56452,"['49373', '73617', '58875', '69534|55441|31022', '58280']","['6791|54510', '16508', '62856', '24841', '60508']","['49607', '49747', '8823', '60597', '66316']","['49373', '73617', '58875', '69534|55441|31022', '58280']"
131,53496,"['53365|68781', '42412', '51996|33605', '54616', '71372']","['4623', '78013', '4966', '25155', '25469']",[''],"['53365|68781', '42412', '51996|33605', '54616', '71372']"
132,27903,"['38995', '57382', '11330', '14080', '45256']","['45911', '32576', '73385', '66099|1686', '38295']","['78923', '17872', '21640', '36150', '62560']","['38995', '57382', '11330', '14080', '45256']"
133,53672,"['62768', '30613', '60509', '59190', '13675']","['23429', '63633', '9102', '28594', '4637']","['57230', '40738', '11525', '30319', '44042']","['62768', '30613', '60509', '59190', '13675']"
134,29813,"['46995', '41797', '6132', '16837', '45316']",[''],[''],"['46995', '41797', '6132', '16837', '45316']"
135,67909,[''],[''],[''],['']
136,36620,"['1070|27050', '16996', '52979', '6177', '62781']",[''],"['73702|39650', '67819', '38072', '70146', '9985']","['1070|27050', '16996', '52979', '6177', '62781']"
137,44197,"['72806', '34802', '44657', '20660', '49926']",[''],[''],"['72806', '34802', '44657', '20660', '49926']"
138,68772,"['32233', '10558', '54858', '39226', '68061']","['30359', '45288', '77805', '38821', '54858']","['44816', '44505', '78923', '70146', '59657']","['54858', '32233', '10558', '39226', '68061']"
139,72058,"['40535', '76219', '54246', '40255', '1151']","['42277', '7629|61010', '9802', '17838', '22535']","['7925', '78923', '57230', '39255', '37713']","['40535', '76219', '54246', '40255', '1151']"
140,17921,"['71215', '39711', '67273', '35118', '22723']",[''],[''],"['71215', '39711', '67273', '35118', '22723']"
141,67832,"['33157', '18146', '50969', '47300', '2665']",[''],"['6508', '78134|18646', '51285', '51601', '46344']","['33157', '18146', '50969', '47300', '2665']"
142,73203,"['6628', '16616', '41455', '67568', '65022']","['63036|4406', '25155', '52146', '66893', '66793']","['78923', '13226', '39944', '23751', '28496']","['6628', '16616', '41455', '67568', '65022']"
143,30873,"['58914', '6557', '47301', '70578', '39973']",[''],[''],"['58914', '6557', '47301', '70578', '39973']"
144,46059,"['77948', '56059', '21610', '48543', '44415']",[''],"['12913', '1093', '57012', '29057', '62659']","['77948', '56059', '21610', '48543', '44415']"
145,49615,"['76535', '76310', '77442', '19822', '37904']",[''],[''],"['76535', '76310', '77442', '19822', '37904']"
146,76629,"['63360', '48595', '7607', '17409', '49538']","['73240', '23777', '10849', '29460', '41727']","['22199', '19647', '78923', '24866', '65092']","['63360', '48595', '7607', '17409', '49538']"
147,55488,"['53582', '29054', '53086', '4686', '27153']",[''],[''],"['53582', '29054', '53086', '4686', '27153']"
148,30713,"['13837', '40327', '23423', '35591', '49714']",[''],[''],"['13837', '40327', '23423', '35591', '49714']"
149,3527,"['22192', '48566', '65', '2600', '77268']","['34126', '65464', '68098', '36038', '41927']","['58047', '24179', '28451', '26210', '4376']","['22192', '48566', '65', '2600', '77268']"
150,52884,"['24466', '8511', '6642', '59444', '32760']","['30876', '41998', '53488', '35644', '51858']","['24813', '78923', '46368', '27975', '49166']","['24466', '8511', '6642', '59444', '32760']"
151,48270,"['1808', '6601', '3308', '48577', '66029']",[''],"['24813', '78923', '70343', '29161', '68075']","['1808', '6601', '3308', '48577', '66029']"
152,18224,"['6651', '27977', '3460', '69693', '56337']","['67340', '5910', '6849', '53027', '47553']","['23510', '20440', '41057', '6974', '76636']","['6651', '27977', '3460', '69693', '56337']"
153,39309,"['1424', '45902', '29309', '74173', '37950']","['40635', '78990', '58524', '33779', '72971']","['56551', '49747', '10325', '62830', '59114']","['1424', '45902', '29309', '74173', '37950']"
154,11265,"['10623', '77342', '12140', '52716', '70796']",[''],"['65885', '35987', '1800', '10855', '60699']","['10623', '77342', '12140', '52716', '70796']"
155,8288,"['58123', '28729', '46223', '60122', '40492']","['7620', '56405', '67164', '6166', '67146']","['70146', '60699', '69', '29940', '21727']","['58123', '28729', '46223', '60122', '40492']"
156,40312,"['35291', '66730', '58428', '49558', '56098']",[''],[''],"['35291', '66730', '58428', '49558', '56098']"
157,35418,"['5273', '54152', '61769', '33273', '39496']",[''],[''],"['5273', '54152', '61769', '33273', '39496']"
158,78181,"['13504', '71797', '67157', '31043', '59186|12040']",[''],[''],"['13504', '71797', '67157', '31043', '59186|12040']"
159,8859,"['13065', '65215', '68479', '72401', '45937']",[''],[''],"['13065', '65215', '68479', '72401', '45937']"
160,3875,"['65369', '41041', '42241', '58263', '41318']",[''],"['70146', '74822', '15765', '44092', '28850']","['65369', '41041', '42241', '58263', '41318']"
161,17348,"['54372', '48763', '32405', '41811', '30784']",[''],[''],"['54372', '48763', '32405', '41811', '30784']"
162,37321,"['45261', '10063', '67765', '25756', '74387']",[''],[''],"['45261', '10063', '67765', '25756', '74387']"
163,22277,"['29480', '23197', '60233', '68588', '42389']",[''],"['7640', '74904', '11344', '54688', '51416']","['29480', '23197', '60233', '68588', '42389']"
164,52705,"['25196', '7946', '59561', '5659', '37098']","['65572', '55740', '57968', '35482', '24732|1704']","['78923', '52014', '60558', '24813', '31032']","['25196', '7946', '59561', '5659', '37098']"
165,26856,"['11058', '30674', '48156', '36471', '27330']",[''],[''],"['11058', '30674', '48156', '36471', '27330']"
166,36095,[''],[''],[''],['']
167,66497,"['14617', '61673', '49887', '52696', '21181']","['14617', '61722', '22686', '46965', '47152']","['78923', '28855', '35755', '44816', '46249']","['14617', '61673', '49887', '52696', '21181']"
168,55326,"['1675', '29198', '6190', '16359', '71209']","['15896', '2608', '53324', '45205', '28072']","['55782', '43682', '14509', '45715', '47756']","['1675', '29198', '6190', '16359', '71209']"
169,3959,"['35563', '59403', '62983', '11737', '67887']",[''],[''],"['35563', '59403', '62983', '11737', '67887']"
170,66928,"['3172', '71088', '40669', '36167', '11821']",[''],[''],"['3172', '71088', '40669', '36167', '11821']"
171,23159,"['25699', '65708', '69228', '14293', '61852']",[''],"['55391', '26578', '66543', '5463', '55598']","['25699', '65708', '69228', '14293', '61852']"
172,76762,"['28408', '71574', '61178', '51739', '75892']","['751', '4182', '45889', '73641', '32907']","['3045', '22104', '30152', '55782', '54029']","['28408', '71574', '61178', '51739', '75892']"
173,73748,"['64606', '6813', '52040|4539', '77463|68215', '48618']",[''],"['29012', '24813', '50948', '68608', '16454']","['64606', '6813', '52040|4539', '77463|68215', '48618']"
174,8248,"['34839|39351|20166|75456|48598', '64978', '15605', '27858', '37611']","['68901', '22853', '51986', '68539', '54399']","['18714', '64876', '22180', '22772', '78384']","['34839|39351|20166|75456|48598', '64978', '15605', '27858', '37611']"
175,39766,"['62585', '61042', '73421', '52064', '38279', '10644']",[''],[''],"['62585', '61042', '73421', '52064', '38279', '10644']"
176,49234,"['28502', '75585', '14519', '5594', '23643']",[''],[''],"['28502', '75585', '14519', '5594', '23643']"
177,23366,"['38911|57593|27703|28389|19657|32288|20833|42432|21720|52763', '10984|24203', '23809', '70026', '17136']","['31597', '63409', '47764', '23809', '47685']","['42893', '14169', '51900', '48018', '51645']","['23809', '38911|57593|27703|28389|19657|32288|20833|42432|21720|52763', '10984|24203', '70026', '17136']"
178,59734,"['41631', '49640', '64655', '60145', '4395']","['74268', '45651', '17533', '24685', '71201']","['3757', '72820', '26323', '68253', '36019']","['41631', '49640', '64655', '60145', '4395']"
179,41020,"['5953', '75401', '7636', '17498', '32060']",[''],[''],"['5953', '75401', '7636', '17498', '32060']"
180,74389,"['76285', '74619', '69973', '3400', '21803']",[''],"['24866', '73858', '78318', '20344', '49793']","['76285', '74619', '69973', '3400', '21803']"
181,8538,[''],[''],[''],['']
182,40113,"['78512', '3266', '61589', '43471', '6074']","['78315', '78512', '76971', '45675', '54556']","['24866', '68075', '72989', '74904', '49793']","['78512', '3266', '61589', '43471', '6074']"
183,32980,"['58409', '37038', '71402', '22783', '36060']",[''],[''],"['58409', '37038', '71402', '22783', '36060']"
184,47068,"['15192', '69094', '38879', '65833', '73014']","['13115', '36893', '67352', '22100', '63478']","['66216', '1348', '43222', '71685', '59657']","['15192', '69094', '38879', '65833', '73014']"
